slug,mrc,nu,aging_gain | no-d,aging_gain | +d,d_gain | no-aging,d_gain | +aging,interaction (non-additivity)
Po10_W_14-25_mrc2,2,8.0,2051.804133981248,1153.133778369709,11154.795538222752,10256.125182611213,-898.670355611539
Po10_W_14-25_mrc5,5,8.0,1217.5221854086194,136.28305562245805,5866.854258097621,4785.61512831146,-1081.239129786154
Po10_M_14-25_mrc2,2,8.0,4760.113006575761,2392.6761796551,21316.200599311735,18948.763772391074,-2367.4368269206316
Po10_M_14-25_mrc5,5,8.0,3079.2415027563693,402.0794721538841,12840.538220363698,10163.376189761213,-2677.162030602485
Po10_B_14-25_mrc2,2,8.0,6816.93676229089,3568.3717198494705,32654.59895755787,29406.03391511645,-3248.56504244142
Po10_B_14-25_mrc5,5,8.0,4383.036823090137,536.30797005762,19069.002514380118,15222.2736613476,-3846.728853032517
ALL_W_14-25_mrc2,2,8.0,7450.266751673073,3521.259038835764,60857.51624166663,56928.50852882932,-3929.0077128373086
ALL_W_14-25_mrc5,5,8.0,3205.548115573125,152.6846451565507,28056.761137410067,25003.897666993493,-3052.8634704165743
ALL_M_14-25_mrc2,2,8.0,22338.469732373487,8539.719731127145,141621.0355071174,127822.28550587106,-13798.75000124611
ALL_M_14-25_mrc5,5,8.0,10641.693389928667,1062.5891833663918,63515.10214695224,53935.99794038996,-9579.104206562333
ALL_B_14-25_mrc2,2,8.0,29563.685441175243,11973.426540856715,202531.5182867779,184941.25938645937,-17590.25890031876
ALL_B_14-25_mrc5,5,8.0,13756.409724428784,1160.600831515505,91636.43612520408,79040.6272322908,-12595.80889291328
WA_M_14-25_mrc2,2,8.0,504.37446184045984,465.71542764831247,4142.181420004497,4103.52238581235,-38.659034192147374
WA_M_14-25_mrc5,5,8.0,304.35093239617527,66.47172564496032,1840.750148842999,1602.870942091784,-237.87920675121677
WA_W_14-25_mrc2,2,8.0,456.9370916308071,275.24617340531404,3072.5953516436566,2890.9044334181635,-181.69091822549308
WA_W_14-25_mrc5,5,8.0,217.0067627829976,3.527044507456594,1192.1185774950063,978.6388592194653,-213.47971827554102
