slug,mrc,nu,param,cell_a,cell_b,pearson,spearman,max_abs
Po10_W_14-25_mrc2,2,8.0,v,baseline,drift,0.925133622434766,0.9060223611465755,0.029281441354444937
Po10_W_14-25_mrc2,2,8.0,v,baseline,full,0.919865130525,0.8992442999733182,0.035319520409091844
Po10_W_14-25_mrc2,2,8.0,v,aging,baseline,0.9730288602501252,0.957372091888992,0.01784308888393641
Po10_W_14-25_mrc2,2,8.0,v,aging,drift,0.9022036578119422,0.862249713815195,0.027719571471581356
Po10_W_14-25_mrc2,2,8.0,v,aging,full,0.9202129454552106,0.8745190804215167,0.02436663516760796
Po10_W_14-25_mrc2,2,8.0,v,drift,full,0.9294389791136205,0.8898611680930483,0.031991499837306196
Po10_W_14-25_mrc2,2,8.0,u,baseline,drift,0.9961512388060868,0.9967451488432312,0.45385960295346095
Po10_W_14-25_mrc2,2,8.0,u,baseline,full,0.9923429955756982,0.9921287891497258,0.5041074232018463
Po10_W_14-25_mrc2,2,8.0,u,aging,baseline,0.995615419859853,0.9953106706579904,0.3354122435297029
Po10_W_14-25_mrc2,2,8.0,u,aging,drift,0.9921870850004532,0.9925608099803641,0.46308891480128267
Po10_W_14-25_mrc2,2,8.0,u,aging,full,0.996066601889985,0.9962990613596122,0.5153964129542992
Po10_W_14-25_mrc2,2,8.0,u,drift,full,0.9914400229800308,0.9919888662568379,0.5089608731092596
Po10_W_14-25_mrc5,5,8.0,v,baseline,drift,0.8193815258781539,0.7888542739275011,0.05009322159327032
Po10_W_14-25_mrc5,5,8.0,v,baseline,full,0.9027907368800084,0.8666185700887383,0.026033800918714618
Po10_W_14-25_mrc5,5,8.0,v,aging,baseline,0.9258567045850428,0.8948390185674653,0.021963270361505863
Po10_W_14-25_mrc5,5,8.0,v,aging,drift,0.822163203186204,0.7881511894065102,0.045347435575681355
Po10_W_14-25_mrc5,5,8.0,v,aging,full,0.9592167252913475,0.9386243941470839,0.022277511820315236
Po10_W_14-25_mrc5,5,8.0,v,drift,full,0.8675200343585127,0.8310577093348901,0.041652458633158106
Po10_W_14-25_mrc5,5,8.0,u,baseline,drift,0.9973381341939932,0.9969355992123488,0.16362740162473344
Po10_W_14-25_mrc5,5,8.0,u,baseline,full,0.9836824869853432,0.9778203267764398,0.14635678406234298
Po10_W_14-25_mrc5,5,8.0,u,aging,baseline,0.9867295285310856,0.9817377811160448,0.13298904701075998
Po10_W_14-25_mrc5,5,8.0,u,aging,drift,0.9864179096505643,0.9820812658426177,0.1721304601118714
Po10_W_14-25_mrc5,5,8.0,u,aging,full,0.9979952524815479,0.9979138061214092,0.15485984254948093
Po10_W_14-25_mrc5,5,8.0,u,drift,full,0.9868543078766002,0.9814051946590997,0.12992355182015203
Po10_M_14-25_mrc2,2,8.0,v,baseline,drift,0.9390983802589699,0.922947022375396,0.03362090352054086
