solver,nu,fold,train_loglik,heldout_logdens,heldout_per_cell,heldout_rmse,n_test,n_orphan,n_iter
anderson,inf,0,1505230.270438705,208826.1626144477,0.838861422890848,0.08170222001115476,248940,0,50
anderson,15.0,0,1568417.6641864723,224429.53139149753,0.9015406579557224,0.08196643348518665,248940,0,558
anderson,10.0,0,1588359.268284201,226110.173291033,0.9082918506107214,0.08231801756569318,248940,0,581
anderson,8.0,0,1600918.3206031371,226269.42816139926,0.9089315825556329,0.08261284314111385,248940,0,676
anderson,6.0,0,1618733.167870483,225174.7688816469,0.9045343009626693,0.0831073965649941,248940,0,726
anderson,5.0,0,1630959.3780352788,223408.64679689298,0.897439731649767,0.08349199503768377,248940,0,751
anderson,4.0,0,1646900.2277590586,219565.125052166,0.8820001809760022,0.08403884201084134,248940,0,778
anderson,3.0,0,1669168.6766899326,210811.00789532467,0.846834610329094,0.08484283679280868,248940,0,767
anderson,inf,1,1506723.6216690307,206745.3236329165,0.8320467954221963,0.08190143496107063,248478,0,45
anderson,15.0,1,1569919.0280870916,222839.2618605519,0.8968168685378661,0.08228088005424254,248478,0,650
anderson,10.0,1,1589863.8742459917,224447.9325422863,0.9032909655675202,0.08268902878320708,248478,0,647
anderson,8.0,1,1602421.0233366967,224780.3405724823,0.9046287420716614,0.08298349098113851,248478,0,573
anderson,6.0,1,1620229.6076097423,223746.92989758454,0.9004697796085953,0.08349527686232114,248478,0,741
anderson,5.0,1,1632452.7004965902,222028.66441109494,0.8935546181597362,0.0838804062657534,248478,0,672
anderson,4.0,1,1648388.3437244117,218271.06236148666,0.8784321443406928,0.0844214856891763,248478,0,807
anderson,3.0,1,1670613.7947626067,209835.59445639612,0.8444835939455249,0.08519688977861048,248478,0,786
anderson,inf,2,1505205.4196930327,208672.24162584465,0.8380949845204698,0.08172693312791443,248984,0,49
anderson,15.0,2,1568295.9227682473,224735.37394760523,0.9026097016177956,0.08205255191418416,248984,0,604
anderson,10.0,2,1588155.638483115,226389.94017666142,0.9092549729165786,0.08243763493340739,248984,0,660
anderson,8.0,2,1600663.7939783488,226723.83746011014,0.9105960120333441,0.08271998909117262,248984,0,700
anderson,6.0,2,1618423.207882728,225701.4341624964,0.9064897108348183,0.08321810105739938,248984,0,735
anderson,5.0,2,1630619.6445860064,224053.91886683603,0.8998727583573082,0.08359343807331818,248984,0,734
anderson,4.0,2,1646520.2285973034,220295.63046163938,0.8847782606980343,0.08413141137023628,248984,0,723
anderson,3.0,2,1668707.7851137193,211548.20546474247,0.8496457823183114,0.08493183516884126,248984,0,789
anderson,inf,3,1505928.6881312686,208015.8914465544,0.8351268109287041,0.08178886975388444,249083,0,28
anderson,15.0,3,1569155.766913436,224153.2739889763,0.8999139804361449,0.08199950617097909,249083,0,607
anderson,10.0,3,1589009.8350557005,226065.72221089902,0.9075919360650828,0.08231312633086721,249083,0,665
anderson,8.0,3,1601518.0628587068,226475.7620646968,0.9092381337333211,0.08257041847751784,249083,0,659
anderson,6.0,3,1619268.7649994858,225384.15951537044,0.904855648580475,0.08307007003553397,249083,0,758
anderson,5.0,3,1631461.9128550896,223462.59072082106,0.897141076351341,0.0834750425027147,249083,0,752
anderson,4.0,3,1647376.7451496264,219701.52738418727,0.8820414375296077,0.08401241541298027,249083,0,650
anderson,3.0,3,1669641.103705781,211447.93146640362,0.8489055112809931,0.084739740052294,249083,0,781
anderson,inf,4,1506564.0454303755,206875.20865551088,0.8314752864914727,0.08190533748507232,248805,0,51
anderson,15.0,4,1569536.79362682,223221.57857775153,0.8971748099023393,0.0821655081149215,248805,0,483
anderson,10.0,4,1589449.0186419582,224977.15358087525,0.9042308377278401,0.08250753461977262,248805,0,639
anderson,8.0,4,1601982.6980288352,225171.87544945782,0.9050134661661052,0.0828069518865112,248805,0,725
anderson,6.0,4,1619743.3316061937,224222.20390585202,0.9011965350609996,0.08328986183889928,248805,0,711
anderson,5.0,4,1631927.5879922959,222588.1556842289,0.894628949113679,0.08365581491306606,248805,0,748
anderson,4.0,4,1647816.7270762934,218996.29858554466,0.8801925145617839,0.08416804235099082,248805,0,700
anderson,3.0,4,1669993.3382113087,210596.19671111653,0.8464307257133761,0.08492225411381568,248805,0,875
cv,inf,0,1505230.1598707882,208825.5249032803,0.8388588611845437,0.0817023144144372,248940,0,98
cv,15.0,0,1568417.6813147555,224959.19099733065,0.9036683176561848,0.08180021685001232,248940,0,755
cv,10.0,0,1588359.5596900282,226185.97373830905,0.9085963434494619,0.08220900652043762,248940,0,1001
cv,8.0,0,1600918.3739639919,226142.37993345634,0.9084212257309244,0.0825367993811331,248940,0,977
cv,6.0,0,1618733.1456006095,225136.09228225224,0.9043789358168725,0.0830245731513634,248940,0,1079
cv,5.0,0,1630959.3584247078,223599.4700273297,0.8982062747141065,0.08337219659662423,248940,0,1181
cv,4.0,0,1646900.205788928,219628.90261052392,0.882256377482622,0.08391499033949838,248940,0,1175
cv,3.0,0,1669168.5933846286,210797.01471203048,0.8467783992609885,0.08470396062957165,248940,0,1274
cv,inf,1,1506723.4920601826,206746.30921771948,0.8320507619093822,0.08190130357516429,248478,0,97
cv,15.0,1,1569918.7367879879,222872.36520326155,0.896950092979103,0.08227356437774788,248478,0,794
cv,10.0,1,1589863.856205706,224224.47995966065,0.9023916803888499,0.08272450733814583,248478,0,948
cv,8.0,1,1602421.0194319005,224432.0318938456,0.9032269733893769,0.08303975983363916,248478,0,931
cv,6.0,1,1620229.5056932329,223722.5541871044,0.900371679533417,0.08351339419257232,248478,0,1023
cv,5.0,1,1632452.6288202035,221975.93716334185,0.8933424172898279,0.08389962378765374,248478,0,1049
cv,4.0,1,1648388.2842206648,218018.96548471396,0.877417580166912,0.08445935391771175,248478,0,1183
cv,3.0,1,1670613.804692064,209539.12230069126,0.8432904414100696,0.08523845874335341,248478,0,1207
cv,inf,2,1505205.2582228018,208671.96813205408,0.8380938860812506,0.0817269789921164,248984,0,107
cv,15.0,2,1568295.920832838,225356.26336395374,0.9051033936475988,0.08186446452506667,248984,0,892
cv,10.0,2,1588155.6864937355,226857.93106740242,0.911134575183154,0.08223171020485559,248984,0,965
cv,8.0,2,1600663.8082673696,226925.12843197226,0.9114044614592595,0.08254417970571572,248984,0,1018
cv,6.0,2,1618423.144361975,225659.98514706932,0.9063232382284376,0.08307310402462498,248984,0,1090
cv,5.0,2,1630619.5586484126,223818.90371395415,0.8989288617499684,0.08347108437394234,248984,0,1099
cv,4.0,2,1646520.1789412517,220252.63606852232,0.884605581356723,0.08400117715288336,248984,0,1220
cv,3.0,2,1668707.8312487788,211504.09674370298,0.8494686274768779,0.08479315229767392,248984,0,1266
cv,inf,3,1505928.6523427872,208016.37570219144,0.835128755082408,0.08178880396037848,249083,0,143
cv,15.0,3,1569155.5699394643,223832.95046440902,0.8986279692488408,0.08206894381976701,249083,0,711
cv,10.0,3,1589009.9062679051,225191.45530001132,0.9040819939538681,0.08250955711579983,249083,0,978
cv,8.0,3,1601517.998659818,225368.61494814156,0.9047932414020289,0.08283908212084407,249083,0,967
cv,6.0,3,1619268.6151211052,224642.73207513784,0.9018790205479211,0.0833181921372331,249083,0,1105
cv,5.0,3,1631461.8429125075,223232.80959919997,0.8962185681046075,0.08366873419022974,249083,0,1115
cv,4.0,3,1647376.7350382041,219773.22378952635,0.8823292789533062,0.08417247591209377,249083,0,1155
cv,3.0,3,1669641.0682052793,211499.60815010383,0.8491129790074146,0.08490031420873646,249083,0,1231
cv,inf,4,1506563.891393545,206875.53819189285,0.8314766109679984,0.08190529889600504,248805,0,135
cv,15.0,4,1569536.8079099553,223457.49141181214,0.8981229935564484,0.08207704255233655,248805,0,689
cv,10.0,4,1589449.051828,225305.68244719732,0.9055512648346992,0.08238960381397584,248805,0,896
