solver,nu,sigma2,full_loglik,full_aic,full_bic,pearson_vs_L2,spearman_vs_L2,top10_jaccard_vs_L2,max_abs_rank_shift_frac,mean_abs_dv,max_abs_dv
anderson,inf,0.0031693491514240917,1814393.7913418785,-2822901.582683757,2026144.9595705103,1.0,1.0,1.0,0.0,0.0,0.0
anderson,15.0,0.0022929664472495542,1882538.3858210621,-2959190.7716421243,1889855.770612143,0.9963061081558762,0.9959190625073597,0.8421052631578947,0.15561959654178675,0.0014477067639640366,0.014242353089106808
anderson,10.0,0.002039744747038218,1902699.7513353464,-2999513.5026706927,1849533.0395835745,0.9943003914761538,0.9932629635607809,0.7948717948717948,0.1930835734870317,0.0018389912285749202,0.016376287790560846
anderson,8.0,0.0018832689902904011,1914942.6116758338,-3023999.2233516676,1825047.3189025996,0.9925979229999251,0.9909391641904557,0.7948717948717948,0.207492795389049,0.0020952852014192902,0.017436345233531145
anderson,6.0,0.0016645686594998785,1931539.6150615716,-3057193.230123143,1791853.312131124,0.9896430633072306,0.9872281505130396,0.75,0.23054755043227665,0.002461608215716033,0.018706662418148827
anderson,5.0,0.001517043198200146,1942307.0891590526,-3078728.178318105,1770318.363936162,0.9867488922487359,0.9833491201959446,0.75,0.2737752161383285,0.002729025442148987,0.01963336813879465
anderson,4.0,0.0013289401801293524,1955436.8797290174,-3104987.7594580348,1744058.7827962325,0.9822835189827942,0.9773226361782046,0.7073170731707317,0.3573487031700288,0.0030813403940999776,0.02038192539657313
anderson,3.0,0.001078697889688282,1971664.0067264722,-3137442.0134529443,1711604.528801323,0.9752068270231278,0.9680886139862221,0.6666666666666666,0.4438040345821326,0.003562565080516481,0.02492443095982302
cv,inf,0.003169349962947521,1814393.6315281838,-2822901.2630563676,2026145.2791978996,1.0,1.0,1.0,0.0,0.0,0.0
cv,15.0,0.0022929846526964235,1882538.2169867808,-2959190.4339735615,1889856.1082807058,0.9962273830970646,0.9958495581880396,0.8421052631578947,0.14697406340057637,0.0014738704522992382,0.014172383607976478
cv,10.0,0.002039742237304237,1902699.7753534082,-2999513.5507068164,1849532.991547451,0.9944308233872693,0.9937457600929174,0.7948717948717948,0.1844380403458213,0.0018379381858692817,0.016279455324811985
cv,8.0,0.001883314715288477,1914942.2923410079,-3023998.5846820157,1825047.9575722516,0.9932067801887262,0.992305699526509,0.7948717948717948,0.1988472622478386,0.0020500068587409248,0.017327953730136063
cv,6.0,0.0016645731029086826,1931539.6345523256,-3057193.269104651,1791853.273149616,0.9910597652061549,0.9900850078034394,0.75,0.207492795389049,0.0023718726905443675,0.018595831657598486
cv,5.0,0.0015170211752442684,1942307.1609220807,-3078728.3218441615,1770318.2204101058,0.9890367953684208,0.9875894580903316,0.75,0.22478386167146974,0.002634520348299277,0.019520853097380365
cv,4.0,0.001328967404833863,1955436.8155970084,-3104987.631194017,1744058.9110602504,0.9856953529871084,0.9834978939042415,0.7073170731707317,0.23631123919308358,0.002984827000730963,0.020268451759737866
cv,3.0,0.0010786994967297695,1971664.035207597,-3137442.070415194,1711604.471839073,0.9799121701244384,0.9764317171760107,0.6666666666666666,0.2680115273775216,0.0034626907490715154,0.020781643964490348
