solver,nu,fold,train_loglik,heldout_logdens,heldout_per_cell,heldout_rmse,n_test,n_orphan,n_iter
anderson,inf,0,1032362.197712001,140421.24710233166,0.8123126994454182,0.08341792011148531,172866,0,29
anderson,15.0,0,1076811.697573196,152534.3533079515,0.8823849299917363,0.08382509317163006,172866,0,498
anderson,10.0,0,1090974.313018102,153548.93767340895,0.888254125585187,0.08430222809078489,172866,0,685
anderson,8.0,0,1099896.2485468423,153713.06565806133,0.8892035776732343,0.08464140413912634,172866,0,575
anderson,6.0,0,1112537.6088889164,153187.26001388064,0.8861618826945764,0.0851481141573415,172866,0,733
anderson,5.0,0,1121194.7403942142,151994.81635306476,0.8792638017485495,0.08554698664131499,172866,0,705
anderson,4.0,0,1132456.1998878345,149549.8052258989,0.8651198340095733,0.08608794790134516,172866,0,740
anderson,3.0,0,1148101.4099462866,143776.50557527287,0.8317222911114555,0.08686569211970245,172866,0,766
anderson,inf,1,1030334.2773526127,143878.43584664437,0.8334111600380238,0.082832581012789,172638,0,35
anderson,15.0,1,1075742.433675429,154143.67356034607,0.8928722156208139,0.08313226153346434,172638,0,535
anderson,10.0,1,1090039.2883523605,155198.0107370675,0.8989794294249672,0.08349270464169593,172638,0,626
anderson,8.0,1,1099045.2707078655,155311.1634037292,0.8996348625663482,0.08378499073033593,172638,0,605
anderson,6.0,1,1111812.5567397336,154751.7755752123,0.8963946267635879,0.08422944637594493,172638,0,752
anderson,5.0,1,1120563.8533796724,153548.5229096618,0.8894248248338246,0.08460018772603874,172638,0,754
anderson,4.0,1,1131933.9952087284,150945.1551292585,0.8743449016396071,0.08513457877573634,172638,0,705
anderson,3.0,1,1147706.2652874787,144828.98036395747,0.8389171582383801,0.08594133125295673,172638,0,868
anderson,inf,2,1029887.5002978656,145249.19360915298,0.8416681265849987,0.08257371898245178,172573,0,60
anderson,15.0,2,1075223.9093600183,155203.07943555486,0.8993474033339796,0.08290296776474927,172573,0,524
anderson,10.0,2,1089474.5064629798,156080.90999152375,0.9044341234812152,0.08332875398640299,172573,0,439
anderson,8.0,2,1098428.4456003348,156155.7310047146,0.9048676850070091,0.08364391598255894,172573,0,755
anderson,6.0,2,1111096.119536484,155426.6974298859,0.9006431911706113,0.08414439232074113,172573,0,751
anderson,5.0,2,1119766.577557883,154161.9930622025,0.893314672991734,0.08453512481149485,172573,0,732
anderson,4.0,2,1131038.474509201,151561.32676472448,0.8782447240572075,0.08508285200609692,172573,0,770
anderson,3.0,2,1146701.350061168,145744.30190762217,0.8445371055009889,0.08586699593453326,172573,0,773
anderson,inf,3,1029056.5037169321,146823.51402838045,0.8526237443721935,0.08227176310599472,172202,0,24
anderson,15.0,3,1074672.6842250307,156149.41541704876,0.9067804985833425,0.08258541440729733,172202,0,517
anderson,10.0,3,1088943.1259324602,156812.73633911982,0.9106324917197235,0.0830582982542932,172202,0,635
anderson,8.0,3,1097913.3858905751,156758.74391659803,0.9103189505150813,0.08340095095838654,172202,0,716
anderson,6.0,3,1110611.1511551945,155669.34124811948,0.9039926438027402,0.08398041507023836,172202,0,681
anderson,5.0,3,1119311.3599392725,154302.54139801348,0.8960554546289443,0.08440942192753166,172202,0,801
anderson,4.0,3,1130641.9783745762,151519.0914814963,0.8798915894211233,0.08499833141435506,172202,0,707
anderson,3.0,3,1146409.510849447,145512.39695755765,0.8450099125303867,0.08582826087074646,172202,0,858
anderson,inf,4,1031568.4599137737,141880.64762789727,0.8211018248881452,0.08317000780607545,172793,0,49
anderson,15.0,4,1076577.7035992327,153574.2071578654,0.8887756283985196,0.08342154558287017,172793,0,516
anderson,10.0,4,1090700.4889679016,154686.12676984892,0.8952106090515757,0.08381403215813114,172793,0,656
anderson,8.0,4,1099589.9414544338,154951.14886167843,0.8967443638438967,0.08411333613323661,172793,0,665
anderson,6.0,4,1112185.5112162845,154471.2433691022,0.8939670204759579,0.08459401711877736,172793,0,723
anderson,5.0,4,1120810.1370229605,153344.20216250326,0.8874445270497258,0.08498342572454239,172793,0,711
anderson,4.0,4,1132030.499982059,150802.2544963241,0.8727335858300053,0.08554140849604398,172793,0,730
anderson,3.0,4,1147625.9474169035,145004.65870200217,0.839181325065264,0.0863318391233158,172793,0,834
cv,inf,0,1032362.1848311329,140421.16912358504,0.8123122483518161,0.08341793690698164,172866,0,102
cv,15.0,0,1076811.7025707907,153200.47130075726,0.8862383077109278,0.08356390491353487,172866,0,700
cv,10.0,0,1090974.2329218339,154142.07661022618,0.89168533205041,0.08399414162040672,172866,0,928
cv,8.0,0,1099896.2859668457,154213.67127170297,0.892099494820861,0.08432290735747941,172866,0,978
cv,6.0,0,1112537.621311759,153588.99011437176,0.8884858220492853,0.08483036857671483,172866,0,1043
cv,5.0,0,1121194.6899409848,152581.24402837057,0.8826561847232571,0.08519387580100253,172866,0,1044
cv,4.0,0,1132456.232317343,150231.41699231323,0.8690628405372556,0.08570341138999721,172866,0,1160
cv,3.0,0,1148101.404406493,144572.2166003418,0.8363253421745271,0.08645762822678081,172866,0,1254
cv,inf,1,1030334.2553943611,143878.19405044583,0.8334097594414083,0.08283263256601205,172638,0,103
cv,15.0,1,1075742.0044830777,154145.7755840103,0.8928843915245211,0.08313365045865388,172638,0,612
cv,10.0,1,1090039.2267256496,154991.23166017616,0.8977816683475026,0.08356643858963564,172638,0,976
cv,8.0,1,1099045.1566287908,155113.97509269573,0.8984926556881784,0.0838678798297176,172638,0,900
cv,6.0,1,1111812.4103679762,154086.7338037353,0.8925423939325947,0.08441879808781268,172638,0,1054
cv,5.0,1,1120563.7986712113,152664.1965873565,0.8843023933743238,0.08484423471027162,172638,0,1098
cv,4.0,1,1131934.0093342876,149893.76839672882,0.8682547781874721,0.08542510696198072,172638,0,1205
cv,3.0,1,1147706.2009387407,143611.2265828743,0.8318633590685383,0.08625519720122604,172638,0,1270
cv,inf,2,1029886.9898140053,145250.7089797987,0.8416769076263304,0.08257343818626828,172573,0,419
cv,15.0,2,1075223.7405614536,154964.00521767652,0.8979620521036114,0.08303808226927663,172573,0,846
cv,10.0,2,1089475.0772743477,155973.79011302526,0.90381340136073,0.08344297292303346,172573,0,1020
cv,8.0,2,1098428.4110619412,156113.27512957325,0.9046216681031983,0.0837435067141357,172573,0,1055
cv,6.0,2,1111096.0638567852,155283.63647391502,0.8998142031135521,0.08427012128757705,172573,0,1068
cv,5.0,2,1119766.521865805,153802.58965565515,0.8912320563219921,0.08471146082739552,172573,0,1088
cv,4.0,2,1131038.466605795,151212.37783613647,0.8762226874200278,0.08527112027718331,172573,0,1141
cv,3.0,2,1146701.3743679982,145333.29369414554,0.8421554570769793,0.08607368683244421,172573,0,1268
cv,inf,3,1029056.4959833892,146823.2647034796,0.8526222965092136,0.08227181597911054,172202,0,100
cv,15.0,3,1074672.6834052932,156194.62783206196,0.9070430531124026,0.08253836095587828,172202,0,729
cv,10.0,3,1088943.118187326,157090.34263486345,0.9122445885347641,0.08293277747065322,172202,0,854
cv,8.0,3,1097913.3587474586,156965.208166653,0.9115179159745705,0.08327114411574153,172202,0,1006
cv,6.0,3,1110611.171603182,156118.45502917073,0.9066007074782565,0.0837808836963986,172202,0,1055
cv,5.0,3,1119311.300532211,154747.4576004477,0.8986391424051271,0.08418631768461227,172202,0,1096
cv,4.0,3,1130642.0048098136,151989.32145746922,0.8826222776591981,0.08475386831292263,172202,0,1179
cv,3.0,3,1146409.518455824,146164.30591771292,0.8487956348806223,0.08554933291728047,172202,0,1257
cv,inf,4,1031568.3666817158,141880.58439395676,0.821101458936165,0.08317002723772143,172793,0,102
cv,15.0,4,1076577.3714166998,153499.03020703857,0.8883405589754132,0.08345807218332017,172793,0,651
cv,10.0,4,1090700.4347450433,154887.6444967644,0.8963768468442842,0.08378913079701916,172793,0,945
cv,8.0,4,1099589.9366944174,155053.60843731556,0.8973373252233341,0.08409827403335457,172793,0,1035
cv,6.0,4,1112185.4793745736,154207.65480836292,0.8924415619172241,0.08466528266351721,172793,0,1097
cv,5.0,4,1120810.1180913667,153066.59345958274,0.8858379301220695,0.08506297470996262,172793,0,1073
cv,4.0,4,1132030.4554450582,150538.92719060634,0.8712096392250053,0.08562310481076653,172793,0,1185
cv,3.0,4,1147625.8984439336,144967.51870198624,0.838966385802586,0.08640201110780847,172793,0,1286
