solver,nu,sigma2,full_loglik,full_aic,full_bic,pearson_vs_L2,spearman_vs_L2,top10_jaccard_vs_L2,max_abs_rank_shift_frac,mean_abs_dv,max_abs_dv
anderson,inf,0.003291913316560022,1242137.2192852022,-1927782.4385704044,1318862.395986903,0.9999999999999999,0.9999999999999999,1.0,0.0,0.0,0.0
anderson,15.0,0.0023648001354131015,1291177.7083382243,-2025863.4166764487,1220781.4178808588,0.9949472702358367,0.9941858991176997,0.8888888888888888,0.13953488372093023,0.001683117807804018,0.016591981671106492
anderson,10.0,0.0020996821900560046,1305696.8240830794,-2054901.6481661587,1191743.1863911487,0.9913631325013952,0.9899076429647402,0.8888888888888888,0.20930232558139536,0.0021469653037404684,0.01916885379899044
anderson,8.0,0.0019364546417351388,1314519.599961553,-2072547.199923106,1174097.6346342014,0.9883670817335698,0.986620758371238,0.8378378378378378,0.25872093023255816,0.0024422596175168653,0.020481584139235846
anderson,6.0,0.0017090245300477988,1326488.9876017664,-2096485.9752035327,1150158.8593537747,0.9835592423627432,0.9815521759765584,0.7894736842105263,0.3081395348837209,0.0028599593305925603,0.022600593749431797
anderson,5.0,0.0015561301365947257,1334258.0212361477,-2112024.0424722955,1134620.792085012,0.9795383348326997,0.9777544240287476,0.7894736842105263,0.34593023255813954,0.003155476781074976,0.0260351118596827
anderson,4.0,0.0013618155068805997,1343736.1366691424,-2130980.273338285,1115664.5612190226,0.9746832727447323,0.9733455768556158,0.7435897435897436,0.37209302325581395,0.0035234198610473483,0.028967640517207065
anderson,3.0,0.0011042522002392436,1355452.806474323,-2154413.612948646,1092231.2216086616,0.9677817852500391,0.9669681363806535,0.7,0.4011627906976744,0.004034984749589249,0.03190064169266825
cv,inf,0.003291913383301929,1242137.210516347,-1927782.4210326942,1318862.4135246133,1.0,0.9999999999999999,1.0,0.0,0.0,0.0
cv,15.0,0.002364795490198646,1291177.7384039485,-2025863.476807897,1220781.3577494104,0.9949062013856788,0.9940379156140283,0.8888888888888888,0.13953488372093023,0.0016777047449963028,0.016591963312865398
cv,10.0,0.0020996792088014077,1305696.8567672072,-2054901.7135344143,1191743.121022893,0.991268043131295,0.9897702718238819,0.8888888888888888,0.20930232558139536,0.0021431591698656497,0.019169637428709092
cv,8.0,0.0019364646075561856,1314519.5504501492,-2072547.1009002985,1174097.733657009,0.9882780153367026,0.9864910517146334,0.8378378378378378,0.2616279069767442,0.0024382571967914166,0.020481506529500735
cv,6.0,0.0017090347645717823,1326488.9629559212,-2096485.9259118424,1150158.908645465,0.98349505580465,0.981337570417449,0.7894736842105263,0.311046511627907,0.002855470266965901,0.02278466185326703
cv,5.0,0.001556117316567944,1334258.0647122054,-2112024.129424411,1134620.7051328965,0.979414665800378,0.9775766669516281,0.7894736842105263,0.3488372093023256,0.003152381897718703,0.026290854091914645
cv,4.0,0.001361820344780871,1343736.107422903,-2130980.214845806,1115664.6197115015,0.9745147138528253,0.9732141014718756,0.7435897435897436,0.375,0.003520810819196439,0.029265167681679687
cv,3.0,0.0011042682200971125,1355452.740169608,-2154413.480339216,1092231.3542180914,0.9676516737148584,0.9668617179646666,0.7,0.4011627906976744,0.0040313697026739745,0.03213172463553665
