solver,nu,sigma2,full_loglik,full_aic,full_bic,pearson_vs_L2,spearman_vs_L2,top10_jaccard_vs_L2,max_abs_rank_shift_frac,mean_abs_dv,max_abs_dv
anderson,inf,0.002876874616934636,574056.2959550633,-898140.5919101266,458037.0011391917,0.9999999999999998,0.9999999999999999,1.0,0.0,0.0,0.0
anderson,15.0,0.0021292998165836487,592461.9360653105,-934951.872130621,421225.7209186973,0.9952041164468894,0.9952244457209077,0.7894736842105263,0.142433234421365,0.0014634947728607006,0.014886867176033276
anderson,10.0,0.0018988884503016946,598117.80661322,-946263.61322644,409913.97982287826,0.9923580508778227,0.9923053720987981,0.7894736842105263,0.1394658753709199,0.0018861973152871304,0.01573844735030736
anderson,8.0,0.0017579934530641075,601485.1931232751,-952998.3862465501,403179.20680276817,0.9903871033572945,0.9905533008420475,0.7894736842105263,0.1661721068249258,0.0021141320512308324,0.016238331854571054
anderson,6.0,0.0015592391865369602,606053.2726619781,-962134.5453239563,394043.047725362,0.9869716998561877,0.9864258373445773,0.7894736842105263,0.2166172106824926,0.0024896710158427873,0.01700794026973225
anderson,5.0,0.001424057683770996,609018.9814817553,-968065.9629635105,388111.63008580776,0.9838734934663365,0.9829370583764555,0.7435897435897436,0.28486646884273,0.002769673336081226,0.0176374416060662
anderson,4.0,0.0012505241096391136,612634.6380608757,-975297.2761217514,380880.3169275669,0.9784724211330382,0.9767010266610813,0.7,0.35014836795252224,0.0031472099184325906,0.018596281221668367
anderson,3.0,0.0010171976377649197,617111.1444230592,-984250.2888461184,371927.3042031999,0.9673471213581033,0.9631710733913426,0.6585365853658537,0.4421364985163205,0.0036964094048843018,0.02302867994894195
cv,inf,0.002876875877719447,574056.212546739,-898140.425093478,458037.16795584024,1.0,0.9999999999999999,1.0,0.0,0.0,0.0
cv,15.0,0.002124377877880065,592576.3031113031,-935180.6062226063,420996.98682671203,0.9941080821093826,0.9947174487233833,0.7894736842105263,0.1513353115727003,0.0015774964081030106,0.014770665074287804
cv,10.0,0.0018989077817896025,598117.7666961469,-946263.5333922938,409914.05965702445,0.9911752093143533,0.9917732917618787,0.7894736842105263,0.1661721068249258,0.001980618267767191,0.015654149841583975
cv,8.0,0.0017580212229190049,601485.1396187545,-952998.279237509,403179.3138118093,0.9894258462096898,0.9901779913763478,0.7894736842105263,0.1661721068249258,0.0022028527834945908,0.01615563844760635
cv,6.0,0.0015592447405355966,606053.2631000698,-962134.5262001397,394043.06684917863,0.9865453831186697,0.9863512144098767,0.7894736842105263,0.2166172106824926,0.002507088514758448,0.01692734638107414
cv,5.0,0.0014240295488605445,609019.0552268997,-968066.1104537994,388111.48259551893,0.984107090658779,0.9831405469672987,0.7435897435897436,0.28486646884273,0.00270428073264171,0.017558796047665207
cv,4.0,0.0012505397307800766,612634.6278466479,-975297.2556932957,380880.33735602256,0.9798707175947572,0.9778975019502295,0.7,0.35014836795252224,0.003072900938287908,0.018514778494545883
cv,3.0,0.0010172117790891817,617111.1442998933,-984250.2885997866,371927.3044495317,0.9705086561070415,0.9654972395784994,0.6585365853658537,0.4124629080118694,0.003619995556002086,0.021943031403224653
