solver,nu,fold,train_loglik,heldout_logdens,heldout_per_cell,heldout_rmse,n_test,n_orphan,n_iter
anderson,inf,0,201028.9946422032,28287.51074363126,0.7667446600610214,0.09171321126490824,36893,0,8
anderson,15.0,0,211049.82131280866,31678.653643089336,0.8586629887265697,0.09139798748774375,36893,0,31
anderson,10.0,0,214363.87411966946,32111.39058822322,0.8703925023235634,0.09205821402469548,36893,0,680
anderson,8.0,0,216406.3705470606,32385.467930511204,0.8778214818667824,0.09234120714015773,36893,0,506
anderson,6.0,0,219281.3812997823,32583.445224617164,0.8831877381784394,0.09281706896786333,36893,0,678
anderson,5.0,0,221225.5708779852,32583.46268588304,0.8831882114732617,0.09319240459928667,36893,0,645
anderson,4.0,0,223712.82402691193,32423.805995176368,0.8788606509412725,0.09371963657855509,36893,0,762
anderson,3.0,0,227065.44949409645,31750.841769876224,0.8606196777132851,0.09452421450261525,36893,0,760
anderson,inf,1,201115.3395836027,28089.071363109735,0.7643908717204053,0.09184977714810737,36747,0,7
anderson,15.0,1,211049.16290647755,31782.54731164166,0.8649018235948965,0.09162851828940702,36747,0,44
anderson,10.0,1,214293.0086953551,32349.91840278824,0.8803417531441543,0.09220829965357887,36747,0,618
anderson,8.0,1,216304.31127363213,32672.110868049298,0.8891096107995019,0.0924531058290173,36747,0,505
anderson,6.0,1,219147.41271128753,32905.88285207224,0.8954712725412207,0.09292341306135206,36747,0,718
anderson,5.0,1,221075.88998047772,32931.11450563597,0.896157904199961,0.09328169994982828,36747,0,712
anderson,4.0,1,223546.07337876258,32738.110437760923,0.8909056640749156,0.09381607237419995,36747,0,810
anderson,3.0,1,226868.8788099035,32073.224290419028,0.8728120469812237,0.09460105078309719,36747,0,769
anderson,inf,2,201111.49407848535,28270.94503552084,0.768691746030802,0.09165666780253608,36778,0,7
anderson,15.0,2,211034.66298598444,31873.230822003632,0.8666385018762204,0.09147935575066814,36778,0,20
anderson,10.0,2,214318.2139532195,32280.043194129856,0.8776997986331463,0.09221431119841815,36778,0,491
anderson,8.0,2,216349.28808685788,32499.350362014233,0.8836627973792548,0.09254314532718269,36778,0,501
anderson,6.0,2,219218.98124093277,32607.211178033365,0.8865955510912329,0.09316980105900043,36778,0,585
anderson,5.0,2,221164.95453830052,32563.94279752585,0.885419076554621,0.09360420645328264,36778,0,791
anderson,4.0,2,223659.336203366,32386.934932213273,0.8806062029532131,0.0941720711230442,36778,0,884
anderson,3.0,2,227015.96715138602,31778.398173777292,0.8640599862357196,0.0949844272652537,36778,0,806
anderson,inf,3,201056.8617314354,28172.422731428116,0.7611493997089702,0.09188192844989125,37013,0,8
anderson,15.0,3,210964.6084561663,31756.61342870626,0.8579853950964866,0.09171050119709848,37013,0,22
anderson,10.0,3,214258.90938639245,32147.44344278408,0.8685446584384967,0.09225848490997578,37013,0,480
anderson,8.0,3,216308.89065236555,32352.42093110068,0.8740826447761781,0.09258445461871327,37013,0,616
anderson,6.0,3,219211.63460130768,32381.23935577705,0.8748612475556439,0.09325669018955386,37013,0,622
anderson,5.0,3,221180.35223704408,32342.498934356547,0.8738145768880271,0.09366260711034258,37013,0,583
anderson,4.0,3,223702.95131915313,32136.075488099756,0.8682375243319849,0.0942267781386321,37013,0,763
anderson,3.0,3,227090.90558424196,31559.01403964787,0.8526467468091716,0.0949409036926556,37013,0,834
anderson,inf,4,200243.06577016058,29576.30008931031,0.7989923572766651,0.09055367119436938,37017,0,8
anderson,15.0,4,210453.95710908936,32306.5106802635,0.8727479450053623,0.09036713981982754,37017,0,31
anderson,10.0,4,213817.60000237258,32796.70499450798,0.8859903556341134,0.0907633697920096,37017,0,736
anderson,8.0,4,215886.0750192653,33045.28730078008,0.8927057109106649,0.09097711385329743,37017,0,707
anderson,6.0,4,218805.49896219396,33172.96401355004,0.8961548481386941,0.09143663794580474,37017,0,636
anderson,5.0,4,220783.01495771937,33120.05732786696,0.8947255943989778,0.09181855508592278,37017,0,643
anderson,4.0,4,223312.99898173887,32870.27301667949,0.8879777674225219,0.09235925591616531,37017,0,671
anderson,3.0,4,226716.6735027469,32186.32948452372,0.8695012962834299,0.09313061635524153,37017,0,793
cv,inf,0,201028.99458645604,28287.528845025707,0.7667451507067928,0.09171319075315046,36893,0,13
cv,15.0,0,211115.8898978215,31769.65928658707,0.8611297342744442,0.09123531716570449,36893,0,544
cv,10.0,0,214363.85994321026,32407.937388024093,0.8784305257914534,0.0913907629399695,36893,0,994
cv,8.0,0,216406.40795572725,32653.27853642487,0.8850805989327208,0.09165576541873843,36893,0,813
cv,6.0,0,219281.35520461516,32790.96043960923,0.888812523774408,0.09216057734685801,36893,0,901
cv,5.0,0,221225.5754706476,32756.32679588419,0.887873764559244,0.09255863648491533,36893,0,1012
cv,4.0,0,223712.80101827782,32516.206669022406,0.8813652093628169,0.09314938168415143,36893,0,1041
cv,3.0,0,227065.46501383808,31748.828575336443,0.8605651092439336,0.09400763764833774,36893,0,1134
cv,inf,1,201115.3395467795,28089.0694680211,0.7643908201491578,0.09184977930179118,36747,0,13
cv,15.0,1,211049.16271072882,31782.57177158908,0.8649024892260342,0.09162853704753392,36747,0,60
cv,10.0,1,214293.01443669194,32326.124924369455,0.879694258697838,0.09219507201424093,36747,0,860
cv,8.0,1,216304.40989886443,32605.85775659347,0.8873066578657705,0.09251095828437114,36747,0,914
cv,6.0,1,219147.35238640843,32872.272575926654,0.894556632539436,0.09298491393674956,36747,0,903
cv,5.0,1,221075.88324433504,32818.08834097938,0.8930821112194025,0.09345138741898443,36747,0,1087
cv,4.0,1,223546.0697482603,32665.823692894883,0.888938517236642,0.09400095568064805,36747,0,1153
cv,3.0,1,226868.86681143177,31973.00295828594,0.8700847132632852,0.0948205667167773,36747,0,1025
cv,inf,2,201111.49404837616,28270.92850063731,0.7686912964445405,0.09165668658543637,36778,0,13
cv,15.0,2,211034.6628236431,31873.193563724064,0.8666374888173382,0.09147937030837365,36778,0,27
cv,10.0,2,214318.3486118236,32580.98623723286,0.885882490544153,0.09148866743577666,36778,0,969
cv,8.0,2,216349.27087950433,32786.03614999029,0.8914578321276384,0.0917881568131285,36778,0,734
cv,6.0,2,219219.06117039663,32952.92568622499,0.8959955866611831,0.09225025865349,36778,0,1035
cv,5.0,2,221164.9282108201,32935.39838702856,0.8955190164508282,0.0926123767225187,36778,0,1118
cv,4.0,2,223659.2947710473,32709.801596023797,0.8893850017951982,0.09314388191385135,36778,0,1090
cv,3.0,2,227015.9096169698,32059.002346208577,0.8716896608355151,0.09391457155687917,36778,0,1019
cv,inf,3,201056.8616498797,28172.435573510633,0.7611497466703762,0.09188191400010777,37013,0,13
cv,15.0,3,210964.60812094453,31756.543252021296,0.857983499095488,0.0917105876481194,37013,0,29
cv,10.0,3,214258.90565584207,32145.47123585035,0.8684913742698606,0.09231533637692806,37013,0,648
cv,8.0,3,216308.87524763256,32406.079792475444,0.8755323749081524,0.0925660206415144,37013,0,912
cv,6.0,3,219211.65089594809,32560.487175687736,0.8797040816925874,0.09306847124875321,37013,0,988
cv,5.0,3,221180.47812245123,32524.943871329557,0.8787437892451181,0.09346801866856853,37013,0,1183
cv,4.0,3,223702.93908296328,32376.21486693812,0.8747254982556972,0.09393879429369807,37013,0,1113
cv,3.0,3,227090.90148698527,31709.862374870885,0.8567222968921969,0.09470214379310134,37013,0,1163
cv,inf,4,200243.0656811227,29576.347298413613,0.7989936326124109,0.0905536166966041,37017,0,13
cv,15.0,4,210453.97673119057,32306.49875997981,0.872747622983489,0.09036714264923626,37017,0,39
cv,10.0,4,213817.64940243767,32550.03679779096,0.8793267092900818,0.09120928670370443,37017,0,1078
cv,8.0,4,215886.10916887372,32761.228967554816,0.8850319844275554,0.09154001547036533,37017,0,1078
cv,6.0,4,218805.54274326644,32961.05061150227,0.8904300891888125,0.09201540976297799,37017,0,887
cv,5.0,4,220783.07685984747,32974.0883078569,0.8907822975351029,0.09236122149657443,37017,0,1029
cv,4.0,4,223313.05064740224,32759.591121779013,0.8849877386546455,0.09289885567439408,37017,0,1117
cv,3.0,4,226716.74112604477,32027.89401828865,0.8652212231755315,0.09371107480672514,37017,0,1081
