slice,slug,solver,nu,source,full_loglik,full_aic,full_bic,n_iter,converged,cv_logdens,cv_per_cell,heldout_rmse,n_test_total,is_selected
Po10_B,Po10_B_14-25_mrc2,anderson,inf,grid,242235.53446075175,-384201.0689215035,123421.9656605426,7.0,True,142396.24996300027,0.7720129790672725,0.09153105117196246,184448,False
Po10_B,Po10_B_14-25_mrc2,anderson,15.0,grid,253651.71924644068,-407033.43849288137,100589.59608916473,361.0,True,159397.55588570438,0.8641869572221135,0.09131670050894898,184448,False
Po10_B,Po10_B_14-25_mrc2,anderson,10.0,grid,257184.1465212869,-414098.2930425738,93524.7415394723,535.0,True,161685.50062243338,0.8765912377604169,0.09190053591573558,184448,False
Po10_B,Po10_B_14-25_mrc2,anderson,8.0,grid,259356.42044223344,-418442.8408844669,89180.1936975792,449.0,True,162954.63739245548,0.8834719671259947,0.09217980535367368,184448,False
Po10_B,Po10_B_14-25_mrc2,anderson,6.0,grid,262345.23952584306,-424420.4790516861,83202.55553035997,667.0,True,163650.74262404986,0.8872459588829906,0.09272072224471488,184448,False
Po10_B,Po10_B_14-25_mrc2,anderson,5.0,grid,264305.97758607066,-428341.9551721413,79281.07940990478,662.0,True,163541.0762512684,0.8866513936245901,0.0931118946397326,184448,False
Po10_B,Po10_B_14-25_mrc2,anderson,4.0,grid,266716.4405278153,-433162.8810556306,74460.15352641547,705.0,True,162555.1998699298,0.8813063837500532,0.09365876282611933,184448,False
Po10_B,Po10_B_14-25_mrc2,anderson,3.0,grid,269724.5604876025,-439179.120975205,68443.91360684112,722.0,True,159347.80775824413,0.8639172436580723,0.09443624251977265,184448,False
Po10_B,Po10_B_14-25_mrc2,anderson,5.983246561891394,brent,,,,,,163646.60588999913,0.8872235312391521,,184448,False
Po10_B,Po10_B_14-25_mrc2,anderson,6.685333720787763,brent,,,,,,163506.17324450094,0.8864621641031669,,184448,False
Po10_B,Po10_B_14-25_mrc2,anderson,5.586710869787745,brent,,,,,,163660.07969876626,0.8872965806013958,,184448,False
Po10_B,Po10_B_14-25_mrc2,anderson,5.686990565768965,brent,,,,,,163673.42618828604,0.88736893969187,,184448,False
Po10_B,Po10_B_14-25_mrc2,anderson,5.751191286929834,brent,,,,,,163674.71707486108,0.887375938339592,,184448,True
Po10_B,Po10_B_14-25_mrc2,anderson,5.7320524161631035,brent,,,,,,163674.53412829805,0.8873749464797561,,184448,False
Po10_B,Po10_B_14-25_mrc2,anderson,5.770394060876025,brent,,,,,,163672.1929754865,0.8873622537272646,,184448,False
Po10_B,Po10_B_14-25_mrc2,cv,inf,grid,242235.53440794954,-384201.0688158991,123421.96576614701,11.0,True,142396.30968560837,0.7720133028583035,0.09153103746741797,184448,False
Po10_B,Po10_B_14-25_mrc2,cv,15.0,grid,253651.9145552328,-407033.8291104656,100589.2054715805,684.0,True,159488.46663390132,0.8646798373194685,0.09128419096379355,184448,False
Po10_B,Po10_B_14-25_mrc2,cv,10.0,grid,257184.15551217826,-414098.3110243565,93524.72355768958,793.0,True,162010.55658326772,0.878353555382914,0.09171982509412392,184448,False
Po10_B,Po10_B_14-25_mrc2,cv,8.0,grid,259356.68488955527,-418443.36977911054,89179.66480293556,863.0,True,163212.4812030389,0.8848698885487448,0.09201218332562357,184448,False
Po10_B,Po10_B_14-25_mrc2,cv,6.0,grid,262345.2437368002,-424420.4874736004,83202.54710844567,975.0,True,164137.69648895087,0.889886019305988,0.09249592618976575,184448,False
Po10_B,Po10_B_14-25_mrc2,cv,5.0,grid,264305.989026282,-428341.97805256397,79281.05652948213,1066.0,True,164008.8457030786,0.8891874441743939,0.09289032815831229,184448,False
Po10_B,Po10_B_14-25_mrc2,cv,4.0,grid,266716.4062229884,-433162.8124459768,74460.22213606932,1007.0,True,163027.63794665821,0.8838677456337732,0.0934263738493486,184448,False
Po10_B,Po10_B_14-25_mrc2,cv,3.0,grid,269724.56157560553,-439179.12315121107,68443.91143083503,1023.0,True,159518.5902729905,0.8648431551059946,0.09423119890436413,184448,False
Po10_B,Po10_B_14-25_mrc2,cv,5.983246561891394,brent,,,,,,164132.44814768713,0.8898575649922316,,184448,False
Po10_B,Po10_B_14-25_mrc2,cv,6.685333720787763,brent,,,,,,163885.76174599974,0.8885201343793359,,184448,False
Po10_B,Po10_B_14-25_mrc2,cv,5.586710869787745,brent,,,,,,164157.86889839915,0.889995385682681,,184448,False
Po10_B,Po10_B_14-25_mrc2,cv,5.678660893988407,brent,,,,,,164168.10566284947,0.8900508851429643,,184448,False
Po10_B,Po10_B_14-25_mrc2,cv,5.725735604043596,brent,,,,,,164175.73538695282,0.8900922503196176,,184448,False
Po10_B,Po10_B_14-25_mrc2,cv,5.82276125491511,brent,,,,,,164156.48965138072,0.8899879079815488,,184448,False
Po10_B,Po10_B_14-25_mrc2,cv,5.762603793360597,brent,,,,,,164169.8437660173,0.8900603084122207,,184448,False
Po10_B,Po10_B_14-25_mrc2,cv,5.706681445323497,brent,,,,,,164177.46829059452,0.8901016453992157,,184448,True
