solver,nu,sigma2,full_loglik,full_aic,full_bic,pearson_vs_L2,spearman_vs_L2,top10_jaccard_vs_L2,max_abs_rank_shift_frac,mean_abs_dv,max_abs_dv
anderson,inf,0.004234555976406151,242235.53446075175,-384201.0689215035,123421.9656605426,0.9999999999999999,1.0,1.0,0.0,0.0,0.0
anderson,15.0,0.002979414084935683,253651.71924644068,-407033.43849288137,100589.59608916473,0.9926340661015439,0.9899063696978295,0.7931034482758621,0.2679245283018868,0.0023180104534069336,0.015565574679223274
anderson,10.0,0.0026235157176030424,257184.1465212869,-414098.2930425738,93524.7415394723,0.9882706642551986,0.9843562594307381,0.7333333333333333,0.3018867924528302,0.0029155332042200845,0.020047644662340602
anderson,8.0,0.0024061854625863502,259356.42044223344,-418442.8408844669,89180.1936975792,0.9851461180322878,0.9809728007841216,0.7333333333333333,0.3132075471698113,0.0032644979677015295,0.022372677357119924
anderson,6.0,0.002106203924889193,262345.23952584306,-424420.4790516861,83202.55553035997,0.9803354722509733,0.9752356878474059,0.7333333333333333,0.3433962264150943,0.0037422937505658133,0.025109588163075465
anderson,5.0,0.001908286671726409,264305.97758607066,-428341.9551721413,79281.07940990478,0.9767743535834675,0.9711487122609268,0.7333333333333333,0.3433962264150943,0.004067986398450622,0.02672946031957872
anderson,4.0,0.0016600319571001493,266716.4405278153,-433162.8810556306,74460.15352641547,0.9715987189382679,0.9643321425347245,0.6774193548387096,0.4037735849056604,0.0045009124229555275,0.028691777291443017
anderson,3.0,0.001337389503943397,269724.5604876025,-439179.120975205,68443.91360684112,0.9633824708242187,0.9550819587562389,0.6774193548387096,0.4528301886792453,0.005108427542472018,0.031341033677125096
cv,inf,0.004234555961739805,242235.53440794954,-384201.0688158991,123421.96576614701,0.9999999999999999,1.0,1.0,0.0,0.0,0.0
cv,15.0,0.002979264282543361,253651.9145552328,-407033.8291104656,100589.2054715805,0.9926329603035916,0.9899063696978295,0.7931034482758621,0.2679245283018868,0.002318129829112654,0.015565223452300663
cv,10.0,0.0026235093932927265,257184.15551217826,-414098.3110243565,93524.72355768958,0.9882699575915976,0.9843562594307381,0.7333333333333333,0.3018867924528302,0.0029154975441066902,0.0200470235363798
cv,8.0,0.002405954934890213,259356.68488955527,-418443.36977911054,89179.66480293556,0.9851437627604831,0.9809728007841216,0.7333333333333333,0.3132075471698113,0.0032645520481844217,0.02237326514462537
cv,6.0,0.0021061975974927716,262345.2437368002,-424420.4874736004,83202.54710844567,0.9803346729400653,0.9752356878474059,0.7333333333333333,0.3433962264150943,0.00374217901216926,0.025108955041069275
cv,5.0,0.001908267722554243,264305.989026282,-428341.97805256397,79281.05652948213,0.9767709311369657,0.9711487122609268,0.7333333333333333,0.3433962264150943,0.004067931296975267,0.026728909089550522
cv,4.0,0.001660078226323602,266716.4062229884,-433162.8124459768,74460.22213606932,0.9715989608230629,0.9643321425347245,0.6774193548387096,0.4037735849056604,0.004500666712878495,0.02869086907849073
cv,3.0,0.0013373912544950585,269724.56157560553,-439179.12315121107,68443.91143083503,0.9633839540841995,0.9550819587562389,0.6774193548387096,0.4528301886792453,0.005108161693800034,0.031340434550872695
