solver,nu,fold,train_loglik,heldout_logdens,heldout_per_cell,heldout_rmse,n_test,n_orphan,n_iter
anderson,inf,0,127283.92062959472,18013.33538442159,0.7436766321699938,0.09543650209226973,24222,0,7
anderson,15.0,0,133934.6813336198,20184.283202675775,0.8333037405117569,0.09528750076437943,24222,0,35
anderson,10.0,0,136130.00034440708,20503.603211892936,0.8464867976175764,0.09580360444088235,24222,0,578
anderson,8.0,0,137500.7522579803,20649.416276490127,0.8525066582648059,0.09613654422041464,24222,0,663
anderson,6.0,0,139451.0481331692,20755.608397017182,0.8568907768564603,0.09666240679361707,24222,0,694
anderson,5.0,0,140786.34324135695,20741.80700951098,0.8563209895760457,0.09708136151281978,24222,0,795
anderson,4.0,0,142507.3318337347,20576.001455756825,0.849475743363753,0.09771321551035152,24222,0,823
anderson,3.0,0,144830.67291789758,20074.828926621412,0.8287849445389073,0.09868922380062811,24222,0,792
anderson,inf,1,127432.18156487506,17646.191900877748,0.7252555135784697,0.09610359150679627,24331,0,7
anderson,15.0,1,133933.52030376034,19926.932787396516,0.8189935796883201,0.09576527139523373,24331,0,19
anderson,10.0,1,136121.53006170038,20243.462809431992,0.8320029102557228,0.09635777800773043,24331,0,617
anderson,8.0,1,137492.9272724666,20461.418658015187,0.8409608589049027,0.09658368744351105,24331,0,552
anderson,6.0,1,139440.21859698853,20592.396462170967,0.846344024584726,0.09708794784359581,24331,0,762
anderson,5.0,1,140765.72056329178,20577.619953931775,0.8457367125860743,0.09751600501675717,24331,0,641
anderson,4.0,1,142469.29999604204,20447.041186232735,0.8403699472373817,0.0980842803692872,24331,0,692
anderson,3.0,1,144760.1089460434,20052.84193737039,0.8241684245353825,0.09890933347313577,24331,0,771
anderson,inf,2,127339.47586481764,17578.349285346132,0.7204241510387759,0.09631834076577066,24400,0,7
anderson,15.0,2,133832.77632797544,19974.69237646785,0.8186349334617972,0.0959839432271119,24400,0,26
anderson,10.0,2,136051.27141228266,20345.48381134899,0.8338313037438111,0.09641773886371478,24400,0,478
anderson,8.0,2,137427.18274402508,20516.67954987305,0.8408475225357808,0.09673445729086821,24400,0,664
anderson,6.0,2,139375.7505369549,20644.102307829744,0.8460697667143338,0.09732535362717054,24400,0,603
anderson,5.0,2,140701.23225561835,20678.710160010676,0.847488121311913,0.09769992592536517,24400,0,687
anderson,4.0,2,142400.659764662,20602.47336123715,0.8443636623457847,0.09825014484558352,24400,0,796
anderson,3.0,2,144688.37954593776,20191.10583051946,0.8275043373163713,0.0991453252389147,24400,0,689
anderson,inf,3,127263.42682972559,17847.94501867706,0.7338189712473094,0.0958191797757714,24322,0,7
anderson,15.0,3,133822.8506499579,20075.313561532872,0.8253973177178222,0.09549135164035451,24322,0,22
anderson,10.0,3,136021.56605258994,20627.52648974226,0.8481015742842801,0.0953600057788951,24322,0,462
anderson,8.0,3,137376.70353748192,20854.770391883278,0.8574447163836558,0.0955335870671622,24322,0,73
anderson,6.0,3,139317.646026564,20936.81376927052,0.8608179331169525,0.09613402574150759,24322,0,543
anderson,5.0,3,140632.2817589405,20961.21620753438,0.8618212403393791,0.09648530780294556,24322,0,700
anderson,4.0,3,142318.42114864863,20858.638086578838,0.8576037368053137,0.09703485511213233,24322,0,790
anderson,3.0,3,144586.0027992747,20411.552134478476,0.8392217800542092,0.09794345151810951,24322,0,752
anderson,inf,4,127102.32074965199,18199.55774933268,0.7506520003849321,0.09520139756885904,24245,0,7
anderson,15.0,4,133718.41906975216,20354.28000581161,0.8395248507243396,0.09488118784829401,24245,0,20
anderson,10.0,4,135947.29825499427,20669.798410368116,0.8525386022012009,0.09515331010639215,24245,0,655
anderson,8.0,4,137342.85539930942,20786.806111705693,0.8573646571130416,0.0954607118832724,24245,0,473
anderson,6.0,4,139327.06692771125,20857.11641072185,0.8602646488233389,0.09599408019420645,24245,0,649
anderson,5.0,4,140681.71347590355,20788.0626162841,0.857416482420462,0.0964524442604118,24245,0,705
anderson,4.0,4,142422.3337641355,20618.304072202533,0.8504146864179226,0.09704380799431146,24245,0,666
anderson,3.0,4,144763.12527607742,20127.804646044377,0.8301837346275264,0.09789647770229008,24245,0,602
