solver,nu,fold,train_loglik,heldout_logdens,heldout_per_cell,heldout_rmse,n_test,n_orphan,n_iter
anderson,inf,0,73701.65407898196,10099.38297317042,0.8149921702041979,0.08367209579128018,12392,0,8
anderson,15.0,0,76703.13995997736,11316.270439614476,0.9131916106854807,0.08368196565788077,12392,0,12
anderson,10.0,0,77681.37332742641,11435.649750639746,0.9228251896901022,0.08451743950821616,12392,0,382
anderson,8.0,0,78271.09971535634,11514.120638953893,0.9291575725430837,0.08491364113635619,12392,0,382
anderson,6.0,0,79095.43643681004,11567.617941963388,0.9334746563882657,0.08548967882748744,12392,0,632
anderson,5.0,0,79653.35654551993,11583.054689250232,0.9347203590421427,0.08582830270077949,12392,0,623
anderson,4.0,0,80373.01282063796,11548.042095626546,0.9318949399311286,0.08624071220482486,12392,0,599
anderson,3.0,0,81359.87157324914,11322.633740720907,0.9137051114203443,0.0869118258768513,12392,0,649
anderson,inf,1,73515.06969635474,10423.830726096183,0.8456783000240291,0.08283755804405363,12326,0,8
anderson,15.0,1,76480.56952473056,11624.548274241177,0.9430916983807542,0.08262553599544604,12326,0,34
anderson,10.0,1,77460.80571367999,11717.601936582389,0.9506410787426893,0.08339644057242453,12326,0,429
anderson,8.0,1,78061.68596897821,11784.207258629931,0.9560447232378656,0.08365011186084238,12326,0,562
anderson,6.0,1,78895.67306758658,11848.68812915295,0.9612760124251947,0.08403345689185404,12326,0,40
anderson,5.0,1,79486.04351950384,11773.789882025167,0.9551995685563173,0.08444270907325704,12326,0,788
anderson,4.0,1,80237.46443642808,11677.673456046048,0.9474017082627006,0.08488256459862861,12326,0,627
anderson,3.0,1,81274.22578611717,11388.239566343469,0.9239201335667263,0.0855261429938208,12326,0,708
anderson,inf,2,73481.3363477437,10502.704715941785,0.8480181442020013,0.0827020402331065,12385,0,8
anderson,15.0,2,76521.38541314291,11569.389583100907,0.9341453034397179,0.08273780229151839,12385,0,20
anderson,10.0,2,77508.15862999485,11679.937124650158,0.9430712252442598,0.08320084897445885,12385,0,442
anderson,8.0,2,78114.82275411615,11742.932547282991,0.9481576542012912,0.08345656524152577,12385,0,511
anderson,6.0,2,78963.98218435585,11774.569542388235,0.9507121148476573,0.08387766703489982,12385,0,772
anderson,5.0,2,79537.99658394109,11752.499411750716,0.9489301099516121,0.08421807405375056,12385,0,560
anderson,4.0,2,80274.48005637349,11648.061809606566,0.9404975219706554,0.08471302315556649,12385,0,676
anderson,3.0,2,81274.90506750815,11389.187253662403,0.919595256654211,0.08535104635627608,12385,0,779
anderson,inf,3,73254.59178767787,10772.285970732699,0.8678928432752738,0.08214586127349623,12412,0,8
anderson,15.0,3,76303.73121883078,11825.819363202923,0.9527730714794492,0.08205187496465736,12412,0,27
anderson,10.0,3,77296.38110539914,11930.913184691382,0.9612401856825155,0.08254143922834216,12412,0,381
