slice,slug,solver,nu,source,full_loglik,full_aic,full_bic,n_iter,converged,cv_logdens,cv_per_cell,heldout_rmse,n_test_total,is_selected
Po10_W,Po10_W_14-25_mrc2,anderson,inf,grid,88677.70790875732,-141593.41581751464,19932.60462869244,8.0,True,51636.00268135507,0.8340898877567169,0.08314136345959454,61907,False
Po10_W,Po10_W_14-25_mrc2,anderson,15.0,grid,92056.07228542678,-148350.14457085356,13175.875875353522,42.0,True,57342.424489575045,0.9262672151707407,0.08312885364143958,61907,False
Po10_W,Po10_W_14-25_mrc2,anderson,10.0,grid,93094.82753679187,-150427.65507358374,11098.365372623346,481.0,True,57944.75816850438,0.935996868989038,0.08378284712081126,61907,False
Po10_W,Po10_W_14-25_mrc2,anderson,8.0,grid,93712.28910219103,-151662.57820438207,9863.442241825018,55.0,True,58300.71874550025,0.9417467935047773,0.08407719266572646,61907,False
Po10_W,Po10_W_14-25_mrc2,anderson,6.0,grid,94559.94890420433,-153357.89780840866,8168.122637798428,530.0,True,58522.12743056934,0.945323266037271,0.08455503745822292,61907,True
Po10_W,Po10_W_14-25_mrc2,anderson,5.0,grid,95105.52989858687,-154449.05979717374,7076.960649033339,603.0,True,58365.28729862459,0.9427897862701244,0.08493603180985825,61907,False
Po10_W,Po10_W_14-25_mrc2,anderson,4.0,grid,95770.94354701972,-155779.88709403944,5746.133352167642,894.0,True,57892.86037284155,0.9351585502906222,0.08541837349226271,61907,False
Po10_W,Po10_W_14-25_mrc2,anderson,3.0,grid,96598.47024740253,-157434.94049480505,4091.0799514020327,592.0,True,56462.81525434905,0.9120586566034382,0.08612186778902228,61907,False
Po10_W,Po10_W_14-25_mrc2,anderson,5.983246561891394,brent,,,,,,58482.89231974365,0.9446894910065687,,61907,False
Po10_W,Po10_W_14-25_mrc2,anderson,6.685333720787763,brent,,,,,,58473.90094851943,0.9445442510300843,,61907,False
Po10_W,Po10_W_14-25_mrc2,anderson,5.586710869787745,brent,,,,,,58488.22974750022,0.9447757078763341,,61907,False
Po10_W,Po10_W_14-25_mrc2,anderson,5.354891904508666,brent,,,,,,58423.29766131847,0.9437268428662101,,61907,False
Po10_W,Po10_W_14-25_mrc2,anderson,5.73497346179449,brent,,,,,,58479.30902243402,0.9446316090657603,,61907,False
Po10_W,Po10_W_14-25_mrc2,anderson,5.497002382781645,brent,,,,,,58441.20372988174,0.9440160842858116,,61907,False
Po10_W,Po10_W_14-25_mrc2,anderson,5.642884251475777,brent,,,,,,58486.92720287486,0.944754667531537,,61907,False
Po10_W,Po10_W_14-25_mrc2,anderson,5.5522737616278075,brent,,,,,,58478.522533573116,0.944618904705011,,61907,False
Po10_W,Po10_W_14-25_mrc2,anderson,5.60810088433341,brent,,,,,,58483.54075405886,0.9446999653360502,,61907,False
Po10_W,Po10_W_14-25_mrc2,cv,inf,grid,88677.70788379283,-141593.41576758565,19932.60467862143,13.0,True,51635.97125890683,0.834089380181673,0.08314138130224322,61907,False
Po10_W,Po10_W_14-25_mrc2,cv,15.0,grid,92056.07217148595,-148350.1443429719,13175.876103235176,53.0,True,57342.62332111143,0.9262704269486719,0.08312861238491161,61907,False
Po10_W,Po10_W_14-25_mrc2,cv,10.0,grid,93094.83772622579,-150427.67545245157,11098.344993755512,727.0,True,57979.88210339896,0.9365642351171751,0.0837021609296748,61907,False
Po10_W,Po10_W_14-25_mrc2,cv,8.0,grid,93716.28420690137,-151670.56841380274,9855.45203240434,459.0,True,58372.36414488999,0.9429041004230537,0.0839632160513731,61907,False
Po10_W,Po10_W_14-25_mrc2,cv,6.0,grid,94559.96043698749,-153357.92087397497,8168.0995722321095,806.0,True,58565.878412252,0.9460299871137674,0.08444162992807205,61907,False
Po10_W,Po10_W_14-25_mrc2,cv,5.0,grid,95105.53330559938,-154449.06661119877,7076.953835008317,903.0,True,58355.99382560446,0.9426396663641343,0.08485899669806465,61907,False
Po10_W,Po10_W_14-25_mrc2,cv,4.0,grid,95770.90400003002,-155779.80800006003,5746.212446147052,932.0,True,57806.16636188979,0.9337581592047715,0.08539097886583677,61907,False
Po10_W,Po10_W_14-25_mrc2,cv,3.0,grid,96598.46913157833,-157434.93826315666,4091.0821830504283,957.0,True,56344.6698976911,0.9101502236853846,0.08613508354691175,61907,False
Po10_W,Po10_W_14-25_mrc2,cv,5.983246561891394,brent,,,,,,58556.43869193547,0.9458775048368597,,61907,False
Po10_W,Po10_W_14-25_mrc2,cv,6.685333720787763,brent,,,,,,58492.64830455536,0.9448470819867764,,61907,False
Po10_W,Po10_W_14-25_mrc2,cv,5.586710869787745,brent,,,,,,58573.31475302508,0.9461501082757213,,61907,False
Po10_W,Po10_W_14-25_mrc2,cv,5.405926058961391,brent,,,,,,58437.70119237108,0.9439595068792073,,61907,False
Po10_W,Po10_W_14-25_mrc2,cv,5.73497346179449,brent,,,,,,58576.66932334737,0.9462042955295422,,61907,True
Po10_W,Po10_W_14-25_mrc2,cv,5.701560305722114,brent,,,,,,58573.17890348098,0.9461479138624223,,61907,False
Po10_W,Po10_W_14-25_mrc2,cv,5.828565524604799,brent,,,,,,58570.59755671909,0.9461062166914742,,61907,False
Po10_W,Po10_W_14-25_mrc2,cv,5.770543736222076,brent,,,,,,58573.60902702538,0.9461548617607924,,61907,False
