solver,nu,sigma2,full_loglik,full_aic,full_bic,pearson_vs_L2,spearman_vs_L2,top10_jaccard_vs_L2,max_abs_rank_shift_frac,mean_abs_dv,max_abs_dv
anderson,inf,0.003336791407519799,88677.70790875732,-141593.41581751464,19932.60462869244,1.0,1.0,1.0,0.0,0.0,0.0
anderson,15.0,0.002416879465458038,92056.07228542678,-148350.14457085356,13175.875875353522,0.9923084751753121,0.9895481579453222,0.8181818181818182,0.1477832512315271,0.0021845919559393885,0.014731331824432412
anderson,10.0,0.0021423453411120253,93094.82753679187,-150427.65507358374,11098.365372623346,0.98784017519677,0.984332278490092,0.7391304347826086,0.1921182266009852,0.0027664215604514793,0.015577247322734931
anderson,8.0,0.0019793054645682474,93712.28910219103,-151662.57820438207,9863.442241825018,0.9847053743635361,0.9809927385088553,0.6666666666666666,0.20689655172413793,0.0031104657071356154,0.015969335389324765
anderson,6.0,0.0017459072888151251,94559.94890420433,-153357.89780840866,8168.122637798428,0.9795935507437199,0.9738244905336666,0.6666666666666666,0.2315270935960591,0.00359879507819784,0.016752322601495635
anderson,5.0,0.0015907448888188185,95105.52989858687,-154449.05979717374,7076.960649033339,0.975503909336948,0.9694434960737455,0.6666666666666666,0.2660098522167488,0.0039382462785370964,0.018104442753723263
anderson,4.0,0.0013922720257306116,95770.94354701972,-155779.88709403944,5746.133352167642,0.9694854391821371,0.96116063359451,0.6666666666666666,0.3497536945812808,0.004380614047327983,0.019814122636408117
anderson,3.0,0.0011286191340382121,96598.47024740253,-157434.94049480505,4091.0799514020327,0.959627593995511,0.9509583963322442,0.6,0.39901477832512317,0.004997082493370472,0.022306251738394435
cv,inf,0.0033367914048373134,88677.70788379283,-141593.41576758565,19932.60467862143,1.0,1.0,1.0,0.0,0.0,0.0
cv,15.0,0.0024168830761312162,92056.07217148595,-148350.1443429719,13175.876103235176,0.9923101327014837,0.9895079916568882,0.8181818181818182,0.1477832512315271,0.0021843983811666297,0.014737818553340366
cv,10.0,0.0021423298916717144,93094.83772622579,-150427.67545245157,11098.344993755512,0.9878526835768436,0.9843566651652127,0.7391304347826086,0.1921182266009852,0.00276554830401498,0.015583542323325886
cv,8.0,0.00197623414336827,93716.28420690137,-151670.56841380274,9855.45203240434,0.9847220416569327,0.9809367926071078,0.6666666666666666,0.20689655172413793,0.003109368200423451,0.016018427686795015
cv,6.0,0.0017458856681897613,94559.96043698749,-153357.92087397497,8168.0995722321095,0.9795982019946223,0.9737900622864374,0.6666666666666666,0.2315270935960591,0.0035985349321186176,0.01675014428150515
cv,5.0,0.0015907419906665166,95105.53330559938,-154449.06661119877,7076.953835008317,0.9755099782337282,0.9694635792179626,0.6666666666666666,0.2660098522167488,0.003937876887881396,0.01810223640545242
cv,4.0,0.00139240314561051,95770.90400003002,-155779.80800006003,5746.212446147052,0.969491171230643,0.9611491575121002,0.6666666666666666,0.3497536945812808,0.004380551961738272,0.01981116569542349
cv,3.0,0.0011286301442663392,96598.46913157833,-157434.93826315666,4091.0821830504283,0.9596440310085758,0.9509454857395331,0.6,0.39901477832512317,0.00499653738501132,0.02230373788391674
