solver,nu,fold,train_loglik,heldout_logdens,heldout_per_cell,heldout_rmse,n_test,n_orphan,n_iter
als,inf,0,29341.79346312313,5816.521515400827,1.422828159344625,0.05258014016063655,4088,0,28
als,15.0,0,32860.67582549661,6140.237413251813,1.5020150228111089,0.0524434905029436,4088,0,32
als,10.0,0,33569.94199399512,6228.497472685727,1.5236050569192092,0.05273071809805117,4088,0,32
als,8.0,0,33995.76503825846,6255.575038527652,1.530228727624181,0.05304598191847239,4088,0,150
als,6.0,0,34543.43084470714,6289.394901566687,1.538501688250168,0.053452520115503124,4088,0,133
als,5.0,0,34902.69700144468,6304.579433307628,1.5422161040380695,0.053723968505673396,4088,0,644
als,4.0,0,35344.3247244793,6307.927982753506,1.543035220830114,0.054078447521745954,4088,0,56
als,3.0,0,35919.798563821845,6230.553838287664,1.524108081772912,0.054639953611020385,4088,0,738
als,inf,1,29423.946987726187,5708.829408700404,1.3893476292772948,0.053370348652205926,4109,0,28
als,15.0,1,32698.007718524797,6376.4130461876775,1.551816268237449,0.05234217123451103,4109,0,49
als,10.0,1,33406.030977597955,6495.870843223709,1.5808884992026548,0.05193690462338727,4109,0,82
als,8.0,1,33820.07513466492,6526.636550198723,1.5883758944265571,0.052106973022643374,4109,0,166
als,6.0,1,34371.1699011798,6556.37119792623,1.5956123626006886,0.05239941515907508,4109,0,129
als,5.0,1,34731.4451291566,6543.0322211229195,1.5923660796113213,0.052696676323444235,4109,0,328
als,4.0,1,35175.96987376798,6526.197974957325,1.5882691591524276,0.05299634786460195,4109,0,438
als,3.0,1,35746.54493611094,6458.733483865692,1.571850446304622,0.05344641490621108,4109,0,952
als,inf,2,29402.598777633575,5841.647054768269,1.4463102388631517,0.05192385489161989,4039,0,28
als,15.0,2,32752.270666127777,6346.104610769222,1.5712068855581138,0.05100535372109503,4039,0,37
als,10.0,2,33447.00157870616,6491.38431562635,1.6071761118163779,0.050922326222144765,4039,0,122
als,8.0,2,33848.89409662497,6538.385208589931,1.6188128766006267,0.051045724639096034,4039,0,295
als,6.0,2,34387.938055624974,6578.85858717655,1.6288335199743873,0.05131981053421855,4039,0,85
als,5.0,2,34744.16311544032,6588.061335715247,1.631111992006746,0.05155989724302856,4039,0,350
als,4.0,2,35183.65309573818,6592.560122632381,1.6322258288270315,0.05185172461354939,4039,0,69
als,3.0,2,35757.94107659493,6522.129803353866,1.614788265252257,0.05227249049625506,4039,0,760
als,inf,3,29253.40219952966,6048.343010063474,1.5109525381122844,0.05020301687526497,4003,0,28
als,15.0,3,32707.912124894385,6528.371754774673,1.6308697863539028,0.04882881945084378,4003,0,64
als,10.0,3,33413.831436516986,6609.32469801359,1.6510928548622508,0.049034304907840304,4003,0,72
als,8.0,3,33827.920398113354,6655.787571664543,1.6626998680151244,0.04910337254495389,4003,0,196
als,6.0,3,34379.579821699794,6689.29418830324,1.6710702443925156,0.049362457854221824,4003,0,43
als,5.0,3,34743.67434537198,6699.63079024169,1.67365245821676,0.0495025504619242,4003,0,356
als,4.0,3,35187.149107912206,6702.580257597633,1.6743892724450744,0.04973251682043642,4003,0,109
als,3.0,3,35757.67868408101,6637.124438835889,1.65803758152283,0.050137273416673185,4003,0,547
als,inf,4,29923.41762089703,5099.816659944605,1.2765498523015282,0.05596483555964724,3995,0,29
als,15.0,4,32740.406072988873,6438.7470889578035,1.611701398988186,0.05583198229187955,3995,0,27
als,10.0,4,33441.98169798155,6549.198912800467,1.6393489143430455,0.05651690866936217,3995,0,97
als,8.0,4,33846.45407372703,6595.152308505656,1.6508516416785122,0.056732672817021726,3995,0,125
als,6.0,4,34393.003872777765,6614.257584348241,1.655633938510198,0.05722425358815615,3995,0,397
als,5.0,4,34748.639925325886,6629.550645119415,1.659461988765811,0.05747202765202683,3995,0,66
als,4.0,4,35194.30531106362,6608.860137503226,1.6542828879857887,0.05780665989980059,3995,0,464
als,3.0,4,35766.361298616626,6545.784572430394,1.6384942609337658,0.05822176482808533,3995,0,450
anderson,inf,0,29341.793501876167,5816.5082356538605,1.4228249108742321,0.05258023565664716,4088,0,11
anderson,15.0,0,32860.67585741896,6140.254675890865,1.5020192455701724,0.052443395324628564,4088,0,15
anderson,10.0,0,33582.64877217713,6220.635219586999,1.5216818051827297,0.05266560270846382,4088,0,70
anderson,8.0,0,33995.76504696649,6243.979168821936,1.5273921645846222,0.05306557445918126,4088,0,107
anderson,6.0,0,34544.900927870505,6278.002684884663,1.5357149424864636,0.053502515161974754,4088,0,231
anderson,5.0,0,34902.68958327002,6287.692156287123,1.5380851654322707,0.05383989303210621,4088,0,428
anderson,4.0,0,35344.3248346426,6291.779681849206,1.5390850493760289,0.05421417022166011,4088,0,50
anderson,3.0,0,35919.74199177333,6215.887351624768,1.5205203893406967,0.05481859916462741,4088,0,393
anderson,inf,1,29423.9470213048,5708.826988073079,1.3893470401735406,0.05337036546640837,4109,0,11
anderson,15.0,1,32697.94727147587,6384.512973885938,1.5537875331920024,0.052265793649625567,4109,0,35
anderson,10.0,1,33405.926063237275,6497.916962738482,1.5813864596589151,0.05197566781472238,4109,0,72
anderson,8.0,1,33819.722266653116,6523.618633436448,1.5876414294077508,0.052202085516011146,4109,0,94
anderson,6.0,1,34371.023586488984,6557.567414971134,1.5959034838089885,0.052464231443170924,4109,0,110
anderson,5.0,1,34728.50709806279,6567.433582189299,1.598304595324726,0.05267087467825785,4109,0,75
anderson,4.0,1,35175.81931604474,6536.643271171839,1.5908112122589046,0.05300921010543487,4109,0,359
anderson,3.0,1,35746.228676606115,6479.571721646009,1.5769218110601142,0.053432636850213495,4109,0,291
anderson,inf,2,29402.598805437603,5841.650716676312,1.4463111455004487,0.05192382783701944,4039,0,10
anderson,15.0,2,32752.270692364204,6346.074405415131,1.5711994071342241,0.05100560606843556,4039,0,24
anderson,10.0,2,33447.00159881432,6407.909445399202,1.586508899578906,0.05247171648291903,4039,0,104
