slice,slug,solver,nu,source,full_loglik,full_aic,full_bic,n_iter,converged,cv_logdens,cv_per_cell,heldout_rmse,n_test_total,is_selected
WA_M,WA_M_14-25_mrc2,als,inf,grid,36120.27021393807,-61108.54042787614,-17052.9845296375,26.0,True,28515.15764887758,1.4092694301115736,0.05280843922787491,20234,False
WA_M,WA_M_14-25_mrc2,als,15.0,grid,40107.351412272736,-69082.70282454547,-25027.14692630683,58.0,True,31829.87391394119,1.5730885595503206,0.0520903634402546,20234,False
WA_M,WA_M_14-25_mrc2,als,10.0,grid,40910.77933972788,-70689.55867945576,-26634.002781217117,92.0,True,32374.276242349843,1.5999938836784542,0.05222823250415713,20234,False
WA_M,WA_M_14-25_mrc2,als,8.0,grid,41378.98167156241,-71625.96334312482,-27570.40744488618,208.0,True,32571.536677486503,1.6097428426157212,0.052406944988437475,20234,False
WA_M,WA_M_14-25_mrc2,als,6.0,grid,41994.70768314754,-72857.41536629508,-28801.859468056442,102.0,True,32728.17645932095,1.617484257157307,0.05275169145023495,20234,False
WA_M,WA_M_14-25_mrc2,als,5.0,grid,42389.971911695335,-73647.94382339067,-29592.387925152027,126.0,True,32764.8544255069,1.6192969469954976,0.05299102403721945,20234,False
WA_M,WA_M_14-25_mrc2,als,4.0,grid,42867.2388512178,-74602.4777024356,-30546.921804196958,408.0,True,32738.12647544407,1.6179760045193274,0.053293139344026866,20234,False
WA_M,WA_M_14-25_mrc2,als,3.0,grid,43448.147036569055,-75764.29407313811,-31708.738174899467,765.0,True,32394.326136773503,1.6009847848558616,0.053743579451649,20234,False
WA_M,WA_M_14-25_mrc2,als,4.670042868388216,brent,,,,,,32765.33171092376,1.6193205352833726,,20234,False
WA_M,WA_M_14-25_mrc2,als,5.13913912064006,brent,,,,,,32755.00787671192,1.6188103131714895,,20234,False
WA_M,WA_M_14-25_mrc2,als,4.401791816882183,brent,,,,,,32757.286350689497,1.6189229193777552,,20234,False
WA_M,WA_M_14-25_mrc2,als,4.734030359738213,brent,,,,,,32763.812783086156,1.6192454671882057,,20234,False
WA_M,WA_M_14-25_mrc2,als,4.625446240004332,brent,,,,,,32765.890933266342,1.6193481730387635,,20234,False
WA_M,WA_M_14-25_mrc2,als,4.538707007887141,brent,,,,,,32767.29988700131,1.6194178060196358,,20234,True
WA_M,WA_M_14-25_mrc2,als,4.485914462708981,brent,,,,,,32759.176288314833,1.619016323431592,,20234,False
WA_M,WA_M_14-25_mrc2,als,4.571644776466314,brent,,,,,,32766.79583836078,1.6193928950460008,,20234,False
WA_M,WA_M_14-25_mrc2,als,4.51846911146289,brent,,,,,,32756.477909621495,1.6188829647929968,,20234,False
WA_M,WA_M_14-25_mrc2,als,4.553861376496701,brent,,,,,,32767.069891175084,1.6194064392198817,,20234,False
WA_M,WA_M_14-25_mrc2,anderson,inf,grid,36120.270246560845,-61108.54049312169,-17052.984594883048,10.0,True,28515.128229687696,1.4092679761632745,0.052808478792414015,20234,False
WA_M,WA_M_14-25_mrc2,anderson,15.0,grid,40107.35161243492,-69082.70322486984,-25027.147326631195,18.0,True,31847.769870832803,1.5739730093324504,0.05205894466582448,20234,False
WA_M,WA_M_14-25_mrc2,anderson,10.0,grid,40897.77641155724,-70663.55282311449,-26607.996924875843,12.0,True,32306.64871712505,1.5966516119959004,0.052442933493026665,20234,False
WA_M,WA_M_14-25_mrc2,anderson,8.0,grid,41378.981699029304,-71625.96339805861,-27570.407499819965,162.0,True,32477.798971132597,1.605110159688277,0.0526983100968579,20234,False
WA_M,WA_M_14-25_mrc2,anderson,6.0,grid,41993.15647965431,-72854.31295930862,-28798.757061069977,16.0,True,32619.62444533078,1.612119424994108,0.05310155557783748,20234,False
WA_M,WA_M_14-25_mrc2,anderson,5.0,grid,42390.87444139532,-73649.74888279063,-29594.19298455199,255.0,True,32678.23210575141,1.6150159190348625,0.05334900873965133,20234,False
WA_M,WA_M_14-25_mrc2,anderson,4.0,grid,42867.23876630263,-74602.47753260526,-30546.92163436662,326.0,True,32596.450743300324,1.6109741397301731,0.05372052590862433,20234,False
WA_M,WA_M_14-25_mrc2,anderson,3.0,grid,43448.134209995784,-75764.26841999157,-31708.712521752925,477.0,True,32304.48169369804,1.5965445138725927,0.05418767370182642,20234,False
WA_M,WA_M_14-25_mrc2,anderson,4.670042868388216,brent,,,,,,32672.36306783894,1.614725860820349,,20234,False
WA_M,WA_M_14-25_mrc2,anderson,5.13913912064006,brent,,,,,,32656.268839349243,1.6139304556365148,,20234,False
WA_M,WA_M_14-25_mrc2,anderson,4.401791816882183,brent,,,,,,32622.544417141857,1.6122637351557703,,20234,False
WA_M,WA_M_14-25_mrc2,anderson,4.8362472531917655,brent,,,,,,32660.870230266934,1.6141578644987118,,20234,False
WA_M,WA_M_14-25_mrc2,anderson,4.565702795129151,brent,,,,,,32662.228237144784,1.6142249795959664,,20234,False
WA_M,WA_M_14-25_mrc2,anderson,4.694924670401896,brent,,,,,,32681.60241163185,1.6151824855012282,,20234,False
WA_M,WA_M_14-25_mrc2,anderson,4.748410975078148,brent,,,,,,32683.674614246454,1.6152848974125953,,20234,True
WA_M,WA_M_14-25_mrc2,anderson,4.7642655311417235,brent,,,,,,32650.795876137883,1.6136599721329388,,20234,False
WA_M,WA_M_14-25_mrc2,anderson,4.73260917991682,brent,,,,,,32662.11165607828,1.614219217953854,,20234,False
