solver,nu,sigma2,full_loglik,full_aic,full_bic,pearson_vs_L2,spearman_vs_L2,top10_jaccard_vs_L2,max_abs_rank_shift_frac,mean_abs_dv,max_abs_dv
als,inf,0.0016481001095425797,36120.27021393807,-61108.54042787614,-17052.9845296375,0.9999999999999998,1.0,1.0,0.0,0.0,0.0
als,15.0,0.0007969804293041835,40107.351412272736,-69082.70282454547,-25027.14692630683,0.9828764296281413,0.9840209101993004,0.6666666666666666,0.2193877551020408,0.0026308657896499106,0.019654574865704995
als,10.0,0.0006700113117532036,40910.77933972788,-70689.55867945576,-26634.002781217117,0.9752864723323236,0.9778355074946808,0.6,0.2755102040816326,0.0031927384949869487,0.026492718758123056
als,8.0,0.0005988421476501632,41378.98167156241,-71625.96334312482,-27570.40744488618,0.970102239075626,0.973910063830296,0.6,0.29591836734693877,0.0035167118170301476,0.030278987308387427
als,6.0,0.0005095718072747658,41994.70768314754,-72857.41536629508,-28801.859468056442,0.9627167452935749,0.96751269035533,0.6,0.3163265306122449,0.003942412425275141,0.03450781127729057
als,5.0,0.00045322841557819416,42389.971911695335,-73647.94382339067,-29592.387925152027,0.9575498872197211,0.9624397357537315,0.5384615384615384,0.30612244897959184,0.004239935291644354,0.036635761105754436
als,4.0,0.0003859448737760668,42867.2388512178,-74602.4777024356,-30546.921804196958,0.9509332209938473,0.9554717943405399,0.5384615384615384,0.3112244897959184,0.00461165772906161,0.03858856400689338
als,3.0,0.00030526092572363383,43448.147036569055,-75764.29407313811,-31708.738174899467,0.9434029639539053,0.9462757691909253,0.42857142857142855,0.3673469387755102,0.005048534737317856,0.03917991798965216
anderson,inf,0.0016481001261454003,36120.270246560845,-61108.54049312169,-17052.984594883048,0.9999999999999998,1.0,1.0,0.0,0.0,0.0
anderson,15.0,0.0007969771184372687,40107.35161243492,-69082.70322486984,-25027.147326631195,0.9828789676584839,0.9840209101993004,0.6666666666666666,0.2193877551020408,0.002631361540183103,0.019653694777890744
anderson,10.0,0.0006723548275698689,40897.77641155724,-70663.55282311449,-26607.996924875843,0.9754481759516062,0.9776617870889083,0.6,0.2755102040816326,0.003181890555566236,0.026443212038240183
anderson,8.0,0.0005988405240902307,41378.981699029304,-71625.96339805861,-27570.407499819965,0.9701056054925928,0.973910063830296,0.6,0.29591836734693877,0.0035174525205389907,0.03027802326951535
anderson,6.0,0.000510043150160529,41993.15647965431,-72854.31295930862,-28798.757061069977,0.9627127222524079,0.9675684721370001,0.6,0.3163265306122449,0.003943567163763124,0.03449205026104995
anderson,5.0,0.0004526836854121123,42390.87444139532,-73649.74888279063,-29594.19298455199,0.9574349782783602,0.9623090470081044,0.5384615384615384,0.30612244897959184,0.004246364974166705,0.03664425794901764
anderson,4.0,0.00038594384513886685,42867.23876630263,-74602.47753260526,-30546.92163436662,0.9509382830654154,0.9554717943405399,0.5384615384615384,0.3112244897959184,0.004612474853546899,0.03858419886458666
anderson,3.0,0.00030528213884343136,43448.134209995784,-75764.26841999157,-31708.712521752925,0.9434038830520594,0.9462757691909253,0.42857142857142855,0.3673469387755102,0.005049471638221839,0.03917882039023869
