solver,nu,sigma2,full_loglik,full_aic,full_bic,pearson_vs_L2,spearman_vs_L2,top10_jaccard_vs_L2,max_abs_rank_shift_frac,mean_abs_dv,max_abs_dv
als,inf,0.0020354401013837615,21416.36379898649,-35672.72759797298,-8989.680973569899,0.9999999999999999,1.0,1.0,0.0,0.0,0.0
als,15.0,0.0011624778686587548,23101.51183316791,-39043.02366633582,-12359.97704193274,0.9917363648650924,0.989130183563714,0.7647058823529411,0.22,0.0026540726561184685,0.012603467567593783
als,10.0,0.000990461247100163,23525.2553897064,-39890.5107794128,-13207.464155009715,0.9874587718241512,0.9841699631094716,0.7647058823529411,0.24666666666666667,0.003316501804405704,0.015932712809088416
als,8.0,0.0008939927798615532,23769.365410413793,-40378.730820827586,-13695.684196424503,0.9844889462628422,0.9805929152406775,0.7647058823529411,0.28,0.003709844654820594,0.017568381893673622
als,6.0,0.0007625292819861704,24107.214125060913,-41054.428250121826,-14371.381625718743,0.9796398387215274,0.975593581936975,0.7647058823529411,0.30666666666666664,0.004287346777567295,0.019324286986111473
als,5.0,0.0006799016748596544,24324.483552210095,-41488.96710442019,-14805.920480017106,0.9761314835935235,0.972005866927419,0.7647058823529411,0.31333333333333335,0.004654006714587003,0.020143588288136553
als,4.0,0.0005826103872680836,24588.32050068317,-42016.64100136634,-15333.594376963258,0.9713549333889687,0.9670527579003511,0.7647058823529411,0.31333333333333335,0.005106164614378104,0.020822736940181392
als,3.0,0.00046058184515013873,24915.94589300883,-42671.89178601766,-15988.845161614576,0.9649960469520557,0.9591697408773724,0.7647058823529411,0.32,0.005639531940802082,0.02134967695731956
anderson,inf,0.0020354402313330537,21416.363814026354,-35672.72762805271,-8989.681003649624,0.9999999999999999,1.0,1.0,0.0,0.0,0.0
anderson,15.0,0.0011624820854725952,23101.51184636195,-39043.0236927239,-12359.977068320819,0.9917330723416171,0.989130183563714,0.7647058823529411,0.22,0.002656877425775774,0.012592188826864113
anderson,10.0,0.00099045923396144,23525.255384440934,-39890.51076888187,-13207.464144478785,0.9874569423720295,0.9841699631094716,0.7647058823529411,0.24666666666666667,0.0033183246150745916,0.015922137228054436
anderson,8.0,0.0008939763918709333,23769.365468022646,-40378.73093604529,-13695.68431164221,0.9844848382464961,0.9807173652162319,0.7647058823529411,0.28,0.0037131414303343377,0.01755319342076394
anderson,6.0,0.0007616764760881924,24107.958319053687,-41055.916638107374,-14372.87001370429,0.9796506832624925,0.9757073647717677,0.7647058823529411,0.30666666666666664,0.004289975666746689,0.01931855130348649
anderson,5.0,0.0006800023935116536,24324.404203552433,-41488.808407104865,-14805.761782701782,0.9761382366869807,0.9719631983643717,0.7647058823529411,0.31333333333333335,0.004655497712870339,0.020133713461975386
anderson,4.0,0.0005826048874454967,24588.320511288835,-42016.64102257767,-15333.594398174588,0.971353013122931,0.9670527579003511,0.7647058823529411,0.31333333333333335,0.00510832819254228,0.02081231960388658
anderson,3.0,0.0004607484040979183,24915.885875650358,-42671.771751300716,-15988.725126897632,0.964982002060429,0.9592408551491178,0.7647058823529411,0.32,0.005642667046448832,0.021336068551574213
