slice,slug,solver,nu,source,full_loglik,full_aic,full_bic,n_iter,converged,cv_logdens,cv_per_cell,heldout_rmse,n_test_total,is_selected
ALL_B,ALL_B_14-25_mrc2,anderson,inf,grid,1814393.7913418785,-2822901.582683757,2026144.9595705103,47.0,True,1039134.827975274,0.8351227028870071,0.0818049590678193,1244290,False
ALL_B,ALL_B_14-25_mrc2,anderson,15.0,grid,1882538.385821062,-2959190.7716421243,1889855.770612143,585.0,True,1119379.0197663824,0.8996126463817778,0.0820929759479028,1244290,False
ALL_B,ALL_B_14-25_mrc2,anderson,10.0,grid,1902699.7513353464,-2999513.5026706927,1849533.0395835745,617.0,True,1127990.921801755,0.9065337837656454,0.0824530684465894,1244290,False
ALL_B,ALL_B_14-25_mrc2,anderson,8.0,grid,1914942.6116758336,-3023999.223351668,1825047.3189026,721.0,True,1129421.2437081465,0.9076832922454944,0.0827387387154908,1244290,True
ALL_B,ALL_B_14-25_mrc2,anderson,6.0,grid,1931539.615061572,-3057193.230123143,1791853.312131124,656.0,True,1124229.4963629502,0.903510834582734,0.0832361412718295,1244290,False
ALL_B,ALL_B_14-25_mrc2,anderson,5.0,grid,1942307.0891590528,-3078728.178318105,1770318.363936162,685.0,True,1115541.976479874,0.8965289253147369,0.0836193393585072,1244290,False
ALL_B,ALL_B_14-25_mrc2,anderson,4.0,grid,1955436.8797290171,-3104987.7594580348,1744058.7827962325,766.0,True,1096829.643845024,0.8814903630544519,0.084154439366845,1244290,False
ALL_B,ALL_B_14-25_mrc2,anderson,3.0,grid,1971664.006726472,-3137442.0134529443,1711604.528801323,761.0,True,1054238.9359939834,0.8472614390487615,0.084926711181274,1244290,False
ALL_B,ALL_B_14-25_mrc2,anderson,7.292726599161978,brent,,,,,,1128718.951908009,0.9071188805728636,,1244290,False
ALL_B,ALL_B_14-25_mrc2,anderson,8.227375479411872,brent,,,,,,1129397.4922261012,0.9076642038641324,,1244290,False
ALL_B,ALL_B_14-25_mrc2,anderson,8.863976875020771,brent,,,,,,1129187.9467121062,0.9074957981757518,,1244290,False
ALL_B,ALL_B_14-25_mrc2,anderson,8.266618863242172,brent,,,,,,1129397.277360038,0.907664031182472,,1244290,False
ALL_B,ALL_B_14-25_mrc2,anderson,8.199996295056128,brent,,,,,,1129397.7686389992,0.9076644260092094,,1244290,False
ALL_B,ALL_B_14-25_mrc2,anderson,7.840838786113659,brent,,,,,,1129368.2005083575,0.907640662955065,,1244290,False
ALL_B,ALL_B_14-25_mrc2,anderson,8.060908379687838,brent,,,,,,1129406.7766071332,0.9076716654534982,,1244290,False
ALL_B,ALL_B_14-25_mrc2,anderson,7.976129484150544,brent,,,,,,1129415.335656742,0.9076785441149106,,1244290,False
ALL_B,ALL_B_14-25_mrc2,anderson,7.924179666385672,brent,,,,,,1129398.445814318,0.90766497023549,,1244290,False
ALL_B,ALL_B_14-25_mrc2,anderson,8.002761190013208,brent,,,,,,1129412.5027995275,0.9076762674292388,,1244290,False
ALL_B,ALL_B_14-25_mrc2,cv,inf,grid,1814393.631528184,-2822901.263056368,2026145.2791979,107.0,True,1039135.7161471382,0.8351234166851282,0.0818049399676202,1244290,False
ALL_B,ALL_B_14-25_mrc2,cv,15.0,grid,1882538.2169867808,-2959190.433973561,1889856.1082807055,676.0,True,1120478.261440767,0.9004960752242379,0.082016846424986,1244290,False
ALL_B,ALL_B_14-25_mrc2,cv,10.0,grid,1902699.775353408,-2999513.5507068164,1849532.991547451,859.0,True,1127765.5225125807,0.9063526368552192,0.0824128769986429,1244290,False
ALL_B,ALL_B_14-25_mrc2,cv,8.0,grid,1914942.292341008,-3023998.584682016,1825047.957572252,869.0,True,1128685.1690075293,0.9070917302297128,0.0827165074591397,1244290,False
ALL_B,ALL_B_14-25_mrc2,cv,6.0,grid,1931539.6345523256,-3057193.269104651,1791853.273149616,1081.0,True,1123887.5033524605,0.9032359846598949,0.0832058610825496,1244290,False
ALL_B,ALL_B_14-25_mrc2,cv,5.0,grid,1942307.1609220807,-3078728.321844161,1770318.2204101058,1107.0,True,1115550.0691775938,0.8965354291825811,0.0835775697453452,1244290,False
ALL_B,ALL_B_14-25_mrc2,cv,4.0,grid,1955436.8155970084,-3104987.631194017,1744058.9110602504,1150.0,True,1096634.9393632656,0.8813338846758116,0.0841135368290086,1244290,False
ALL_B,ALL_B_14-25_mrc2,cv,3.0,grid,1971664.035207597,-3137442.070415194,1711604.471839073,1240.0,True,1053272.6486271108,0.8464848617501634,0.0848901484037068,1244290,False
ALL_B,ALL_B_14-25_mrc2,cv,7.292726599161978,brent,,,,,,1128115.9964394015,0.9066343026460082,,1244290,False
ALL_B,ALL_B_14-25_mrc2,cv,8.227375479411872,brent,,,,,,1128690.498981252,0.90709601377593,,1244290,False
ALL_B,ALL_B_14-25_mrc2,cv,8.863976875020771,brent,,,,,,1128518.2394360171,0.906957573745684,,1244290,False
ALL_B,ALL_B_14-25_mrc2,cv,8.271879953304225,brent,,,,,,1128688.3089381745,0.9070942537014478,,1244290,False
ALL_B,ALL_B_14-25_mrc2,cv,8.189063883281614,brent,,,,,,1128691.2829604845,0.9070966438374368,,1244290,False
ALL_B,ALL_B_14-25_mrc2,cv,8.161812193399026,brent,,,,,,1128691.6744629878,0.907096958476712,,1244290,True
ALL_B,ALL_B_14-25_mrc2,cv,7.818253234816955,brent,,,,,,1128632.5623789155,0.90704945179895,,1244290,False
ALL_B,ALL_B_14-25_mrc2,cv,8.099740949641719,brent,,,,,,1128691.0879537915,0.90709648711618,,1244290,False
ALL_B,ALL_B_14-25_mrc2,cv,8.134651192501849,brent,,,,,,1128691.3460027475,0.9070966945026864,,1244290,False
ALL_M,ALL_M_14-25_mrc2,anderson,inf,grid,1242137.2192852022,-1927782.4385704044,1318862.395986903,25.0,True,718253.0382144067,0.8322052368914837,0.0828531982037592,863072,False
ALL_M,ALL_M_14-25_mrc2,anderson,15.0,grid,1291177.7083382243,-2025863.416676449,1220781.4178808588,548.0,True,771604.7288787665,0.8940212738667996,0.0831734564920022,863072,False
ALL_M,ALL_M_14-25_mrc2,anderson,10.0,grid,1305696.8240830794,-2054901.6481661587,1191743.1863911487,589.0,True,776326.7215109689,0.8994924195327492,0.0835992034262616,863072,False
ALL_M,ALL_M_14-25_mrc2,anderson,8.0,grid,1314519.599961553,-2072547.199923106,1174097.6346342014,558.0,True,776889.8528447816,0.9001448927143756,0.0839169195887288,863072,True
ALL_M,ALL_M_14-25_mrc2,anderson,6.0,grid,1326488.9876017664,-2096485.9752035327,1150158.8593537747,750.0,True,773506.3176362005,0.8962245532657768,0.0844192770086086,863072,False
ALL_M,ALL_M_14-25_mrc2,anderson,5.0,grid,1334258.0212361475,-2112024.0424722955,1134620.792085012,744.0,True,767352.0758854458,0.8890939294583138,0.0848150293661845,863072,False
ALL_M,ALL_M_14-25_mrc2,anderson,4.0,grid,1343736.1366691424,-2130980.273338285,1115664.5612190226,631.0,True,754377.6330977023,0.8740610668608207,0.0853690237187154,863072,False
ALL_M,ALL_M_14-25_mrc2,anderson,3.0,grid,1355452.806474323,-2154413.612948646,1092231.2216086616,778.0,True,724866.8435064123,0.8398683348624592,0.0861668238602509,863072,False
ALL_M,ALL_M_14-25_mrc2,anderson,7.292726599161978,brent,,,,,,776448.8564145486,0.8996339313690499,,863072,False
ALL_M,ALL_M_14-25_mrc2,anderson,8.227375479411872,brent,,,,,,776888.2160609227,0.9001429962516716,,863072,False
ALL_M,ALL_M_14-25_mrc2,anderson,8.863976875020771,brent,,,,,,776770.8231780296,0.9000069787665799,,863072,False
ALL_M,ALL_M_14-25_mrc2,anderson,8.291945960249333,brent,,,,,,776888.2366791796,0.9001430201410539,,863072,False
ALL_M,ALL_M_14-25_mrc2,anderson,8.319632158737118,brent,,,,,,776885.6085258743,0.9001399750262716,,863072,False
ALL_M,ALL_M_14-25_mrc2,anderson,8.264351896314142,brent,,,,,,776888.2277010462,0.9001430097385226,,863072,False
ALL_M,ALL_M_14-25_mrc2,cv,inf,grid,1242137.210516347,-1927782.4210326944,1318862.4135246133,93.0,True,718253.9212512659,0.8322062600238056,0.0828531701752187,863072,False
ALL_M,ALL_M_14-25_mrc2,cv,15.0,grid,1291177.7384039485,-2025863.476807897,1220781.3577494104,764.0,True,772003.9101415446,0.8944837859895173,0.0831464141561327,863072,False
ALL_M,ALL_M_14-25_mrc2,cv,10.0,grid,1305696.8567672072,-2054901.7135344143,1191743.121022893,807.0,True,777085.0855150555,0.900371099415872,0.0835450922801496,863072,False
ALL_M,ALL_M_14-25_mrc2,cv,8.0,grid,1314519.5504501492,-2072547.1009002985,1174097.733657009,778.0,True,777459.7380979406,0.9008051913373862,0.0838607424100857,863072,False
ALL_M,ALL_M_14-25_mrc2,cv,6.0,grid,1326488.9629559212,-2096485.9259118424,1150158.908645465,1043.0,True,773285.4702295557,0.8959686680016913,0.084393090862404,863072,False
ALL_M,ALL_M_14-25_mrc2,cv,5.0,grid,1334258.0647122054,-2112024.129424411,1134620.7051328963,1075.0,True,766862.0813314127,0.888526196344468,0.0847997727466489,863072,False
ALL_M,ALL_M_14-25_mrc2,cv,4.0,grid,1343736.107422903,-2130980.214845806,1115664.6197115015,1061.0,True,753865.8118732541,0.8734680442341475,0.08535532235057,863072,False
ALL_M,ALL_M_14-25_mrc2,cv,3.0,grid,1355452.740169608,-2154413.480339216,1092231.3542180914,1166.0,True,724648.5614970608,0.8396154220007842,0.086147571257108,863072,False
ALL_M,ALL_M_14-25_mrc2,cv,7.292726599161978,brent,,,,,,776821.1021144204,0.9000652345510228,,863072,False
ALL_M,ALL_M_14-25_mrc2,cv,8.227375479411872,brent,,,,,,777513.664484205,0.900867673246502,,863072,False
ALL_M,ALL_M_14-25_mrc2,cv,8.863976875020771,brent,,,,,,777529.5181525352,0.9008860421292026,,863072,False
ALL_M,ALL_M_14-25_mrc2,cv,8.57185158680708,brent,,,,,,777542.6532391015,0.9009012611220172,,863072,False
ALL_M,ALL_M_14-25_mrc2,cv,8.601580545261685,brent,,,,,,777543.929482783,0.9009027398441648,,863072,False
ALL_M,ALL_M_14-25_mrc2,cv,8.649459106106617,brent,,,,,,777544.7979476665,0.9009037460926396,,863072,True
ALL_M,ALL_M_14-25_mrc2,cv,8.678339020161351,brent,,,,,,777544.6108486528,0.9009035293100144,,863072,False
ALL_W,ALL_W_14-25_mrc2,anderson,inf,grid,574056.2959550633,-898140.5919101266,458037.0011391917,36.0,True,319958.64064565854,0.839718134864771,0.0792251833342006,381031,False
ALL_W,ALL_W_14-25_mrc2,anderson,15.0,grid,592461.9360653105,-934951.872130621,421225.7209186973,38.0,True,347780.47039724566,0.912735369030986,0.0794351753990055,381031,False
