slice,model,nu,n,sigma2,sigma,skewness,excess_kurtosis,nu_implied_by_kurtosis,obs_frac_gt2,obs_frac_pos_gt2,obs_frac_neg_lt2,exp_frac_normal_gt2,exp_frac_ref_gt2,obs_frac_gt3,obs_frac_pos_gt3,obs_frac_neg_lt3,exp_frac_normal_gt3,exp_frac_ref_gt3,obs_frac_gt4,obs_frac_pos_gt4,obs_frac_neg_lt4,exp_frac_normal_gt4,exp_frac_ref_gt4,n_total,n_excluded,frac_excluded,trim_abs_r,max_abs_z_kept,skewness_raw,excess_kurtosis_raw,qq_r2_normal,qq_r2_ref
ALL_B_14-25_mrc2,"baseline (u+v), L2",inf,1244290,0.003169349144406053,0.056296972781900566,0.6855610112097588,5.366495969274535,5.118047984076117,0.05185366755338386,0.030819985694653176,0.021033681858730682,0.0455002638963584,0.0455002638963584,0.014083533581399833,0.009943823385223701,0.004139710196176132,0.002699796063260186,0.002699796063260186,0.00477862877624991,0.0037643957598309076,0.001014233016419002,6.334248366623973e-05,6.334248366623973e-05,1244290,0,0.0,1.5,14.82902190942713,0.6855610112097588,5.366495969274535,0.9235483684628012,0.9235483684628012
ALL_B_14-25_mrc2,"baseline (u+v), t8",8.0,1244290,0.001883169436205072,0.04339550018383325,1.3561408488625137,11.939870901724392,4.502517996164721,0.09110255647799147,0.056538266802754984,0.03456428967523648,0.0455002638963584,0.0805162379572626,0.034210674360478664,0.024477412821769844,0.009733261538708822,0.002699796063260186,0.017071681233782644,0.017396266143744624,0.01341005714102018,0.003986209002724445,6.334248366623973e-05,0.003949772803445323,1244290,0,0.0,1.5,21.446203904626792,1.3561408488625137,11.939870901724392,0.9138142612293395,0.9791960812373635
ALL_B_14-25_mrc2,"production (AxD), t8",8.0,1244250,0.0011774900895376473,0.0343145754678336,2.2034874327449043,30.729199678094773,4.195254027532552,0.08932208157524613,0.05292907373920032,0.036393007836045814,0.0455002638963584,0.0805162379572626,0.03398111312035363,0.023378742214185254,0.010602370906168375,0.002699796063260186,0.017071681233782644,0.020094032549728753,0.014579063692987743,0.005514968856741008,6.334248366623973e-05,0.003949772803445323,1244290,40,3.214684679616488e-05,1.5,36.998068840741944,10.264699132530748,986.2505040479949,0.8381744947278137,0.9309028199375827
ALL_M_14-25_mrc2,"baseline (u+v), L2",inf,863072,0.003291912798664586,0.057375193234224374,0.7176904152259113,5.569989608099135,5.077201291592286,0.051823022876422827,0.03083636127692707,0.020986661599495755,0.0455002638963584,0.0455002638963584,0.014373076637870305,0.01016253568647807,0.004210540951392236,0.002699796063260186,0.002699796063260186,0.004925429164658337,0.003925512587594083,0.0009999165770642542,6.334248366623973e-05,6.334248366623973e-05,863072,0,0.0,1.5,14.567766154519061,0.7176904152259113,5.569989608099135,0.9218159535814772,0.9218159535814772
ALL_M_14-25_mrc2,"baseline (u+v), t8",8.0,863072,0.0019363010217545227,0.044003420568798086,1.1795529120160002,12.270680269373933,4.4889704456708275,0.09169223425160358,0.05677973564198584,0.03491249860961774,0.0455002638963584,0.0805162379572626,0.03477114307960402,0.024739535056171442,0.010031608023432576,0.002699796063260186,0.017071681233782644,0.017858301509028215,0.01351451559081977,0.004343785918208446,6.334248366623973e-05,0.003949772803445323,863072,0,0.0,1.5,21.237847298929534,1.1795529120160002,12.270680269373933,0.9157824618815419,0.9839518347312555
ALL_M_14-25_mrc2,"production (AxD), t8",8.0,863044,0.0012054935509594974,0.03472021818709522,2.059486766078,33.448454584878874,4.1793804848225315,0.08963274178373293,0.05323830534712019,0.036394436436612734,0.0455002638963584,0.0805162379572626,0.034635545812264495,0.023943159329072445,0.01069238648319205,0.002699796063260186,0.017071681233782644,0.0204427584225138,0.014938983412201463,0.005503775010312337,6.334248366623973e-05,0.003949772803445323,863072,28,3.244225279003374e-05,1.5,38.24807951357639,13.01832175770776,1481.8320464484725,0.8349675648254993,0.9308557356300675
ALL_W_14-25_mrc2,"baseline (u+v), L2",inf,381031,0.0028768742423602753,0.053636501026449096,0.5906529804423285,4.650601607216595,5.290155663019913,0.05199839383147303,0.03084525930960998,0.02115313452186305,0.0455002638963584,0.0455002638963584,0.013431977975545297,0.009408683282987473,0.004023294692557824,0.002699796063260186,0.002699796063260186,0.004306736197317279,0.0032779485133755523,0.0010287876839417266,6.334248366623973e-05,6.334248366623973e-05,381031,0,0.0,1.5,13.083827613004964,0.5906529804423285,4.650601607216595,0.9368277502556306,0.9368277502556306
ALL_W_14-25_mrc2,"baseline (u+v), t8",8.0,381031,0.001757894135334229,0.041927248124987035,0.9615632015106479,10.944768087937883,4.548207138953683,0.08979321892444447,0.054769821878009925,0.03502339704643454,0.0455002638963584,0.0805162379572626,0.03270337584081085,0.022809167758003943,0.00989420808280691,0.002699796063260186,0.017071681233782644,0.016295262065291277,0.011938661158803352,0.004356600906487923,6.334248366623973e-05,0.003949772803445323,381031,0,0.0,1.5,19.52286766901918,0.9615632015106479,10.944768087937883,0.9182407881951231,0.9856046996576825
ALL_W_14-25_mrc2,"production (AxD), t8",8.0,381018,0.0011090821277730848,0.03330288467645235,1.4106542373363353,27.81889614322486,4.215680736184109,0.08830029027500014,0.050900482391907996,0.037399807883092134,0.0455002638963584,0.0805162379572626,0.032292437627618645,0.02079691773092085,0.011495519896697793,0.002699796063260186,0.017071681233782644,0.019216939882105308,0.012776299282448599,0.006440640599656709,6.334248366623973e-05,0.003949772803445323,381031,13,3.4117958906230724e-05,1.5,43.21918885869578,4.973731617614476,212.95522613522476,0.8419689410266759,0.9417353998391225
Po10_B_14-25_mrc2,"baseline (u+v), L2",inf,184448,0.0042345559590426275,0.06507346586007716,1.0114316725422892,5.734027528392312,5.046384931061233,0.05115262838306731,0.033971634281748785,0.017180994101318528,0.0455002638963584,0.0455002638963584,0.014990674878556558,0.012100971547536433,0.002889703331020125,0.002699796063260186,0.002699796063260186,0.005519170714781401,0.004906531922276197,0.0006126387925052047,6.334248366623973e-05,6.334248366623973e-05,184448,0,0.0,1.5,12.929234021779395,1.0114316725422892,5.734027528392312,0.9239546366900955,0.9239546366900955
