excl_series,series_key,venue_country,n_editions,n_dropped_races,n_dropped_runners,n_common,n_samec,dv_mean,dv_slope,med_abs_dv_s,med_abs_resid_s,share_affine,share_quad,share_resid,c2,R_kill,gauge_real_med_s,gauge_real_max_s,delta_plaus,gauge_plaus_med_s,gauge_plaus_max_s,eps_f,gauge_consistency,d_aging_max_s,d_aging_ident_max_s,max_abs_dgamma,boot_raw_med_s,boot_resid_med_s,ratio_med,ratio_p90,frac_gt2,spearman_raw,spearman_era,samec_raw_s,samec_resid_s,rest_resid_s,sd_boot_samec_s,z_samec,gauge_samec_plaus_s,gauge_samec_real_s,verdict
nyc,nyc_marathon,USA,11,11,83309,336,22,0.000631,-0.001597,47.639346,3.345508,0.974741,0.00011,0.025149,6e-06,0.002184,0.528693,1.735856,0.002651,242.106265,794.906187,-2.1e-05,3.659882,157.616421,9.071946,0.000821,18.599254,18.602329,0.152935,0.815925,0.032738,0.941899,0.998465,18.584912,-12.157998,0.851834,3.807423,-3.193235,43.569599,30.74291,SIGNAL*
chicago,chicago_marathon,USA,11,11,50622,336,22,-0.000197,-0.001579,49.258895,2.734132,0.98917,0.000261,0.010569,-9e-06,0.003245,0.785248,2.583259,0.002651,241.951631,795.956868,2.9e-05,3.417947,175.668324,4.816161,3.2e-05,18.599254,18.598127,0.135139,0.401693,0.026786,0.946106,0.999436,28.314767,7.91472,-0.554535,3.752948,2.108934,43.238111,20.400047,SIGNAL*
paris,paris_marathon,FRA,11,11,43348,336,0,-0.000261,-0.001739,53.479759,1.343743,0.997231,0.000184,0.002585,-8e-06,0.003,0.726186,2.397025,0.002651,242.024162,798.883765,2e-06,0.263413,192.024428,5.064726,1.1e-05,18.404415,18.394033,0.069976,0.20929,0.0,0.938899,0.999791,,,0.0,,,,,NO-SAMEC
london,london_marathon,GBR,12,12,24336,335,71,2.4e-05,-0.001535,44.009229,13.00909,0.775591,0.002913,0.221496,3.3e-05,0.012495,3.044428,10.044449,0.002651,243.656394,803.892956,-7.2e-05,2.163424,120.023783,6.77355,0.000446,18.546247,18.527849,0.681616,2.457617,0.149254,0.930344,0.984293,37.684622,37.93129,-10.201218,4.894964,7.749043,3.516102,-0.246668,SIGNAL
valencia,valencia_marathon,ESP,9,9,23466,338,27,-0.000308,-0.001659,51.870264,2.998909,0.974683,0.000416,0.024901,1.2e-05,0.004459,1.109604,3.477563,0.002651,248.865609,779.959556,-1e-06,0.050703,183.170634,0.521106,6e-06,18.26139,18.298907,0.151323,0.596634,0.005917,0.939162,0.998044,-31.874549,-0.683639,0.059351,8.61803,-0.079327,63.066017,-31.190911,NOISE
rotterdam,rotterdam_marathon,NED,7,7,17480,340,17,-6.4e-05,-0.001714,53.998069,1.501507,0.991986,8.6e-05,0.007928,5e-06,0.002056,0.510062,1.612838,0.002651,248.04679,784.334593,-1.6e-05,2.948066,188.187085,2.279228,8.9e-05,18.26139,18.33732,0.074094,0.281891,0.005882,0.935038,0.99945,-0.327636,5.624474,-0.296025,7.182578,0.783072,71.563354,-5.952111,NOISE
berlin,berlin_marathon,GER,11,11,17129,336,35,-0.000215,-0.001504,45.049381,11.345598,0.944668,5.2e-05,0.05528,4e-06,0.001433,0.350188,1.141913,0.002651,244.314819,796.676318,-1.5e-05,3.99967,151.889431,2.901033,8.5e-05,18.599254,18.608805,0.511893,1.566401,0.0625,0.947895,0.996673,-25.373662,-14.573878,1.694637,4.470016,-3.260364,56.606769,-10.799784,SIGNAL*
stockholm,stockholm_marathon,SWE,11,11,15282,336,0,0.000274,-0.001511,45.333239,3.924154,0.978304,0.000126,0.021569,6e-06,0.002211,0.539098,1.775068,0.002651,243.817771,802.810421,-1.5e-05,2.58778,221.405049,8.209482,0.003448,18.257954,18.307675,0.201486,0.735979,0.008929,0.949417,0.998661,,,-0.0,,,,,NO-SAMEC
amsterdam,amsterdam_marathon,NED,9,9,13014,338,15,-0.000316,-0.001697,52.184033,2.92432,0.991585,3e-06,0.008412,1e-06,0.000363,0.090159,0.284021,0.002651,248.337417,782.322048,-9e-06,9.516205,186.926372,1.259128,6.5e-05,18.26139,18.336644,0.134627,0.415505,0.0,0.938563,0.99939,-24.867807,-9.878541,0.458756,8.111169,-1.217894,96.653848,-14.989266,NOISE
frankfurt,frankfurt_marathon,GER,9,9,11264,338,37,-0.000339,-0.0016,49.218276,1.718171,0.991191,0.0,0.008809,-0.0,5.3e-05,0.013101,0.041918,0.002651,245.876128,786.674579,9e-06,60.615338,178.403055,0.418091,4.4e-05,18.404415,18.407795,0.094599,0.345733,0.0,0.945063,0.999475,-9.627287,-0.518389,0.063722,3.979333,-0.13027,45.314568,-9.108898,NOISE
