race_id,series_key,country,year,v_point,n_j,v_boot_med,v_sd,n_boot,lo95,lo90,lo68,hi95,hi90,hi68,temp_field,wbgt_field,wbgt_max,total_gain_m,net_gain_m
1,goldcoast_marathon,AUS,2025,0.012996142653679765,2007,0.013474755061396726,0.0016043925160653916,100,0.010470288198870581,0.010736657583206077,0.011550649570149254,0.016225388488439674,0.015841025654250006,0.014710658623237957,17.605,16.65,21.367,45.5,-4.5
2,melbourne_marathon,AUS,2014,0.0006824762333277334,1188,0.0008169336667356308,0.004822750836979383,100,-0.012971895130563137,-0.004349210790265467,-0.0023329530893224336,0.007014701581852969,0.00589287955453177,0.004385015644839196,16.222,15.396,23.34,108.3,3.5
3,melbourne_marathon,AUS,2015,0.004033593250581724,1390,0.0046584189568916745,0.004760623689764564,100,-0.009646266257490311,-0.003398237693566152,0.001346051715526073,0.010707050087522627,0.009211818799945568,0.007402662348173727,14.411,13.243,16.548,108.3,3.5
4,melbourne_marathon,AUS,2016,0.02163925598653771,1373,0.021824371102610707,0.004579658504702274,100,0.008892357329293587,0.013764589741448053,0.018353749249135767,0.028648678169409133,0.02615910606490719,0.024456401688562116,18.57,15.805,19.007,108.3,3.5
5,melbourne_marathon,AUS,2017,0.009994901874686768,1116,0.010265049287334849,0.004487325420386179,100,-0.0021335388087922458,0.0011303838529696858,0.007234692091376971,0.017643050820904012,0.014896941361795712,0.012899894782061825,12.39,12.419,18.769,108.3,3.5
6,melbourne_marathon,AUS,2018,0.029077024666346762,1625,0.028947697695056895,0.002755591432333988,100,0.02339059265039778,0.024165555652804448,0.025916812217988153,0.033301883310178755,0.03310361747606048,0.031587186370723434,19.584,16.853,21.102,108.3,3.5
7,melbourne_marathon,AUS,2019,0.008473088482173985,1877,0.008585166342315764,0.002602176984159379,100,0.004271138631477278,0.004648578363148003,0.005600109770203829,0.013569048471350162,0.012876099306730837,0.011418992500150597,14.092,13.209,18.789,108.3,3.5
8,melbourne_marathon,AUS,2021,0.014476376431984406,1811,0.014488576441377354,0.002222875424652109,100,0.010855388154620949,0.011167799748428941,0.01201824607939777,0.01827791443342682,0.018064284487564454,0.017003391084651848,15.786,15.774,21.971,108.3,3.5
9,melbourne_marathon,AUS,2022,0.005602530190168764,2272,0.0051466383346672195,0.0019152787135189185,100,0.00134897829988746,0.0018842996155586933,0.0034017647649331193,0.008885399904253785,0.008141389373021201,0.0071341081484188424,10.689,11.294,16.42,108.3,3.5
10,melbourne_marathon,AUS,2023,0.0003280065011974642,2575,0.00022529195603504526,0.0016899386773247863,100,-0.0034780867647132173,-0.0031428128733837824,-0.001515095213786193,0.0031572061135465607,0.0025879001546606824,0.0017333778402217346,12.795,11.518,14.709,108.3,3.5
11,melbourne_marathon,AUS,2024,0.011645966423398768,3016,0.011772461412736579,0.001620644584173957,100,0.008442461726935569,0.00878244346215915,0.010104582707027063,0.014360074538223322,0.014252102051183591,0.01334596659748172,16.16,13.506,18.71,108.3,3.5
12,melbourne_marathon,AUS,2025,-0.004295091232628057,2715,-0.003966100467686529,0.0014631015323807491,100,-0.00630253499314396,-0.006158708799745871,-0.005414289291693297,-0.0015026852235295104,-0.0017498210795773078,-0.0022346455893853447,12.314,11.365,15.031,108.3,3.5
