race_id,series_key,country,year,v_point,n_j,v_boot_med,v_sd,n_boot,lo95,lo90,lo68,hi95,hi90,hi68,temp_field,wbgt_field,wbgt_max,total_gain_m,net_gain_m
1,goldcoast_marathon,AUS,2025,0.021453073151195268,205,0.02105104776277611,0.0043381817778020745,105,0.013681966054699402,0.014770243716941911,0.016943571187690826,0.029702893769190417,0.02898982533142407,0.026267815745652737,17.605,16.65,21.367,45.5,-4.5
6,melbourne_marathon,AUS,2018,0.040521025976455904,475,0.03952419337042157,0.004186131319546596,105,0.03205884521755724,0.03365533801486524,0.03541458755907381,0.049027037787472236,0.047253981175533116,0.04427632979588487,19.584,16.853,21.102,108.3,3.5
7,melbourne_marathon,AUS,2019,-0.0001821891709457013,509,-0.0012649638733606139,0.003657681978755643,105,-0.00833569905288405,-0.006345553547006189,-0.004207561878257566,0.006656016789163831,0.005123605414330878,0.0020843388138726926,14.092,13.209,18.789,108.3,3.5
8,melbourne_marathon,AUS,2021,0.012017904014343994,560,0.010413033603459576,0.0036369236753986574,105,0.0034161889877496686,0.004261682459427663,0.0075362050538196005,0.017982884669404387,0.01745255994512509,0.014432376150226318,15.786,15.774,21.971,108.3,3.5
9,melbourne_marathon,AUS,2022,-8.368134733482968e-05,590,-0.0011527872177679033,0.0036696899919266097,105,-0.008690841510593605,-0.007552191416988618,-0.004906960364145414,0.0062016326834586685,0.0048020414613652454,0.002019017024823828,10.689,11.294,16.42,108.3,3.5
10,melbourne_marathon,AUS,2023,-0.0033210436518766873,622,-0.003915517987132411,0.0033292219958104365,105,-0.009200988320912585,-0.008839422580823753,-0.007879540208776846,0.0030669492034178752,0.001059307951685406,-0.0006873724952990568,12.795,11.518,14.709,108.3,3.5
11,melbourne_marathon,AUS,2024,0.015008436494430955,621,0.014447334289410918,0.003425109391753665,105,0.00758987687785333,0.009012066054179212,0.010629386840574098,0.020522797806502523,0.019813833369544964,0.017742063149885575,16.16,13.506,18.71,108.3,3.5
12,melbourne_marathon,AUS,2025,0.0032781686981966374,556,0.0033683384653124815,0.0031050331286861708,105,-0.002013498888897747,-0.001100207087823568,0.0009977450979403813,0.010180427903300203,0.00878160138422599,0.007221892453299255,12.314,11.365,15.031,108.3,3.5
13,sydney_marathon,AUS,2022,0.02432105395855011,122,0.023932798203239125,0.005305815151372286,105,0.011966586347509444,0.014190389425881023,0.017771108340936603,0.03351449977411098,0.03151947318880177,0.0278641706691516,16.848,14.019,17.566,258.0,-42.5
14,sydney_marathon,AUS,2023,0.059337040533823604,241,0.05768542843665392,0.004125719178034135,105,0.05070279173112584,0.05139090319981858,0.05379720192500478,0.0667450826256084,0.06434650172023501,0.06205093351624485,22.927,18.266,22.142,258.0,-42.5
15,sydney_marathon,AUS,2024,0.01549894917857042,980,0.015515217689377359,0.0016217866406751822,105,0.01208353146744523,0.012924366333798742,0.01406036239655557,0.018912682237051066,0.018320958044619796,0.017127736592175865,11.761,8.949,12.796,258.0,-42.5
16,sydney_marathon,AUS,2025,0.026892465551653144,3835,0.027080839249382205,0.0014114361069199814,105,0.024501880654260465,0.024920243644624262,0.025644473881719154,0.029686340920419326,0.029309616291238204,0.028607678230803443,12.451,10.926,17.253,258.0,-42.5
17,vienna_marathon,AUT,2018,0.029699201461915292,96,0.030448324782963887,0.006328034765876434,105,0.018392027385980957,0.019086671371625386,0.022773771114861844,0.04158698440000692,0.040081239835294144,0.03546692540918862,21.887,19.289,22.363,90.3,10.5
18,vienna_marathon,AUT,2019,-0.013021689855240215,122,-0.012959181270900455,0.004412643619602086,105,-0.02191387469844801,-0.020383233947605016,-0.01771201895822041,-0.005504368240634744,-0.006132476314100544,-0.007991499155042341,12.72,11.519,14.28,90.3,10.5
19,vienna_marathon,AUT,2021,0.02761382546513591,84,0.027131735637926147,0.005626313513201472,105,0.017542970251999357,0.01875933531439209,0.021451242754431794,0.03913458177237134,0.03682472243711934,0.03278021868608953,22.401,21.103,23.908,90.3,10.5
20,vienna_marathon,AUT,2022,0.0019882697393376336,154,0.0013185740204924024,0.004024685574758798,105,-0.0066028121351412675,-0.00553359947403913,-0.002934207743676937,0.008443127071536997,0.007251605139575101,0.005397160837616983,16.029,14.477,17.038,90.3,10.5
21,vienna_marathon,AUT,2023,0.019687381424384975,192,0.02041740982252427,0.003375136888180778,105,0.013572560972166725,0.01411144412232832,0.01658656166717731,0.026762001257906263,0.024996183322581845,0.023233106015360043,17.56,16.516,18.741,90.3,10.5
22,vienna_marathon,AUT,2024,-0.0046039818952472444,164,-0.004120387399243697,0.0036871525557050032,105,-0.012148541635018707,-0.010402674746345531,-0.007806377925647832,0.002116815524267449,0.0009926517640108207,-0.0012039926015340453,7.023,5.87,7.301,90.3,10.5
23,vienna_marathon,AUT,2025,-0.0037507114272625763,139,-0.0032746292900298624,0.004335882335685678,105,-0.011511344898321108,-0.010685042224533259,-0.008204510063970423,0.004370921723664487,0.003753229691043458,0.0009301967616174434,2.99,1.025,2.265,90.3,10.5
