race_id,series_key,country,year,v_point,n_j,temp_field,wbgt_field,wbgt_max,total_gain_m,net_gain_m
1,goldcoast_marathon,AUS,2025,0.010420723653584976,205,17.605,16.65,21.367,45.5,-4.5
6,melbourne_marathon,AUS,2018,0.016415443245192226,475,19.584,16.853,21.102,108.3,3.5
7,melbourne_marathon,AUS,2019,-0.010450770036918139,509,14.092,13.209,18.789,108.3,3.5
8,melbourne_marathon,AUS,2021,0.009662694146054794,560,15.786,15.774,21.971,108.3,3.5
9,melbourne_marathon,AUS,2022,-0.0029088441747047657,590,10.689,11.294,16.42,108.3,3.5
10,melbourne_marathon,AUS,2023,-0.008593479106247685,622,12.795,11.518,14.709,108.3,3.5
11,melbourne_marathon,AUS,2024,0.005111494529912085,621,16.16,13.506,18.71,108.3,3.5
12,melbourne_marathon,AUS,2025,-0.013008033069462206,556,12.314,11.365,15.031,108.3,3.5
13,sydney_marathon,AUS,2022,0.01759576919109201,122,16.848,14.019,17.566,258.0,-42.5
14,sydney_marathon,AUS,2023,0.053863389172102163,241,22.927,18.266,22.142,258.0,-42.5
15,sydney_marathon,AUS,2024,0.007107546198884222,980,11.761,8.949,12.796,258.0,-42.5
16,sydney_marathon,AUS,2025,0.010691160513796592,3835,12.451,10.926,17.253,258.0,-42.5
17,vienna_marathon,AUT,2018,0.03836626541393427,96,21.887,19.289,22.363,90.3,10.5
18,vienna_marathon,AUT,2019,-0.002446277023522518,122,12.72,11.519,14.28,90.3,10.5
19,vienna_marathon,AUT,2021,0.038177974148775926,84,22.401,21.103,23.908,90.3,10.5
20,vienna_marathon,AUT,2022,0.009324129652833024,154,16.029,14.477,17.038,90.3,10.5
21,vienna_marathon,AUT,2023,0.023465940879416912,192,17.56,16.516,18.741,90.3,10.5
22,vienna_marathon,AUT,2024,-0.006164724505391352,164,7.023,5.87,7.301,90.3,10.5
23,vienna_marathon,AUT,2025,-0.011879663568327186,139,2.99,1.025,2.265,90.3,10.5
24,prague_marathon,CZE,2014,-0.03651171020159957,70,13.814,12.535,13.238,104.4,-0.3
25,prague_marathon,CZE,2015,-0.02248134695165175,88,12.827,12.309,15.633,104.4,-0.3
26,prague_marathon,CZE,2016,0.0031486011638219734,113,16.365,14.102,16.487,104.4,-0.3
27,prague_marathon,CZE,2017,-0.006857574425758558,127,13.649,13.709,16.363,104.4,-0.3
28,prague_marathon,CZE,2018,0.004920249238834285,138,15.431,12.817,16.493,104.4,-0.3
29,prague_marathon,CZE,2019,-0.022227580658473283,145,5.514,4.911,7.802,104.4,-0.3
30,prague_marathon,CZE,2022,0.033732422398613335,128,16.381,15.7,17.36,104.4,-0.3
31,prague_marathon,CZE,2023,-0.007286024121506349,221,11.713,11.189,13.54,104.4,-0.3
32,prague_marathon,CZE,2024,0.02430570725280049,202,17.917,17.141,18.564,104.4,-0.3
33,prague_marathon,CZE,2025,-0.008165930214932332,228,11.632,10.683,13.472,104.4,-0.3
34,copenhagen_marathon,DEN,2014,-0.024477536145022075,330,16.499,15.684,16.175,74.1,3.0
35,copenhagen_marathon,DEN,2015,-0.015285076310024338,436,11.692,11.225,13.75,74.1,3.0
36,copenhagen_marathon,DEN,2016,0.032599531048396,524,20.279,18.468,19.555,74.1,3.0
37,copenhagen_marathon,DEN,2017,0.006757566532717774,575,16.071,14.222,15.888,74.1,3.0
38,copenhagen_marathon,DEN,2018,0.02216833566757138,614,20.425,17.71,18.945,74.1,3.0
39,copenhagen_marathon,DEN,2019,0.017618121742341526,766,16.402,16.7,19.649,74.1,3.0
40,copenhagen_marathon,DEN,2022,0.0026741546913835977,699,13.659,12.69,14.18,74.1,3.0
41,copenhagen_marathon,DEN,2023,0.009113106679064517,660,18.556,15.594,16.677,74.1,3.0
42,copenhagen_marathon,DEN,2024,-0.008737185344682754,592,12.899,13.166,14.319,74.1,3.0
43,copenhagen_marathon,DEN,2025,-0.019203347105439254,583,10.909,9.46,11.511,74.1,3.0
45,barcelona_marathon,ESP,2021,-0.015944888747823474,172,10.839,8.969,15.38,135.7,0.6
46,barcelona_marathon,ESP,2022,0.0013549144327367458,79,19.609,18.584,19.987,135.7,0.6
47,barcelona_marathon,ESP,2023,0.002964106726549924,110,14.132,13.575,16.164,135.7,0.6
48,barcelona_marathon,ESP,2024,-0.017806225012211328,134,10.859,9.48,12.847,121.9,-16.9
49,barcelona_marathon,ESP,2025,-0.019900051255464107,482,9.685,9.76,13.01,121.9,-16.9
50,madrid_marathon,ESP,2021,-0.001418320247799637,33,15.84,15.931,20.759,318.4,-25.9
51,madrid_marathon,ESP,2022,-0.0009407640744720867,53,9.696,9.078,14.399,318.4,-25.9
52,madrid_marathon,ESP,2023,0.021950216543310253,66,14.093,12.371,18.153,318.4,-25.9
53,madrid_marathon,ESP,2024,0.012499225255974047,66,10.56,9.998,13.257,318.4,-25.9
54,madrid_marathon,ESP,2025,0.013060288701724486,61,13.018,11.307,16.558,318.4,-25.9
55,malaga_marathon,ESP,2018,-0.006570164736033186,46,13.3,12.901,19.087,291.4,-0.1
56,malaga_marathon,ESP,2019,-0.022337302520756788,55,12.077,10.722,17.287,291.4,-0.1
57,malaga_marathon,ESP,2021,-0.00978370030727872,37,14.346,12.758,17.877,291.4,-0.1
58,malaga_marathon,ESP,2022,-0.0009057474964530369,91,17.222,16.685,20.864,291.4,-0.1
59,malaga_marathon,ESP,2023,0.006032438978902053,158,13.839,12.678,20.465,291.4,-0.1
60,malaga_marathon,ESP,2024,-0.017004337235450456,281,11.286,10.12,16.905,291.4,-0.1
61,malaga_marathon,ESP,2025,-0.0020778430922464915,334,15.064,13.876,16.603,291.4,-0.1
62,san_sebastian_marathon,ESP,2022,-0.013573028769515105,23,11.777,9.697,13.81,90.3,-0.1
64,san_sebastian_marathon,ESP,2025,-0.011752499632144841,220,13.432,12.037,14.733,90.3,-0.1
65,seville_marathon,ESP,2018,-0.013344608249793537,69,11.001,10.157,15.192,36.5,-0.1
66,seville_marathon,ESP,2019,-0.02556871616296596,89,9.121,7.798,15.672,36.5,-0.1
67,seville_marathon,ESP,2020,-0.02474747004843749,134,12.164,10.229,17.857,36.5,-0.1
68,seville_marathon,ESP,2022,-0.01290293508458438,254,12.161,10.254,17.809,36.5,-0.1
69,seville_marathon,ESP,2023,-0.015451211858969208,281,13.939,11.576,17.407,36.5,-0.1
70,seville_marathon,ESP,2024,-0.01772265209914473,549,10.294,9.074,17.737,36.5,-0.1
71,seville_marathon,ESP,2025,-0.016977732602184235,535,9.904,9.104,16.789,36.5,-0.1
72,valencia_marathon,ESP,2017,-0.014393194433892397,1134,10.625,9.209,18.858,48.5,-4.8
73,valencia_marathon,ESP,2018,-0.006562718747250456,1534,12.603,10.753,17.641,48.5,-4.8
74,valencia_marathon,ESP,2019,-0.003931732910240712,1657,13.976,12.121,14.896,48.5,-4.8
75,valencia_marathon,ESP,2020,-0.01836128305937453,51,9.254,6.165,8.394,48.5,-4.8
76,valencia_marathon,ESP,2021,-0.010473805265802282,1855,12.96,9.332,12.918,48.5,-4.8
77,valencia_marathon,ESP,2022,-0.01952154685542144,2282,9.921,8.576,14.95,48.5,-4.8
78,valencia_marathon,ESP,2023,-0.02719759950414912,2454,8.608,6.304,14.697,48.5,-4.8
79,valencia_marathon,ESP,2024,-0.015125103097689543,2100,12.401,11.844,19.453,48.5,-4.8
80,valencia_marathon,ESP,2025,-0.010989828354123434,1860,14.349,12.415,19.45,48.5,-4.8
81,paris_marathon,FRA,2014,-0.0014920625257369687,1671,14.835,13.913,16.66,285.6,2.1
82,paris_marathon,FRA,2015,-0.011556479563023369,2151,11.103,10.665,15.892,285.6,2.1
83,paris_marathon,FRA,2016,0.015164758527187076,2275,14.318,14.213,18.656,285.6,2.1
84,paris_marathon,FRA,2017,0.006378896574601382,2518,15.256,14.389,21.193,123.8,3.7
85,paris_marathon,FRA,2018,0.020819191808060022,2528,15.958,15.139,18.166,123.8,3.7
86,paris_marathon,FRA,2019,-0.0208953259794789,2637,5.241,4.685,7.794,131.0,7.6
87,paris_marathon,FRA,2021,-0.012015727546141323,1816,9.41,8.907,14.137,125.9,4.0
88,paris_marathon,FRA,2022,-0.02099085244104997,1871,4.287,3.097,5.977,125.9,4.0
89,paris_marathon,FRA,2023,-0.02614662808792889,1915,8.264,7.568,8.863,137.8,10.2
90,paris_marathon,FRA,2024,-0.011227714613517679,1590,16.327,15.432,17.737,137.8,10.2
91,paris_marathon,FRA,2025,-0.008224770880066288,51,14.27,13.499,15.277,132.9,4.4
92,abingdon_marathon,GBR,2022,0.0014375971232782824,164,14.792,14.842,18.362,84.4,-0.2
93,abingdon_marathon,GBR,2023,-0.0066242880498602105,156,10.069,10.063,13.255,84.4,-0.2
94,abingdon_marathon,GBR,2024,-0.0016178005262018295,183,14.141,13.591,16.579,84.4,-0.2
95,abingdon_marathon,GBR,2025,-0.008787375106198191,246,13.253,12.744,14.438,84.4,-0.2
96,belfast_marathon,GBR,2014,-0.002346360736187058,48,10.736,10.111,11.69,146.5,-27.3
97,belfast_marathon,GBR,2015,0.02647291645826762,92,11.457,10.684,12.041,146.5,-27.3
98,belfast_marathon,GBR,2016,0.013142673811845773,73,10.585,9.372,9.749,146.5,-27.3
99,belfast_marathon,GBR,2017,0.026443219230149872,52,11.945,12.034,15.17,146.5,-27.3
100,belfast_marathon,GBR,2018,0.023771711649764934,87,12.837,12.938,16.599,146.5,-27.3
102,belfast_marathon,GBR,2021,0.0035843459348257685,100,11.856,11.082,12.348,146.5,-27.3
103,belfast_marathon,GBR,2022,-0.00609319495476791,119,10.713,10.994,14.205,146.5,-27.3
104,belfast_marathon,GBR,2023,0.0003565079801966281,108,12.494,12.806,16.26,146.5,-27.3
105,belfast_marathon,GBR,2024,0.0021475191842435085,95,12.472,12.776,14.646,146.5,-27.3
106,belfast_marathon,GBR,2025,-0.0007647154777758198,84,10.234,9.005,9.936,146.5,-27.3
107,bostonUK_marathon,GBR,2021,-0.012409976721609777,252,12.005,12.411,17.209,12.8,-2.7
108,bostonUK_marathon,GBR,2022,-0.003990911870266257,162,11.648,11.298,13.666,12.8,-2.7
109,bostonUK_marathon,GBR,2023,-0.02230721025754012,94,10.12,10.767,14.524,12.8,-2.7
110,bostonUK_marathon,GBR,2024,-0.005000545309207377,95,7.655,7.055,7.762,12.8,-2.7
111,bostonUK_marathon,GBR,2025,-0.0062569210691488,129,12.141,11.34,13.49,12.8,-2.7
112,brighton_marathon,GBR,2022,0.008435535751040644,613,9.861,9.206,10.355,140.1,-19.0
113,brighton_marathon,GBR,2023,0.00399548494478962,522,8.358,7.359,9.358,140.1,-19.0
114,brighton_marathon,GBR,2024,0.016830626545404945,366,13.871,12.57,13.243,140.1,-19.0
115,brighton_marathon,GBR,2025,0.010178487126461954,346,13.816,11.908,13.054,140.1,-19.0
116,chester_marathon,GBR,2016,-0.010228797339883857,254,10.845,12.039,16.736,182.5,3.5
117,chester_marathon,GBR,2017,-0.007366151956183275,431,13.802,13.652,15.057,182.5,3.5
118,chester_marathon,GBR,2018,-0.012978724816510868,534,8.831,8.784,11.951,182.5,3.5
119,chester_marathon,GBR,2019,0.0053600758262769225,526,13.848,13.667,14.794,182.5,3.5
120,chester_marathon,GBR,2021,-0.0024675175438932176,235,12.328,11.576,13.86,182.5,3.5
121,chester_marathon,GBR,2022,-0.00043681643023095365,457,14.439,13.795,14.702,182.5,3.5
122,chester_marathon,GBR,2023,0.011775748601926338,530,17.291,16.496,20.301,182.5,3.5
123,chester_marathon,GBR,2024,-0.008596988777068526,453,12.932,12.444,13.119,182.5,3.5
124,chester_marathon,GBR,2025,-0.008055326643946672,303,13.355,11.902,13.416,182.5,3.5
125,edinburgh_marathon,GBR,2014,-0.013211637432955158,243,12.293,12.784,13.245,73.4,-79.4
126,edinburgh_marathon,GBR,2015,-0.0013857013019343753,286,10.213,9.198,9.827,73.4,-79.4
127,edinburgh_marathon,GBR,2016,-0.0050851128755041875,267,12.853,13.661,14.655,73.4,-79.4
128,edinburgh_marathon,GBR,2017,0.026364219576056412,250,16.805,16.13,17.929,73.4,-79.4
129,edinburgh_marathon,GBR,2018,-0.008246926724557103,405,13.954,13.803,15.188,73.4,-79.4
130,edinburgh_marathon,GBR,2019,0.016375218286433325,340,13.86,13.425,13.586,73.4,-79.4
131,edinburgh_marathon,GBR,2022,0.0028958317924891192,566,11.693,10.224,11.068,73.4,-79.4
132,edinburgh_marathon,GBR,2023,0.00545905299552589,295,12.244,11.257,12.938,73.4,-79.4
133,edinburgh_marathon,GBR,2024,-0.0035932905363463526,254,12.902,13.292,15.558,73.4,-79.4
134,edinburgh_marathon,GBR,2025,0.009263366952499998,225,13.363,11.82,12.465,73.4,-79.4
135,london_marathon,GBR,2014,-0.011726348098217345,2455,12.81,11.266,13.481,83.1,-33.9
136,london_marathon,GBR,2015,-0.022616119897358858,3042,8.734,8.249,9.008,83.1,-33.9
137,london_marathon,GBR,2016,-0.01728442642178278,3781,7.734,6.218,7.842,83.1,-33.9
138,london_marathon,GBR,2017,-0.001254658437698702,4409,12.09,10.496,12.632,83.1,-33.9
139,london_marathon,GBR,2018,0.05903210549456045,5013,20.906,18.97,19.564,83.1,-33.9
140,london_marathon,GBR,2019,-0.005867893882086493,6134,11.556,10.446,11.436,83.1,-33.9
141,london_marathon,GBR,2020,0.0026472389888484316,28,9.28,8.716,9.433,83.1,-33.9
142,london_marathon,GBR,2021,0.0024914670702086703,5926,13.412,12.603,14.45,83.1,-33.9
143,london_marathon,GBR,2022,0.0074512988941725965,6566,15.086,14.489,16.321,83.1,-33.9
144,london_marathon,GBR,2023,-0.004650064166511625,8135,12.21,12.191,12.609,83.1,-33.9
145,london_marathon,GBR,2024,-0.007671541649694137,8045,10.057,8.092,9.502,83.1,-33.9
146,london_marathon,GBR,2025,0.023440630956294724,5531,17.497,17.159,18.2,83.1,-33.9
147,manchester_marathon,GBR,2019,-0.01514356326891773,1457,9.571,9.02,13.298,72.1,-3.1
148,manchester_marathon,GBR,2021,0.015815663629310507,1283,14.676,13.915,14.543,89.9,-2.8
149,manchester_marathon,GBR,2022,-0.02013202215797803,1840,7.231,6.658,7.896,89.9,-2.8
150,manchester_marathon,GBR,2023,-0.022326090269147666,1342,10.689,9.811,11.356,89.9,-2.8
151,manchester_marathon,GBR,2024,-0.012224894892938631,1074,10.985,9.845,10.579,89.9,-2.8
152,manchester_marathon,GBR,2025,0.016963295228916313,727,16.316,15.205,16.878,84.4,6.5
153,milton_keynes_marathon,GBR,2014,0.0235436108044586,191,13.914,13.053,14.911,191.5,-8.3
154,milton_keynes_marathon,GBR,2015,0.016710298731836833,165,13.043,11.831,14.742,191.5,-8.3
155,milton_keynes_marathon,GBR,2016,0.042859599054755525,223,13.889,13.127,14.614,191.5,-8.3
156,milton_keynes_marathon,GBR,2017,0.019748941538089707,109,11.197,11.217,12.341,191.5,-8.3
157,milton_keynes_marathon,GBR,2018,0.11140655867261977,253,21.834,19.594,22.081,191.5,-8.3
158,milton_keynes_marathon,GBR,2019,0.011577973321859992,259,9.281,8.022,9.843,191.5,-8.3
159,milton_keynes_marathon,GBR,2021,0.0054995218378671076,239,15.258,15.399,17.924,191.5,-8.3
160,milton_keynes_marathon,GBR,2022,0.015776740395695783,276,12.699,12.512,14.054,191.5,-8.3
161,milton_keynes_marathon,GBR,2023,0.03064812384687446,219,13.207,13.306,14.99,191.5,-8.3
162,milton_keynes_marathon,GBR,2024,0.020283980095503567,258,14.056,14.45,15.15,191.5,-8.3
163,milton_keynes_marathon,GBR,2025,-0.000783729584169137,216,10.4,8.922,10.698,191.5,-8.3
164,newport_marathon,GBR,2018,-0.009519649474861403,136,8.062,7.753,9.05,55.4,0.2
165,newport_marathon,GBR,2019,-0.016222705634271608,147,10.188,9.322,10.33,55.4,0.2
166,newport_marathon,GBR,2021,-0.008278651683405257,260,12.864,12.166,13.604,55.4,0.2
167,newport_marathon,GBR,2023,-0.022689976594467996,176,11.589,10.62,11.712,55.4,0.2
168,newport_marathon,GBR,2024,-0.009480905182361684,172,9.426,8.55,10.963,24.4,-0.1
169,newport_marathon,GBR,2025,-0.02210859357948353,231,12.168,10.849,11.738,24.4,-0.1
