race_id,series_key,country,year,v_point,n_j,v_boot_med,v_sd,n_boot,lo95,lo90,lo68,hi95,hi90,hi68,temp_field,wbgt_field,wbgt_max,total_gain_m,net_gain_m
1,goldcoast_marathon,AUS,2025,0.02876523777511654,1401,0.028803502444211468,0.002270604775553562,100,0.024482115727579936,0.025484825412992605,0.02615953309642687,0.03305533743731222,0.032384734021102736,0.031153156553831024,17.605,16.65,21.367,45.5,-4.5
2,melbourne_marathon,AUS,2014,0.02710655567249383,882,0.027284674316414292,0.0037556646017447614,100,0.018229635178752604,0.022070463855497924,0.024916172471246976,0.035046162138494964,0.032651626336429714,0.030254817204442154,16.222,15.396,23.34,108.3,3.5
3,melbourne_marathon,AUS,2015,0.020034951479233926,994,0.020251224876513277,0.0038466571276242014,100,0.010205974313980648,0.014750830723509452,0.017261535269747195,0.025241040090412416,0.02501340801943838,0.02285925481481642,14.411,13.243,16.548,108.3,3.5
4,melbourne_marathon,AUS,2016,0.032144708913597886,991,0.03160392206527302,0.003752475392129791,100,0.021542117447921012,0.026842126622417743,0.029333598826234087,0.03760246186927428,0.03661985542815425,0.0341477765244227,18.57,15.805,19.007,108.3,3.5
5,melbourne_marathon,AUS,2017,0.018510341542193,812,0.017556785836142175,0.003693644190522346,100,0.00678280041217637,0.013117543212530666,0.015179363328144973,0.024134071803684945,0.02221544234124207,0.020610876915393327,12.39,12.419,18.769,108.3,3.5
6,melbourne_marathon,AUS,2018,0.06861625631853432,1184,0.06883230427002343,0.003382654665434905,100,0.06234880404895125,0.0630605092084868,0.06601034098828232,0.07514653345712605,0.07444182285473443,0.07236647299052253,19.584,16.853,21.102,108.3,3.5
7,melbourne_marathon,AUS,2019,0.037255180202414445,1382,0.037400188792655095,0.003016138249984521,100,0.03218156592833525,0.03248997718102038,0.033939589471824474,0.04336074668377909,0.04212201403550171,0.039584404396535475,14.092,13.209,18.789,108.3,3.5
8,melbourne_marathon,AUS,2021,0.041467962532226094,1411,0.04113709809230124,0.0027381891240352016,100,0.03514852958167526,0.03587343533255732,0.03842862255869008,0.04642546865222121,0.044969406701441124,0.04300554699735604,15.786,15.774,21.971,108.3,3.5
9,melbourne_marathon,AUS,2022,0.02787968768688305,1733,0.027244668628109966,0.00256504898247014,100,0.021842042552591735,0.022895961566585517,0.024363948004760133,0.03148654994019555,0.03081010795494854,0.02943653520159096,10.689,11.294,16.42,108.3,3.5
10,melbourne_marathon,AUS,2023,0.02203844000537944,1972,0.021408152746597013,0.001997719673842979,100,0.017166225629289603,0.01771300993780552,0.019118210573717414,0.025248745579934857,0.024476333092433984,0.022683667813856962,12.795,11.518,14.709,108.3,3.5
