race_id,series_key,country,year,v_point,n_j,v_boot_med,v_sd,n_boot,lo95,lo90,lo68,hi95,hi90,hi68,temp_field,wbgt_field,wbgt_max,total_gain_m,net_gain_m
1,goldcoast_marathon,AUS,2025,0.022680098513457647,161,0.02325829207418506,0.00595366184192373,100,0.01287924388102688,0.013844036734615229,0.017564119444366,0.03465115429740486,0.03302373558429592,0.02911600429115033,17.605,16.65,21.367,45.5,-4.5
6,melbourne_marathon,AUS,2018,0.047379719556821076,367,0.047468590998513305,0.005430118121618953,100,0.03696119795932364,0.038798274701736954,0.04218417052680886,0.0573911031736802,0.055758609644963396,0.053948410121572046,19.584,16.853,21.102,108.3,3.5
7,melbourne_marathon,AUS,2019,0.01359642596673849,387,0.01413730775668487,0.006139685831371011,100,0.00221303538302704,0.0029660341181972695,0.006600049758662934,0.025219342689658107,0.023198787548261497,0.019574218503234313,14.092,13.209,18.789,108.3,3.5
8,melbourne_marathon,AUS,2021,0.0270990629868173,443,0.026704074730901306,0.005067516223367507,100,0.01846128837682094,0.019534218859315146,0.022699735570105427,0.03812261547282066,0.03521266513174452,0.03205025060477288,15.786,15.774,21.971,108.3,3.5
9,melbourne_marathon,AUS,2022,0.013095111210576604,473,0.012948883121447041,0.005012024992121371,100,0.0022698393300180867,0.005065024637059201,0.0081124229886899,0.021738882546529645,0.020983992950209227,0.01839044288428809,10.689,11.294,16.42,108.3,3.5
10,melbourne_marathon,AUS,2023,0.010198269029728646,481,0.010515797697233431,0.004913077323170435,100,0.0015764350749967403,0.0022298929868685316,0.004232104617219878,0.01932300780590661,0.017718058524395654,0.014798344277847998,12.795,11.518,14.709,108.3,3.5
11,melbourne_marathon,AUS,2024,0.024743259434842013,486,0.024565434352070703,0.004856411762658772,100,0.015236140232580297,0.017251061776097053,0.020108770562194546,0.03278632595664693,0.03268141725890015,0.029664810579398005,16.16,13.506,18.71,108.3,3.5
12,melbourne_marathon,AUS,2025,0.010297749313751048,429,0.009895830643214865,0.005204428049692123,100,-0.0008879235299635412,-0.0004405191334722502,0.005171166683719619,0.018252191141602092,0.017689359827932738,0.014702682200081137,12.314,11.365,15.031,108.3,3.5
13,sydney_marathon,AUS,2022,0.032901021920307194,92,0.0329924043931451,0.006792985546608673,100,0.017324704806912526,0.019528345830936412,0.025533841796432633,0.043506110285454716,0.04162245457896996,0.03902998694389248,16.848,14.019,17.566,258.0,-42.5
14,sydney_marathon,AUS,2023,0.06970704999340338,170,0.06987730977957773,0.006176655038466764,100,0.056247896171223354,0.058995088936227735,0.06374895825516261,0.08136438690889417,0.07944186484804901,0.07487310804354788,22.927,18.266,22.142,258.0,-42.5
15,sydney_marathon,AUS,2024,0.018519961682331942,527,0.018086976617256223,0.003989753868989078,100,0.011591644907394495,0.012301358573352239,0.01400902333208995,0.025870366412716193,0.024787656698365156,0.02234797726937165,11.761,8.949,12.796,258.0,-42.5
