race_id,series_key,country,year,v_point,n_j,v_boot_med,v_sd,n_boot,lo95,lo90,lo68,hi95,hi90,hi68,temp_field,wbgt_field,wbgt_max,total_gain_m,net_gain_m
1,goldcoast_marathon,AUS,2025,0.028956550791550573,604,0.0290143548461268,0.003580249836882466,100,0.021944142726034656,0.023679588130230255,0.0253687205023944,0.03599800151507608,0.0352188905225287,0.032430641841385305,17.605,16.65,21.367,45.5,-4.5
2,melbourne_marathon,AUS,2014,-0.028856905129692745,306,-0.023671973222557652,0.03069944299312631,100,-0.09591644592074369,-0.08850572005834498,-0.06598049356273014,0.013273947861220114,0.008085665986576887,-0.0013088023571532776,16.222,15.396,23.34,108.3,3.5
3,melbourne_marathon,AUS,2015,-0.033152825292475985,396,-0.029559021436862176,0.031213173358328298,100,-0.10063933384621565,-0.09484320526036225,-0.07131108893375883,0.007327251215115451,0.004272760728351761,-0.005731184151292849,14.411,13.243,16.548,108.3,3.5
4,melbourne_marathon,AUS,2016,-0.01964226469740149,382,-0.014452311555671393,0.03132766375383224,100,-0.08648322083436183,-0.08158234511942745,-0.05659824057261126,0.02168480559785733,0.015991676191797217,0.008366848899220843,18.57,15.805,19.007,108.3,3.5
5,melbourne_marathon,AUS,2017,-0.03834989199065886,304,-0.032700357052092066,0.03174901804726394,100,-0.10828649695355036,-0.1017517940308355,-0.07660954819962022,0.0031640196925801526,-0.0005897393123811342,-0.00958365952507655,12.39,12.419,18.769,108.3,3.5
6,melbourne_marathon,AUS,2018,0.04378877780528079,441,0.04429889674258125,0.0056276593107202596,100,0.034511368584801735,0.035836045801948636,0.03917992131314805,0.055342548044639034,0.05376618230831433,0.050524227575655445,19.584,16.853,21.102,108.3,3.5
7,melbourne_marathon,AUS,2019,0.01889865514610456,495,0.01915593877408872,0.0048615584100833685,100,0.01074210445949697,0.01185127220749287,0.014089710779833843,0.02856088887767399,0.027550809044397172,0.024252185590013367,14.092,13.209,18.789,108.3,3.5
8,melbourne_marathon,AUS,2021,0.02850721435171355,400,0.028854413459150297,0.004842391965352766,100,0.01978289739603435,0.020151880871583972,0.02360068062117172,0.038134750228869946,0.03627378531947747,0.0331558118577108,15.786,15.774,21.971,108.3,3.5
9,melbourne_marathon,AUS,2022,0.03245307895750704,539,0.032088316728552724,0.003985395364628919,100,0.02480695869215347,0.026260047272502817,0.02896133256039878,0.0411373253146213,0.03926287754227855,0.03659402511202469,10.689,11.294,16.42,108.3,3.5
10,melbourne_marathon,AUS,2023,0.022841738133481115,603,0.02275857853314478,0.003867514982161727,100,0.017279231120474147,0.01797274515469034,0.01927228637371213,0.03214352218998981,0.030020559672624354,0.0271346766896081,12.795,11.518,14.709,108.3,3.5
11,melbourne_marathon,AUS,2024,0.035947144990678304,806,0.035379524617148106,0.0032784133402734097,100,0.030270528619938952,0.03106342489120486,0.03295738042626967,0.04248984887949227,0.04160413675792447,0.03926361754241146,16.16,13.506,18.71,108.3,3.5
12,melbourne_marathon,AUS,2025,0.020083526394214513,750,0.020644794728999827,0.0033240270023579964,100,0.015147320192000335,0.015495083616939942,0.01715201495839718,0.027462729886054797,0.025352094375627774,0.023537565776003733,12.314,11.365,15.031,108.3,3.5
13,sydney_marathon,AUS,2022,0.049892686824233756,264,0.050088791740007244,0.005167482491900123,100,0.03964960899327884,0.0399488133165458,0.045000480577631376,0.057753163498195925,0.05721623278554875,0.0547374767949764,16.848,14.019,17.566,258.0,-42.5
14,sydney_marathon,AUS,2023,0.07779043046780032,843,0.07798402239208158,0.0032037974169463173,100,0.07141091362167973,0.07244307274730279,0.07487007617921464,0.0834041428691897,0.08276990146636473,0.08116017374695819,22.927,18.266,22.142,258.0,-42.5
15,sydney_marathon,AUS,2024,0.029411786208005886,1617,0.02949679682098494,0.0024260100710148786,100,0.02496233761461819,0.025984859409690465,0.027077808762905792,0.0343832641992812,0.03322447960497924,0.032022597464325564,11.761,8.949,12.796,258.0,-42.5
16,sydney_marathon,AUS,2025,0.036785199015645365,2797,0.03672560195888841,0.002672642549793113,100,0.030820352670848473,0.03256359362897589,0.03414957853297157,0.041835280498950335,0.041142843071488695,0.03956952006111962,12.451,10.926,17.253,258.0,-42.5
17,vienna_marathon,AUT,2018,0.02733079235020419,106,0.027565120207919236,0.00590112404111353,100,0.015034068257544646,0.016758529758405083,0.02046745101230547,0.03688972037749973,0.03678039182216788,0.032256368296782544,21.887,19.289,22.363,90.3,10.5
18,vienna_marathon,AUT,2019,-0.007273899684871132,107,-0.006854687350814848,0.0050667297491519304,100,-0.018218768322021593,-0.0164645662122872,-0.012285433640788934,0.0012091775024590465,0.0006677246052596887,-0.003244540969709906,12.72,11.519,14.28,90.3,10.5
19,vienna_marathon,AUT,2021,0.019440960058011658,43,0.01855472688139792,0.006513094792706828,100,0.007816897774149779,0.009370861249668938,0.01274367718107932,0.03144816190428667,0.02987184355299621,0.025225472332073336,22.401,21.103,23.908,90.3,10.5
20,vienna_marathon,AUT,2022,0.004352095087383212,99,0.003233690439959025,0.004220895678584843,100,-0.0038905894614477687,-0.002481068629073513,-0.00023623588407692964,0.011838137188062618,0.010813421068667993,0.007797766836097838,16.029,14.477,17.038,90.3,10.5
21,vienna_marathon,AUT,2023,0.011339221126528187,202,0.010798128557697906,0.004187928434323332,100,0.0024429085182746226,0.0047883528623391845,0.007321600534770063,0.019720034746198017,0.018759498084045177,0.014411596311964344,17.56,16.516,18.741,90.3,10.5
22,vienna_marathon,AUT,2024,-0.0007771668690295108,152,-0.0011414275264416407,0.004943003744275652,100,-0.012204217671399809,-0.010055470766080089,-0.006062130932006848,0.0069694382812994764,0.0058888950733444675,0.0036961431423400888,7.023,5.87,7.301,90.3,10.5
23,vienna_marathon,AUT,2025,-0.011967459337882236,136,-0.013661147706393484,0.004480624316063051,100,-0.01972480028877057,-0.01919921715613413,-0.01743080614011687,-0.003048617804335405,-0.0052707682557230065,-0.008715702532965235,2.99,1.025,2.265,90.3,10.5
24,prague_marathon,CZE,2014,0.01731461697636405,29,0.015907523243368304,0.01313519599709155,100,-0.006756535004481002,-0.004117457884335485,0.002903067731428255,0.04155880436630719,0.03958384408230279,0.030085860938333358,13.814,12.535,13.238,104.4,-0.3
25,prague_marathon,CZE,2015,0.010326454139840902,41,0.010480498290414975,0.00874155136555168,100,-0.004085806681270371,-0.0030528887641295467,0.0012655672661517237,0.02438861483831896,0.023028430273172716,0.019784484006637317,12.827,12.309,15.633,104.4,-0.3
