race_id,series_key,country,year,v_point,n_j,v_boot_med,v_sd,n_boot,lo95,lo90,lo68,hi95,hi90,hi68,temp_field,wbgt_field,wbgt_max,total_gain_m,net_gain_m
1,goldcoast_marathon,AUS,2025,0.010619522099062362,604,0.011204868251365463,0.0026484180533760996,100,0.00547496851976117,0.0068777440306724506,0.008414124286714201,0.01621991757135246,0.01573707843747536,0.013612902241099291,17.605,16.65,21.367,45.5,-4.5
2,melbourne_marathon,AUS,2014,-0.02246694415323791,306,-0.021364288427506706,0.01415986568571352,100,-0.06426256091235853,-0.04599452873915581,-0.028888447381461155,0.007061338027436521,0.0036037704345077875,-0.01620238878767868,16.222,15.396,23.34,108.3,3.5
3,melbourne_marathon,AUS,2015,-0.019306058345398114,396,-0.019572353743474658,0.014651236225618673,100,-0.06160757823068794,-0.04562993643325568,-0.025628515036819587,0.010238896083422854,0.004452099591357072,-0.012263672012052034,14.411,13.243,16.548,108.3,3.5
4,melbourne_marathon,AUS,2016,-0.0005926340596236201,382,0.0007944468417100392,0.014489219917212968,100,-0.04339081681684783,-0.029745612025241418,-0.006916730779187876,0.02982573715150099,0.023034117533121835,0.005870294699232428,18.57,15.805,19.007,108.3,3.5
5,melbourne_marathon,AUS,2017,-0.01570347614861456,304,-0.016042504368489308,0.015217655025180691,100,-0.05628460120934507,-0.03979834135551006,-0.02246728878805751,0.019169088742287017,0.010089390773545832,-0.009845920770602314,12.39,12.419,18.769,108.3,3.5
6,melbourne_marathon,AUS,2018,0.023553344253499198,441,0.0243347382169794,0.005333010419578707,100,0.01512660319925473,0.016336721718046943,0.020094911711038943,0.03557712050983368,0.034637129367062175,0.030459049714973433,19.584,16.853,21.102,108.3,3.5
7,melbourne_marathon,AUS,2019,0.005353221787458562,495,0.006915973386146135,0.004228166221549539,100,-0.0017638273592600728,-0.001432574633499639,0.001800313180094637,0.01474695667763489,0.01355322349825163,0.010269370919245995,14.092,13.209,18.789,108.3,3.5
8,melbourne_marathon,AUS,2021,0.006559542850075761,400,0.007071317049813564,0.003712968202499264,100,-0.0002781764629255501,0.0008593487084166187,0.0034666024021923468,0.01313020297141025,0.012393436819614755,0.010597926958437344,15.786,15.774,21.971,108.3,3.5
9,melbourne_marathon,AUS,2022,0.008393267705575802,539,0.008544115058404467,0.002997555552852906,100,0.0028917605854232977,0.003296326043695097,0.006078411957668717,0.013794522009038766,0.013583498913679581,0.01194142909660437,10.689,11.294,16.42,108.3,3.5
10,melbourne_marathon,AUS,2023,-0.0019893445106018426,603,-0.001401296720983769,0.002945744530785463,100,-0.00680313891276626,-0.0062480066121634705,-0.004760108815605833,0.00388258069474425,0.0034872779017306008,0.001571021377399795,12.795,11.518,14.709,108.3,3.5
