race_id,series_key,country,year,v_point,n_j,v_boot_med,v_sd,n_boot,lo95,lo90,lo68,hi95,hi90,hi68,temp_field,wbgt_field,wbgt_max,total_gain_m,net_gain_m
15,sydney_marathon,AUS,2024,0.010761489518194445,61,0.009222810352304656,0.006331454871411638,100,0.00046733834609899997,0.0011106775239356993,0.0036888891838126625,0.02318894769832415,0.02018422544085374,0.016652185433421014,11.761,8.949,12.796,258.0,-42.5
16,sydney_marathon,AUS,2025,0.04046114836195969,120,0.041253591642152365,0.009651216133637688,100,0.022751622927492766,0.02608465041082575,0.0342411765880853,0.059416994097228976,0.05697518643512003,0.05017020353621266,12.451,10.926,17.253,258.0,-42.5
20,vienna_marathon,AUT,2022,-0.004271995903771142,26,-0.006214272112280872,0.00947701519516081,100,-0.02544027019321572,-0.020442413483292277,-0.014534316443566286,0.012141777430267807,0.011089417574549752,0.0032060191929534727,16.029,14.477,17.038,90.3,10.5
23,vienna_marathon,AUT,2025,-0.0011408676485196168,30,-0.0011151209772277682,0.013643309002601703,100,-0.025528565387185332,-0.023429266537166926,-0.015023404873003673,0.028926681202854878,0.02285344502121591,0.01147422155883845,2.99,1.025,2.265,90.3,10.5
36,copenhagen_marathon,DEN,2016,0.05019137157618081,23,0.0499126982390421,0.021628717901952362,100,0.014076261307506287,0.01967775949477604,0.03451133006366801,0.09566583000528198,0.08216844998483834,0.06722215439378937,20.279,18.468,19.555,74.1,3.0
37,copenhagen_marathon,DEN,2017,0.010887178438250267,21,0.010818163529486169,0.0198631887117713,100,-0.024368420028974425,-0.01688840108786662,-0.010801971820227258,0.05537939919471945,0.043512966213149505,0.028257123436858364,16.071,14.222,15.888,74.1,3.0
38,copenhagen_marathon,DEN,2018,0.039811800664152575,22,0.04010926881406185,0.016757613214488088,100,0.013225111242904574,0.014894651513981394,0.02493198557108247,0.07539399941771947,0.06725829346441524,0.05662598133835674,20.425,17.71,18.945,74.1,3.0
39,copenhagen_marathon,DEN,2019,0.045497256770148375,23,0.04616919464514102,0.018120530022452,100,0.012036751518928437,0.02102523607654272,0.02914947449705636,0.0794807992201249,0.07606450062841519,0.06445785816517238,16.402,16.7,19.649,74.1,3.0
40,copenhagen_marathon,DEN,2022,-0.011673544229117816,50,-0.012935645228002501,0.006923080463795344,100,-0.027187531475786796,-0.023566861726688336,-0.018424081827931628,0.0026188129123776577,-0.0009186778533181197,-0.006280965478823398,13.659,12.69,14.18,74.1,3.0
41,copenhagen_marathon,DEN,2023,0.009430870159956584,43,0.010414560066561496,0.010265321780930838,100,-0.009597177996886818,-0.0070585610695133244,0.000809147052484711,0.02861253295883143,0.025340150891532496,0.019346600277581717,18.556,15.594,16.677,74.1,3.0
42,copenhagen_marathon,DEN,2024,-0.025331488774358757,34,-0.025152453478309633,0.008190276523893914,100,-0.03920555514557371,-0.03726611246696421,-0.03250715745335375,-0.008834328686434221,-0.011128439393027637,-0.01614874191371282,12.899,13.166,14.319,74.1,3.0
43,copenhagen_marathon,DEN,2025,-0.0483409492823208,27,-0.04974469493208877,0.011068705151815414,100,-0.06867454228224099,-0.06619821085821509,-0.060068790976887866,-0.025640974722919194,-0.029635079657243258,-0.03917229483533861,10.909,9.46,11.511,74.1,3.0
45,barcelona_marathon,ESP,2021,-0.037760715138349,25,-0.03723859605266333,0.009525933586117285,100,-0.05299213529845598,-0.05175120254232315,-0.04694913803948927,-0.020897128317028182,-0.024646775673179973,-0.02848773472964199,10.839,8.969,15.38,135.7,0.6
47,barcelona_marathon,ESP,2023,0.010364918642044252,30,0.011312159051095838,0.010856024148810617,100,-0.006404046282572717,-0.005107859039781393,-0.0003768433113582326,0.0333347908988759,0.02877568434587634,0.02086438221679461,14.132,13.575,16.164,135.7,0.6
48,barcelona_marathon,ESP,2024,-0.020222034159954827,35,-0.018917780657813132,0.010443091124013293,100,-0.038024327934095145,-0.034194600848036806,-0.027010421029961974,0.001943194720992896,-0.0027539149328792275,-0.008843878410711685,10.859,9.48,12.847,121.9,-16.9
49,barcelona_marathon,ESP,2025,-0.012820902746034424,89,-0.013367745024742028,0.005757050364621943,100,-0.02237110889326822,-0.020749179273289852,-0.018169314878094305,-0.0013246130802330792,-0.003153859080200517,-0.00683535088100447,9.685,9.76,13.01,121.9,-16.9
56,malaga_marathon,ESP,2019,-0.03275923864373187,33,-0.03386737075365631,0.010099907468566614,100,-0.051700421572287734,-0.047773168810698485,-0.04158144186207496,-0.010207309676640637,-0.014039262054783836,-0.022060873267599562,12.077,10.722,17.287,291.4,-0.1
59,malaga_marathon,ESP,2023,0.004625984764691893,60,0.004851996520381707,0.00628316471464716,100,-0.006130251410062303,-0.004722056800863262,-0.0009831641801260637,0.017768350566450906,0.01589533830017451,0.010849486436232708,13.839,12.678,20.465,291.4,-0.1
60,malaga_marathon,ESP,2024,-0.010307001841999064,54,-0.009964627715612462,0.008660579304072291,100,-0.025641943746176944,-0.02413337239657165,-0.019806577391227514,0.005919560388627624,0.005151265760281331,-0.002988683495435078,11.286,10.12,16.905,291.4,-0.1
61,malaga_marathon,ESP,2025,0.010633314554868267,84,0.009862893239325432,0.008946390480699649,100,-0.002925455720476089,-0.0002293573918903613,0.0022264649560255023,0.028595843794944863,0.02813804738861476,0.01860512608613099,15.064,13.876,16.603,291.4,-0.1
64,san_sebastian_marathon,ESP,2025,-0.013840302361644241,21,-0.013715769270451927,0.014577138158269023,100,-0.03672838759592113,-0.03310758258655018,-0.028529061362743243,0.015786092838511193,0.01043483292240283,0.0017303156004314201,13.432,12.037,14.733,90.3,-0.1
65,seville_marathon,ESP,2018,-0.013802492980247383,34,-0.012001290550250676,0.007994203734973665,100,-0.02762091972472539,-0.025614370203973568,-0.020743035224646374,0.0019505191508249337,0.0005791299006305806,-0.004135907981867534,11.001,10.157,15.192,36.5,-0.1
66,seville_marathon,ESP,2019,-0.034070996255739505,43,-0.033741369346063754,0.008003103080934914,100,-0.050196033994172176,-0.04675352393529182,-0.04181656739330023,-0.01962487333272168,-0.02158635686552808,-0.026830564288375935,9.121,7.798,15.672,36.5,-0.1
