race_id,series_key,country,year,v_point,n_j,v_boot_med,v_sd,n_boot,lo95,lo90,lo68,hi95,hi90,hi68,temp_field,wbgt_field,wbgt_max,total_gain_m,net_gain_m
15,sydney_marathon,AUS,2024,0.009987931892018187,56,0.008258531037021594,0.01004799424555333,100,-0.004678391657209866,-0.0033033614514371506,0.0002575728348578997,0.03304771821115665,0.025299041907809464,0.0179405855117612,11.761,8.949,12.796,258.0,-42.5
16,sydney_marathon,AUS,2025,0.03867288266146174,60,0.03925352757241618,0.011007973952648098,100,0.023493974756385972,0.02471049221587707,0.02791130049944894,0.06332360142924365,0.06042937809084219,0.05130337745699931,12.451,10.926,17.253,258.0,-42.5
49,barcelona_marathon,ESP,2025,-0.01169477743832037,26,-0.012763362546065027,0.00965814417336053,100,-0.02864151585332304,-0.02701665632047142,-0.020053661160257263,0.010159271379877322,0.007469018435768633,-0.0031157878047152307,9.685,9.76,13.01,121.9,-16.9
61,malaga_marathon,ESP,2025,-0.006758459636558634,33,-0.0062834637561506035,0.012952330193536173,100,-0.03514899056241949,-0.025677464947761852,-0.017690089139710728,0.019712100819418182,0.01601536123116498,0.007342037026945868,15.064,13.876,16.603,291.4,-0.1
68,seville_marathon,ESP,2022,-0.005353238207435718,30,-0.007932564357134117,0.011517191431273733,100,-0.027898741222501407,-0.024607599265628288,-0.019009048075802965,0.015446357469161676,0.008835776302056514,0.0015829221016101145,12.161,10.254,17.809,36.5,-0.1
69,seville_marathon,ESP,2023,-0.01682475877879286,41,-0.016518636023063794,0.007207895278709899,100,-0.030907706431680317,-0.0299799696862355,-0.02254071011707197,-0.004723237342903173,-0.005581685989216373,-0.008583225161289728,13.939,11.576,17.407,36.5,-0.1
70,seville_marathon,ESP,2024,-0.03356132967980563,34,-0.03166061874394821,0.009019987039995224,100,-0.04643337356171802,-0.04558481132842162,-0.039669759357289995,-0.015033988663995954,-0.015516699150386627,-0.02096673909343992,10.294,9.074,17.737,36.5,-0.1
71,seville_marathon,ESP,2025,-0.02784185054196242,47,-0.027218647934537876,0.008657358496172825,100,-0.04239865919429337,-0.04041476438641323,-0.03641982328634374,-0.008550597249498406,-0.014148052664690084,-0.018644733326726524,9.904,9.104,16.789,36.5,-0.1
72,valencia_marathon,ESP,2017,0.006802143360956192,32,0.006277012686068145,0.011882370255946921,100,-0.016702690551249226,-0.012417606451347563,-0.004789973658152165,0.02820331202433397,0.025184569360276163,0.020192119261831926,10.625,9.209,18.858,48.5,-4.8
73,valencia_marathon,ESP,2018,-0.018527392065482373,45,-0.016784152549623566,0.011621030977364246,100,-0.04512956743950837,-0.03524391716059395,-0.02689327560540413,0.004221317365938277,-0.00042921867042057716,-0.006713184632154269,12.603,10.753,17.641,48.5,-4.8
74,valencia_marathon,ESP,2019,0.0016908411268095058,48,0.0012191264096533955,0.00871883764963275,100,-0.01691176313296832,-0.013138033680384275,-0.007326260584118387,0.016462519241114453,0.015171005371029044,0.00954299465170022,13.976,12.121,14.896,48.5,-4.8
76,valencia_marathon,ESP,2021,-0.022871540552362735,31,-0.02319282337384465,0.010792846603774253,100,-0.04186944665583387,-0.03929398353964866,-0.032974187715354694,-0.0008407866383498442,-0.0021211525499641964,-0.013995022069713375,12.96,9.332,12.918,48.5,-4.8
77,valencia_marathon,ESP,2022,-0.02799957256365182,72,-0.028330629519392803,0.004898040591404507,100,-0.0372093498695913,-0.03529957209157518,-0.03246561441052221,-0.018404189341500985,-0.01961774235740037,-0.0234665969588779,9.921,8.576,14.95,48.5,-4.8
78,valencia_marathon,ESP,2023,-0.037989117459915844,109,-0.036823001108475056,0.004554962755672233,100,-0.04574266084102855,-0.04412366423901453,-0.04204370817790288,-0.028774419258098868,-0.030240445526884464,-0.03266362437624173,8.608,6.304,14.697,48.5,-4.8
79,valencia_marathon,ESP,2024,-0.03641360428633311,87,-0.03626707311133193,0.005589002752186802,100,-0.046698558571221196,-0.04591062807180396,-0.04002844795896622,-0.024934158226200327,-0.026167789965378652,-0.030244404565853818,12.401,11.844,19.453,48.5,-4.8
80,valencia_marathon,ESP,2025,-0.04383975240175697,84,-0.04424568402569651,0.0070844721586666845,100,-0.0580058435996412,-0.056138451469356816,-0.05134895571512658,-0.03160628868443317,-0.03316693187036291,-0.037646177339895295,14.349,12.415,19.45,48.5,-4.8
81,paris_marathon,FRA,2014,0.006369031886956478,22,0.0072492894486416715,0.014588244848038851,100,-0.016707405819144556,-0.01358583882561265,-0.0074386946960138855,0.03636508219800104,0.03288452705221211,0.021420666920283167,14.835,13.913,16.66,285.6,2.1
82,paris_marathon,FRA,2015,-0.001791237750036645,45,-0.0036402082837443395,0.011457645767208513,100,-0.021225498750791758,-0.018799553385497447,-0.01346643143312951,0.019059807666203292,0.014678646569851206,0.010314707961657161,11.103,10.665,15.892,285.6,2.1
83,paris_marathon,FRA,2016,-0.005458182805291978,37,-0.004447320492763751,0.011074681566427914,100,-0.02785083893617076,-0.021242670358672982,-0.013812420122327343,0.016048298303801316,0.014110263450386273,0.006690866292415331,14.318,14.213,18.656,285.6,2.1
84,paris_marathon,FRA,2017,-0.008522772384308874,36,-0.008175529956771121,0.009853403362541932,100,-0.02540776342992306,-0.025138478812467318,-0.01903366946161543,0.009105410863718372,0.007565127967298274,0.00043264714393313107,15.256,14.389,21.193,123.8,3.7
85,paris_marathon,FRA,2018,0.03876336747167808,23,0.03927050105253527,0.010061634430484748,100,0.021432722597310265,0.02405493904854652,0.0296204824904982,0.06083339232887582,0.05600950369912814,0.04796400340125818,15.958,15.139,18.166,123.8,3.7
86,paris_marathon,FRA,2019,0.005134001347165906,21,0.00443993867215195,0.013538112320068059,100,-0.02151462661147237,-0.01737828615985697,-0.0077358666499799346,0.03028463624144348,0.024636237444043932,0.018151978047041953,5.241,4.685,7.794,131.0,7.6
88,paris_marathon,FRA,2022,-0.016154182719661958,30,-0.016405077246036792,0.009730318654872694,100,-0.03217686402082307,-0.031164160003303153,-0.026049512804497178,0.0027007454660640134,0.0008709795890780566,-0.005803574293138745,4.287,3.097,5.977,125.9,4.0
89,paris_marathon,FRA,2023,-0.03584621150117129,32,-0.03609930817470752,0.0069632540046985925,100,-0.049412464771608246,-0.045280525554830066,-0.04251957395894275,-0.021497299254037434,-0.02527174969749905,-0.029132790562999295,8.264,7.568,8.863,137.8,10.2
90,paris_marathon,FRA,2024,0.008541507537939586,21,0.004134852228663832,0.014600490761036013,100,-0.018043283460894108,-0.012582416324819145,-0.006907338970759885,0.03998534682610046,0.033009400708050994,0.021146901141964502,16.327,15.432,17.737,137.8,10.2
