race_id,series_key,country,year,v_point,n_j,v_boot_med,v_sd,n_boot,lo95,lo90,lo68,hi95,hi90,hi68,temp_field,wbgt_field,wbgt_max,total_gain_m,net_gain_m
1,goldcoast_marathon,AUS,2025,-0.0015831584737995286,36,-0.0010931882020459582,0.007446411080005136,100,-0.014636225109592949,-0.012763455309426464,-0.008599570629515796,0.01413644661786218,0.010220649807430865,0.00527235270823471,17.605,16.65,21.367,45.5,-4.5
6,melbourne_marathon,AUS,2018,-0.024800667578077196,11,-0.022659837337231092,0.019407863855638356,100,-0.05247745355993105,-0.04819597921478236,-0.036302704956376816,0.02124721664793273,0.016459844386519006,-0.00024474493503660974,19.584,16.853,21.102,108.3,3.5
7,melbourne_marathon,AUS,2019,-0.005968592880315704,24,-0.004528334440565551,0.008873740843364314,100,-0.018786845258389074,-0.017645991448245857,-0.011648578144655808,0.014343116738279458,0.010984143177276535,0.00402540575340577,14.092,13.209,18.789,108.3,3.5
8,melbourne_marathon,AUS,2021,0.0061929601774535215,16,0.006885016002504685,0.01103714961995944,100,-0.010261588448300519,-0.008512948925548524,-0.004018672647729069,0.029369517995266832,0.028263783977766986,0.0191352188888035,15.786,15.774,21.971,108.3,3.5
9,melbourne_marathon,AUS,2022,0.007264113642537318,12,0.004964860955307238,0.009662727527875939,100,-0.009622367521162767,-0.008049291838278804,-0.003524396480839833,0.02776519368723765,0.022297415323128157,0.016213684355551084,10.689,11.294,16.42,108.3,3.5
10,melbourne_marathon,AUS,2023,-0.01508215745767405,27,-0.014052687040602141,0.007316783558598686,100,-0.03047619322900441,-0.029065750323625083,-0.021653871314503838,-0.0031561791525078573,-0.003943301061265148,-0.007887232016080895,12.795,11.518,14.709,108.3,3.5
11,melbourne_marathon,AUS,2024,-0.011271088732569545,40,-0.009867704081340634,0.008363096596776655,100,-0.026949370173455955,-0.023372692957537033,-0.019816183806462214,0.004701908075224373,0.002020424355800896,-0.0031173052052236396,16.16,13.506,18.71,108.3,3.5
12,melbourne_marathon,AUS,2025,-0.00538539601729493,28,-0.007085100289766277,0.009122217059274814,100,-0.025194537040553654,-0.02235589628840722,-0.0163193278258845,0.009086520508523798,0.007965508414551613,0.0027376184381015982,12.314,11.365,15.031,108.3,3.5
13,sydney_marathon,AUS,2022,0.011490164868820152,14,0.010279517405901384,0.01010312794228628,100,-0.0033140328250440333,-0.001982554078359522,0.0011770555823159155,0.03447204749322702,0.02988839574338339,0.020342249202650854,16.848,14.019,17.566,258.0,-42.5
14,sydney_marathon,AUS,2023,0.029704511448575666,21,0.030135816294040385,0.005152651633872089,100,0.02037007180153092,0.021522467112275345,0.024560854807089215,0.038217552696748,0.03752900233796872,0.03505192944505097,22.927,18.266,22.142,258.0,-42.5
15,sydney_marathon,AUS,2024,0.01169345241787223,47,0.011824820652462709,0.004139852256147584,100,0.0062972492220872535,0.006568004999280896,0.008137801378129658,0.021467050305748813,0.020216414033784245,0.015566878088377506,11.761,8.949,12.796,258.0,-42.5
16,sydney_marathon,AUS,2025,0.004709796576963576,80,0.00532443873141597,0.0062658401660782796,100,-0.007232473448072851,-0.0047579438664848706,-0.0007409892762461823,0.017502381548757582,0.015848668540856047,0.011108341017601617,12.451,10.926,17.253,258.0,-42.5
17,vienna_marathon,AUT,2018,-0.0006905405674997311,14,-0.0015845996641954407,0.006922841327370943,100,-0.01262025537258613,-0.011526524581329278,-0.006362876683555889,0.01555677580129898,0.01046130597422925,0.005341303237414186,21.887,19.289,22.363,90.3,10.5
18,vienna_marathon,AUT,2019,-0.01607317238448225,25,-0.0166686979187487,0.008341720008488847,100,-0.030057283548139035,-0.029114109231407427,-0.023108394161594995,-0.0003529220883176158,-0.0025775751049554453,-0.007833315253191949,12.72,11.519,14.28,90.3,10.5
19,vienna_marathon,AUT,2021,0.00817482587504692,16,0.0076759683570366555,0.00642419831025914,100,-0.0020501389407906467,-0.0002596963098092873,0.004032252198785393,0.022698306002261186,0.021416637238627963,0.014720370591889952,22.401,21.103,23.908,90.3,10.5
20,vienna_marathon,AUT,2022,0.0019923879533116917,23,0.0026319534341170403,0.006484910611194115,100,-0.008519365458828277,-0.007411344010581633,-0.004174410661571351,0.014315942482180861,0.01381048835421974,0.009172670497089398,16.029,14.477,17.038,90.3,10.5
21,vienna_marathon,AUT,2023,0.01163690112948057,23,0.012090394060566112,0.007437646426744689,100,-0.0011744806134125207,0.00031435389425964465,0.005868899537140386,0.028040905182550667,0.026378600757508284,0.018684425924996615,17.56,16.516,18.741,90.3,10.5
22,vienna_marathon,AUT,2024,0.0005451407178371781,46,0.0008719827892500476,0.005221090293904693,100,-0.010390271981844456,-0.00846586869362076,-0.003971363809066943,0.011358823333054772,0.007499986695672681,0.004276289187161096,7.023,5.87,7.301,90.3,10.5
23,vienna_marathon,AUT,2025,0.0089137283766334,31,0.008931725384341949,0.0076002249974471735,100,-0.0035493765602335526,-0.002599575712348523,0.0014855102725012514,0.02428040550561211,0.019124431801954108,0.014825710664701858,2.99,1.025,2.265,90.3,10.5
25,prague_marathon,CZE,2015,-0.020281433901609525,13,-0.020304553132113767,0.00540112428214871,100,-0.030826194225192484,-0.028760654409788745,-0.026512566080832477,-0.010625805220411911,-0.011942705898583218,-0.016073838690226484,12.827,12.309,15.633,104.4,-0.3
26,prague_marathon,CZE,2016,-0.014055136037607774,14,-0.014007389414487648,0.004965318763186369,100,-0.023812548818718016,-0.021645945732058268,-0.02005771221235502,-0.005976903885603658,-0.006408976643209298,-0.010034398905362566,16.365,14.102,16.487,104.4,-0.3
27,prague_marathon,CZE,2017,-0.013702902171546683,20,-0.01349417205142922,0.007152827220139879,100,-0.02602085065418782,-0.024356218396475216,-0.020477677819450937,0.0001305254722788697,-0.0017198990148791448,-0.006747430322629668,13.649,13.709,16.363,104.4,-0.3
28,prague_marathon,CZE,2018,-0.006466723312745337,15,-0.00622680736259662,0.005955377014836698,100,-0.018444583150545802,-0.015261985365121512,-0.010898050893745754,0.005146854745180283,0.004347976884300707,0.00022070309167709326,15.431,12.817,16.493,104.4,-0.3
29,prague_marathon,CZE,2019,-0.016106912695060593,21,-0.015895501803504075,0.005480505424658274,100,-0.02586147284096494,-0.025127758275554735,-0.02092674497524758,-0.005700796397987152,-0.0060880288282753724,-0.011309181758836575,5.514,4.911,7.802,104.4,-0.3
30,prague_marathon,CZE,2022,-0.00010999145068435467,18,-0.0013120855495984962,0.008044499613289624,100,-0.018474422242065924,-0.014961106006775403,-0.007947096175690333,0.014684543345395335,0.011127307236827597,0.007393918417025843,16.381,15.7,17.36,104.4,-0.3
31,prague_marathon,CZE,2023,0.0026697040488024015,26,0.0031037280383006127,0.0077907418602411824,100,-0.008262749732709596,-0.006905014813007338,-0.0042896212596904345,0.018565467613494067,0.017654712630900793,0.012118409088084014,11.713,11.189,13.54,104.4,-0.3
32,prague_marathon,CZE,2024,0.02077533972384149,26,0.02125628503313859,0.007240070836860311,100,0.005396018936935865,0.008899991500254867,0.012604494490765852,0.03423658522560913,0.031587538076558536,0.0266386774047751,17.917,17.141,18.564,104.4,-0.3
33,prague_marathon,CZE,2025,0.016567856730506314,33,0.015647041716826404,0.008171164872767946,100,0.0001049379930765594,0.0017181245410977655,0.008639704605452643,0.03288396627232779,0.030029749509660596,0.023266209283082623,11.632,10.683,13.472,104.4,-0.3
37,copenhagen_marathon,DEN,2017,0.02604832979278715,14,0.021930283805552175,0.021677196186199944,100,-0.0010442692320350665,0.00021508044096276718,0.004316898982599433,0.07695097044512858,0.06911067610272464,0.04602157784269887,16.071,14.222,15.888,74.1,3.0
38,copenhagen_marathon,DEN,2018,0.0052122433588275285,23,0.004450523277491403,0.009623925142068718,100,-0.012250668148578624,-0.011659453830522271,-0.004300429067305381,0.023233033501311163,0.021977430985416557,0.014194707345793383,20.425,17.71,18.945,74.1,3.0
39,copenhagen_marathon,DEN,2019,-0.0028604121868029964,16,-0.0037897802018229676,0.013267904395543699,100,-0.02846382029843002,-0.024627509830232076,-0.015565307787762314,0.024749705869616754,0.022994864330090438,0.008709013153528776,16.402,16.7,19.649,74.1,3.0
40,copenhagen_marathon,DEN,2022,-0.0002812174401887191,44,-0.0010425223222783053,0.005033433818578322,100,-0.009106020835668981,-0.008545811926310164,-0.005862342036217534,0.010037197563772401,0.0076211925090849935,0.0047617767491647455,13.659,12.69,14.18,74.1,3.0
41,copenhagen_marathon,DEN,2023,0.0063129279847400355,53,0.00702851672241156,0.003851580941793028,100,-0.000595422122956668,0.00014301426256011504,0.0032666260630446688,0.014752870135194102,0.013740411456398594,0.010667951748302932,18.556,15.594,16.677,74.1,3.0
42,copenhagen_marathon,DEN,2024,-0.007910160305616643,61,-0.006929616548285722,0.006324604255977445,100,-0.018542293746319126,-0.016280697383192332,-0.011316481557119857,0.0030441383586309297,0.0021158171876937784,-0.0014831456950998858,12.899,13.166,14.319,74.1,3.0
43,copenhagen_marathon,DEN,2025,-0.010390854843736363,61,-0.00996281349739414,0.004318354428790934,100,-0.019355570104141108,-0.016305148496812548,-0.014002249295410074,-0.0020148652243830345,-0.0027169483250994563,-0.005249279817952015,10.909,9.46,11.511,74.1,3.0
45,barcelona_marathon,ESP,2021,-0.011065746258462461,38,-0.010307129940793303,0.004101941014081187,100,-0.01919526032207084,-0.01840549241422127,-0.015466142964490536,-0.0031937690130293067,-0.004872080758942945,-0.0069739733456192,10.839,8.969,15.38,135.7,0.6
46,barcelona_marathon,ESP,2022,-0.010335773668120218,26,-0.010199550768487331,0.003464403539678184,100,-0.017127101705663096,-0.015495049415350116,-0.013208943966657997,-0.004128791264851241,-0.0046549714329314545,-0.006772866560707557,19.609,18.584,19.987,135.7,0.6
47,barcelona_marathon,ESP,2023,-0.0041470632833897625,40,-0.0043754558502890895,0.004466105843103747,100,-0.012414335004270716,-0.01164100575038871,-0.008657187274169722,0.005367336416511468,0.0035992330372025968,-0.0003140698731504456,14.132,13.575,16.164,135.7,0.6
48,barcelona_marathon,ESP,2024,-0.01768506914260115,54,-0.01633388459238283,0.004969786674268177,100,-0.029831044689521226,-0.026722323898188717,-0.021063543826825255,-0.009319529644271518,-0.009676264864237628,-0.012336709048642938,10.859,9.48,12.847,121.9,-16.9
49,barcelona_marathon,ESP,2025,-0.017767679308437145,133,-0.017192928194496027,0.003983081692496939,100,-0.024831687670378466,-0.02299194950739176,-0.020905305432888852,-0.009558869305209508,-0.009950490258191813,-0.012975672378550487,9.685,9.76,13.01,121.9,-16.9
51,madrid_marathon,ESP,2022,0.013525833978136781,15,0.012579036166362023,0.009306653797689498,100,-0.00141488958575382,0.0008391885181833203,0.004815385688490216,0.033657960285005166,0.0307782711079283,0.023323686738350734,9.696,9.078,14.399,318.4,-25.9
52,madrid_marathon,ESP,2023,-0.0028046835199981857,15,-0.0013681502152937952,0.006770351045573286,100,-0.015784996545236775,-0.015194348362571653,-0.009997035468726843,0.009420469715919928,0.006792978171444996,0.002013925844836563,14.093,12.371,18.153,318.4,-25.9
54,madrid_marathon,ESP,2025,0.0035748114175042645,11,0.002060814429436064,0.01394759453985227,100,-0.02847910725161862,-0.022365479707801495,-0.012339822940384373,0.023343292001802914,0.02201514256516228,0.016053055185458794,13.018,11.307,16.558,318.4,-25.9
55,malaga_marathon,ESP,2018,-0.03643707137495955,12,-0.036121072962084,0.006706678698118805,100,-0.04755987788760585,-0.04587225679196698,-0.04178797434954301,-0.021012567709551958,-0.022712013665062397,-0.02941235666827428,13.3,12.901,19.087,291.4,-0.1
56,malaga_marathon,ESP,2019,-0.02636982400995791,19,-0.02612035026815951,0.006968754801266424,100,-0.04059076761504958,-0.0354470486825718,-0.033108638839574524,-0.014176783449871033,-0.01522145315995429,-0.019540556461706268,12.077,10.722,17.287,291.4,-0.1
57,malaga_marathon,ESP,2021,0.004202761015299927,17,0.003882295310984496,0.004159180412340035,100,-0.003374808521573036,-0.0024892653302141634,0.0005919634047132404,0.011720176338565116,0.010349752952134625,0.008600976170348069,14.346,12.758,17.877,291.4,-0.1
58,malaga_marathon,ESP,2022,0.004503474016722464,18,0.004276255046837374,0.01154756222992872,100,-0.01770250073219648,-0.015030755278757236,-0.009166653925071308,0.02613248486154077,0.022080190717937185,0.015081308837392305,17.222,16.685,20.864,291.4,-0.1
59,malaga_marathon,ESP,2023,-0.007302037565136921,26,-0.0063218072814645865,0.006074438029939932,100,-0.0164271679379139,-0.0146206499910563,-0.01219157387671487,0.0066468356447731075,0.004838113192746671,0.00018882800033065102,13.839,12.678,20.465,291.4,-0.1
60,malaga_marathon,ESP,2024,0.011256579691962365,38,0.009791369140427886,0.010399593148660732,100,-0.004724930779881631,-0.001758173266484686,0.0028286674599558737,0.03572907874935862,0.033454086873652276,0.021206701696501077,11.286,10.12,16.905,291.4,-0.1
61,malaga_marathon,ESP,2025,0.005884349748910722,37,0.002600872168581514,0.015817810926690743,100,-0.019067867343024215,-0.014742762328072746,-0.006194412980320756,0.04134419563887147,0.03533082312513187,0.01963129776014952,15.064,13.876,16.603,291.4,-0.1
62,san_sebastian_marathon,ESP,2022,-0.0076724345099155045,13,-0.007947080394654638,0.008901335467401345,100,-0.024229973430521023,-0.02289905930954177,-0.016042271770705448,0.009806770700623907,0.006537958087448856,-8.383638604748047e-05,11.777,9.697,13.81,90.3,-0.1
64,san_sebastian_marathon,ESP,2025,-0.003120012700879471,16,-0.003932531892989921,0.011958786157534436,100,-0.028574269257826534,-0.02295546582115717,-0.014525799638505638,0.01660172203438853,0.01520313343485924,0.006025470617063354,13.432,12.037,14.733,90.3,-0.1
65,seville_marathon,ESP,2018,-0.025716470797552127,40,-0.02444091594415676,0.008353154160962216,100,-0.03803338059476127,-0.035761750800683736,-0.03170268367058043,-0.006659733108837734,-0.011968707735740358,-0.015955702029728302,11.001,10.157,15.192,36.5,-0.1
