race_id,series_key,country,year,v_point,n_j,v_boot_med,v_sd,n_boot,lo95,lo90,lo68,hi95,hi90,hi68,temp_field,wbgt_field,wbgt_max,total_gain_m,net_gain_m
16,sydney_marathon,AUS,2025,0.02012264385137108,33,0.01868369279127613,0.007937471041567676,100,0.006946694473940052,0.009625672181490064,0.01217218904067618,0.036594884273215264,0.034818425695178984,0.0270250362479662,12.451,10.926,17.253,258.0,-42.5
41,copenhagen_marathon,DEN,2023,0.02154565906151351,20,0.021787239650719048,0.004906930124104599,100,0.013612446541028644,0.014460192502481917,0.016092867541815218,0.02983677072537021,0.028621024186678133,0.026608019299841353,18.556,15.594,16.677,74.1,3.0
42,copenhagen_marathon,DEN,2024,0.002860328766865372,21,0.001981345530182921,0.007805805765145683,100,-0.012566694900743447,-0.008350438055456166,-0.003283924105032625,0.020564517721382347,0.014777116318577694,0.009107265847580094,12.899,13.166,14.319,74.1,3.0
49,barcelona_marathon,ESP,2025,-0.010579081283012215,21,-0.01215721825346927,0.007682786468479418,100,-0.02562722954755343,-0.02277636927656377,-0.019082729020400854,0.0029801178810932682,0.0016322946508602312,-0.004288592167698617,9.685,9.76,13.01,121.9,-16.9
67,seville_marathon,ESP,2020,-0.030122813210428312,31,-0.030643672941314648,0.004273550876676994,100,-0.038378916049043685,-0.036969506452883036,-0.035236796061449985,-0.021984594639035147,-0.023525600274609725,-0.02695816353004819,12.164,10.229,17.857,36.5,-0.1
68,seville_marathon,ESP,2022,-0.020778268127864763,50,-0.021015289560746275,0.0038360705546396966,100,-0.027692279911896357,-0.026812648950966755,-0.024119524114523862,-0.012857836495039372,-0.014513458829741045,-0.017218115141534512,12.161,10.254,17.809,36.5,-0.1
69,seville_marathon,ESP,2023,-0.011088004809203689,49,-0.011483007519820898,0.005191289132495716,100,-0.021320593030464276,-0.018998159740874467,-0.0162911746573074,-0.0007506244039148752,-0.0012724616711171422,-0.006103974582735072,13.939,11.576,17.407,36.5,-0.1
70,seville_marathon,ESP,2024,-0.015064645579968783,63,-0.01517572540668688,0.0034246764024608296,100,-0.021273943377759008,-0.02056191494555972,-0.019124432194928643,-0.008142816256814681,-0.009208879708479013,-0.012119440104784296,10.294,9.074,17.737,36.5,-0.1
71,seville_marathon,ESP,2025,-0.0017889385745153419,31,-0.0025750252153526887,0.010897933367629576,100,-0.019901064157162508,-0.019294917692088152,-0.011065533952977411,0.022357337981185485,0.02022931396330727,0.007452148315509567,9.904,9.104,16.789,36.5,-0.1
72,valencia_marathon,ESP,2017,-0.003043090896050593,32,-0.0033482086011034085,0.008147143054411603,100,-0.017631731266185512,-0.016177239632987162,-0.012741247560556453,0.011118486218395646,0.009762425212096292,0.004750141585173394,10.625,9.209,18.858,48.5,-4.8
