race_id,series_key,country,year,v_point,n_j,v_boot_med,v_sd,n_boot,lo95,lo90,lo68,hi95,hi90,hi68,temp_field,wbgt_field,wbgt_max,total_gain_m,net_gain_m
15,sydney_marathon,AUS,2024,0.021139712509661734,45,0.022455505042506374,0.006374463057186996,100,0.009341516494454449,0.011276024184122413,0.01650934909516671,0.03444108522261286,0.033452553362083214,0.02786357978553852,11.761,8.949,12.796,258.0,-42.5
16,sydney_marathon,AUS,2025,-0.0033757697125960107,39,-0.002742969266880557,0.006805350215287227,100,-0.014923727373747342,-0.013083620301338339,-0.010190203699055473,0.008753609390063444,0.0053049393564562775,0.003926951780786964,12.451,10.926,17.253,258.0,-42.5
21,vienna_marathon,AUT,2023,0.013640346617076915,24,0.0123576402824499,0.006448759476239888,100,0.0012023041799111402,0.003941941793410386,0.006344457804594654,0.02496332793247724,0.023758573483992594,0.019073701631040975,17.56,16.516,18.741,90.3,10.5
41,copenhagen_marathon,DEN,2023,0.008726697349125345,37,0.00886601148455135,0.005645041421544677,100,-0.0018055235526909905,0.0008188563964472097,0.0030993189044129822,0.02081423146126124,0.018714698676820515,0.014563073489514338,18.556,15.594,16.677,74.1,3.0
42,copenhagen_marathon,DEN,2024,0.0017763894754292409,44,0.0017873698328800813,0.0036451578902422514,100,-0.004513413306479297,-0.004131570480857949,-0.0017430360646390852,0.007967789171923999,0.006930546697464377,0.005011484757051789,12.899,13.166,14.319,74.1,3.0
43,copenhagen_marathon,DEN,2025,-0.013839420943314806,38,-0.014243759641308529,0.006396921098385799,100,-0.02504544255194783,-0.02193748651277989,-0.019774174783063644,0.00011097966855058846,-0.0027125749726813844,-0.007184814785471119,10.909,9.46,11.511,74.1,3.0
48,barcelona_marathon,ESP,2024,-0.01810350623197543,27,-0.017864725810656346,0.006132102935956798,100,-0.029588286328611525,-0.02741949625192488,-0.024063080752977653,-0.006887995893933859,-0.008151774381814293,-0.011322507996238471,10.859,9.48,12.847,121.9,-16.9
49,barcelona_marathon,ESP,2025,-0.013280161778828514,52,-0.014253711604369279,0.004580062077695363,100,-0.022587097806525368,-0.021929210477506712,-0.019362336437512083,-0.0055358942193037474,-0.006247498459209222,-0.009750877877070891,9.685,9.76,13.01,121.9,-16.9
60,malaga_marathon,ESP,2024,0.008850713074879835,31,0.00802122372978964,0.007982750157830473,100,-0.009089202572270949,-0.00447814125469339,0.0010466301589309524,0.024978723538693463,0.022646348147530034,0.01511890223393678,11.286,10.12,16.905,291.4,-0.1
61,malaga_marathon,ESP,2025,-0.012071202971217332,27,-0.012168844215341146,0.008748421403054516,100,-0.027803038317276974,-0.026987409981656718,-0.020570838599463032,0.0027798177417754618,-0.00013112000513109193,-0.0028013566549891086,15.064,13.876,16.603,291.4,-0.1
