race_id,series_key,country,year,v_point,n_j,v_boot_med,v_sd,n_boot,lo95,lo90,lo68,hi95,hi90,hi68,temp_field,wbgt_field,wbgt_max,total_gain_m,net_gain_m
15,sydney_marathon,AUS,2024,0.025242637971654602,45,0.026375010948282984,0.006192548957060143,100,0.013529868905085563,0.015640035289166753,0.018229212766341263,0.036829629789468035,0.035725288013192545,0.031549233392088136,11.761,8.949,12.796,258.0,-42.5
16,sydney_marathon,AUS,2025,0.00924146909855672,39,0.009370426425164169,0.006123284823900755,100,-0.0010664030713281034,0.0004360284937500403,0.004194516701148458,0.021796015258898543,0.020336296279474284,0.01701794478275346,12.451,10.926,17.253,258.0,-42.5
21,vienna_marathon,AUT,2023,0.013440860887758532,24,0.012865896656499842,0.005412342056094157,100,0.002294621693178645,0.0036555363082120705,0.008291575072467196,0.02386847597568193,0.02200715393112329,0.017688266710634153,17.56,16.516,18.741,90.3,10.5
41,copenhagen_marathon,DEN,2023,0.009154261425450727,37,0.008436537758414353,0.005463788027460956,100,0.00035783023888411595,0.0015749457692469273,0.0036039373972483447,0.019642478546046723,0.01736702282718898,0.014345827802256678,18.556,15.594,16.677,74.1,3.0
42,copenhagen_marathon,DEN,2024,0.0019159346090305007,44,0.0020258081776631798,0.004076580500728996,100,-0.004469192669574973,-0.004258750946028478,-0.0017904568885657567,0.010308733127561483,0.009443019534517738,0.006064225753359835,12.899,13.166,14.319,74.1,3.0
43,copenhagen_marathon,DEN,2025,-0.009968008785262938,38,-0.009209535580615658,0.0043518926115034325,100,-0.017162658888348448,-0.01613357560088966,-0.01376273808525042,-0.0005964746535881706,-0.001985243609686906,-0.004407823033201837,10.909,9.46,11.511,74.1,3.0
48,barcelona_marathon,ESP,2024,-0.017083951369940564,27,-0.015895845128869546,0.006229427568278994,100,-0.029236643871955258,-0.02632695074153073,-0.02295830907738342,-0.0052336909204353105,-0.005854557212578461,-0.010943164790499154,10.859,9.48,12.847,121.9,-16.9
49,barcelona_marathon,ESP,2025,-0.013321566428814435,52,-0.013002540438466603,0.004651186903974118,100,-0.023143223579363825,-0.021561206966337475,-0.0184432060620496,-0.004291089602869621,-0.005073030431244252,-0.009322451865189336,9.685,9.76,13.01,121.9,-16.9
60,malaga_marathon,ESP,2024,0.0062092788882406325,31,0.005461960057812298,0.007813651951252014,100,-0.01162437109463137,-0.00774726946783435,-0.0018953507187151077,0.018130703595016038,0.016479837320799627,0.012563294111816318,11.286,10.12,16.905,291.4,-0.1
61,malaga_marathon,ESP,2025,-0.010835025870006731,27,-0.010187932441916736,0.006749565139811127,100,-0.0231977036339599,-0.020999692956431205,-0.016431604462415875,0.00136574726064049,0.00034499974039068287,-0.002945118825195936,15.064,13.876,16.603,291.4,-0.1
66,seville_marathon,ESP,2019,-0.015585880964376742,22,-0.015684129434617944,0.006786121555751731,100,-0.02670643677738358,-0.025094376399392625,-0.02147176279187299,-0.0015428534951120849,-0.0032572810304428946,-0.009736510166652296,9.121,7.798,15.672,36.5,-0.1
67,seville_marathon,ESP,2020,-0.028038587009165283,32,-0.02756852707102997,0.0070327947394594045,100,-0.041522805022993124,-0.04017871254679832,-0.035582329820005115,-0.014470376329765127,-0.016395414715731162,-0.022512115727674174,12.164,10.229,17.857,36.5,-0.1
68,seville_marathon,ESP,2022,-0.017111750991391617,51,-0.016793874644323914,0.004034727156259198,100,-0.023460701058437207,-0.02317221204809261,-0.020762311532791955,-0.008398865015181133,-0.010077501204482343,-0.01292732365575212,12.161,10.254,17.809,36.5,-0.1
69,seville_marathon,ESP,2023,-0.009973137611989813,60,-0.010247751475936262,0.003351819430312072,100,-0.01648421623296161,-0.015243280406022918,-0.013904468770523693,-0.00392024560350858,-0.004992572345830393,-0.007277613055949318,13.939,11.576,17.407,36.5,-0.1
70,seville_marathon,ESP,2024,-0.01367007964669753,85,-0.01432495862344485,0.003497186754600142,100,-0.021152214312650665,-0.02001718074566865,-0.01696811459805083,-0.006075957285913674,-0.007339669465828892,-0.010827541949473768,10.294,9.074,17.737,36.5,-0.1
71,seville_marathon,ESP,2025,-0.0052357658548380925,54,-0.004521525395534631,0.004144827924169367,100,-0.011425644616632757,-0.010641188951119051,-0.008856379794723637,0.003791019875750486,0.0013500038159178546,-0.0011859885983577106,9.904,9.104,16.789,36.5,-0.1
72,valencia_marathon,ESP,2017,0.001210392205129196,33,-0.0004577798983680381,0.006314664443211049,100,-0.010563129331853638,-0.00862691045384265,-0.005264025235433465,0.012900182441182604,0.012063220219583658,0.006864686337180002,10.625,9.209,18.858,48.5,-4.8
73,valencia_marathon,ESP,2018,-0.006087849939635959,52,-0.00704021288832557,0.004134110838335444,100,-0.015044030698850052,-0.013608676149696209,-0.010922078188231267,0.0020033606337840093,-0.0009324810728989201,-0.0036309426898823464,12.603,10.753,17.641,48.5,-4.8
74,valencia_marathon,ESP,2019,-0.00029654711818238866,38,-0.0013426858468328362,0.007729545833188826,100,-0.01558336890039782,-0.011645834865073557,-0.00858438808170753,0.011746361918942582,0.011238130957307125,0.006178947801697277,13.976,12.121,14.896,48.5,-4.8
75,valencia_marathon,ESP,2020,-0.012978777261638541,31,-0.014643624384202525,0.006111706735337459,100,-0.024192781737782765,-0.02308214886187443,-0.019953343707720707,0.0006594033351427515,-0.0027934906897765033,-0.009033714378599457,9.254,6.165,8.394,48.5,-4.8
76,valencia_marathon,ESP,2021,-0.015750454021153715,78,-0.01522061033091937,0.00411754596510424,100,-0.023345154090354335,-0.02225860513653082,-0.0193836801803333,-0.008191210961158603,-0.008790089903962885,-0.011548363935182878,12.96,9.332,12.918,48.5,-4.8
77,valencia_marathon,ESP,2022,-0.018757411948815417,157,-0.01895177138506199,0.0025273670043481746,100,-0.023618567399776323,-0.022728982955301725,-0.02143547077024401,-0.014689625351779072,-0.015102328329060999,-0.01615870963700857,9.921,8.576,14.95,48.5,-4.8
78,valencia_marathon,ESP,2023,-0.019098908212402677,267,-0.019335561381748967,0.0019849419363816827,100,-0.02263309124760702,-0.022491768823743107,-0.021313962604404324,-0.015494389102288642,-0.016079377613820525,-0.01729849975434959,8.608,6.304,14.697,48.5,-4.8
79,valencia_marathon,ESP,2024,-0.008475551040882934,235,-0.008056726812796455,0.0020441880075384726,100,-0.01145118344691678,-0.011008541677845951,-0.009901916458677534,-0.0032051920794915144,-0.004823616608844629,-0.006266502179057625,12.401,11.844,19.453,48.5,-4.8
80,valencia_marathon,ESP,2025,-0.009415171449205673,233,-0.00818117935120899,0.0026191550672679414,100,-0.013714012632748051,-0.01257159409246178,-0.011021049723681812,-0.003879408336622038,-0.004487072377086056,-0.005625319849398523,14.349,12.415,19.45,48.5,-4.8
