race_id,series_key,country,year,v_point,n_j,v_boot_med,v_sd,n_boot,lo95,lo90,lo68,hi95,hi90,hi68,temp_field,wbgt_field,wbgt_max,total_gain_m,net_gain_m
15,sydney_marathon,AUS,2024,0.030315485695714628,22,0.02874641628722152,0.012606669319561259,100,0.007798553579116296,0.009454534736606313,0.016294567257701117,0.05689507596248487,0.05266074883513285,0.04389289908860583,11.761,8.949,12.796,258.0,-42.5
16,sydney_marathon,AUS,2025,0.0024047589695701532,21,0.002556248670007477,0.014852475977579991,100,-0.027199711685541094,-0.024102402588562822,-0.011086160205125921,0.028034856192983196,0.02601223849475973,0.015577670577110254,12.451,10.926,17.253,258.0,-42.5
77,valencia_marathon,ESP,2022,-0.04450703328553374,21,-0.04306092950932827,0.010109553572106621,100,-0.06605824407143382,-0.0614150735513983,-0.054589159439925296,-0.027563433348543376,-0.030188899713384613,-0.03390181669616986,9.921,8.576,14.95,48.5,-4.8
78,valencia_marathon,ESP,2023,-0.032707650783045494,39,-0.03220144951140025,0.007230076158098233,100,-0.046536971752734836,-0.04348918574054363,-0.040095962280338925,-0.019332021132442215,-0.02088599123221444,-0.026062111227873788,8.608,6.304,14.697,48.5,-4.8
79,valencia_marathon,ESP,2024,-0.04020624131903894,39,-0.042863250304428835,0.008660175650455055,100,-0.0581521589724606,-0.05453275830920683,-0.048606459826809,-0.02346178087345973,-0.028279001305748966,-0.03173893856092576,12.401,11.844,19.453,48.5,-4.8
80,valencia_marathon,ESP,2025,-0.0220991963745103,48,-0.021139911894867414,0.006538432684717251,100,-0.03388414392113783,-0.032586653203824145,-0.02812134733744415,-0.00881809706283269,-0.01116799915846687,-0.015261102633112316,14.349,12.415,19.45,48.5,-4.8
135,london_marathon,GBR,2014,0.009180518068147236,60,0.005959442162859929,0.013181314095742792,100,-0.017417427787943106,-0.016070792265246638,-0.004760820981331407,0.03427330255740889,0.030082621055223316,0.018121526187751653,12.81,11.266,13.481,83.1,-33.9
136,london_marathon,GBR,2015,-0.00979080758253481,63,-0.008162235352498826,0.010102607478033869,100,-0.028214370462225948,-0.027467968843978063,-0.01743217492041737,0.010777244805223024,0.003698954108937786,-0.0002528158419265857,8.734,8.249,9.008,83.1,-33.9
137,london_marathon,GBR,2016,-0.0037691988991745973,82,-0.0020599801459422196,0.008458136199784229,100,-0.01956033956189034,-0.016763485579248005,-0.012008902584563046,0.012326161273564288,0.008967203271628052,0.004792199882379469,7.734,6.218,7.842,83.1,-33.9
138,london_marathon,GBR,2017,-0.0008310787030580968,77,-0.00028138747358941174,0.0073411319123590875,100,-0.014791977782125532,-0.011931628104335523,-0.007328817586797954,0.013482243196737492,0.011425709073465917,0.006628221862428702,12.09,10.496,12.632,83.1,-33.9
139,london_marathon,GBR,2018,0.05511304591217758,93,0.054535984832016826,0.009436506231218148,100,0.037416515257929064,0.03908619917728915,0.046782872899132,0.07519859721895421,0.07175225490169472,0.06230335940056605,20.906,18.97,19.564,83.1,-33.9
140,london_marathon,GBR,2019,-0.0015955194170977904,111,-0.0008450197457721131,0.006869943107835942,100,-0.01269853850578213,-0.01112917488920373,-0.007946453613918578,0.012681888962189303,0.009296014676556563,0.005808445779892466,11.556,10.446,11.436,83.1,-33.9
142,london_marathon,GBR,2021,0.0030040509196052056,111,0.0034834291053402744,0.005607016904753548,100,-0.006913146509508206,-0.0034955384499227634,-0.0019415274791447245,0.013851464595090538,0.012825084085233262,0.008561612407514615,13.412,12.603,14.45,83.1,-33.9
143,london_marathon,GBR,2022,-0.00756923942783061,111,-0.008683420537240583,0.007471677847153469,100,-0.02082422822237957,-0.019104891398196332,-0.015666228651079167,0.007073053628741279,0.005473357323235459,-0.0004125681502291232,15.086,14.489,16.321,83.1,-33.9
144,london_marathon,GBR,2023,-0.014168855977064965,118,-0.015740408153892105,0.006114369659972322,100,-0.02579475603480965,-0.02347556482460389,-0.020406037667215316,-0.0031065756837768384,-0.004764024087851393,-0.008326432413392554,12.21,12.191,12.609,83.1,-33.9
145,london_marathon,GBR,2024,-0.009113013428603267,140,-0.009576127961855363,0.005557593391377284,100,-0.018674218114147666,-0.01764833647695734,-0.014548540362239421,0.003511519784133753,0.001936708309707001,-0.0037742582665342916,10.057,8.092,9.502,83.1,-33.9
146,london_marathon,GBR,2025,0.012942075123675068,124,0.013798298139078291,0.007619156760334442,100,-0.0007050328731382337,0.0013417078435645105,0.005423030724133824,0.03195728388344335,0.023275624915020107,0.018221938365622848,17.497,17.159,18.2,83.1,-33.9
149,manchester_marathon,GBR,2022,-0.020537513906406346,46,-0.020257996479980278,0.0080251874638126,100,-0.033954764822785276,-0.0327608134020088,-0.028671244062621212,-0.004984388497082812,-0.005833449911176025,-0.013028339918087545,7.231,6.658,7.896,89.9,-2.8
177,berlin_marathon,GER,2015,-0.019790003803214162,26,-0.020218585604785844,0.00851440099203096,100,-0.038005671312167436,-0.03352408109910519,-0.030051311465507987,-0.005853024552200553,-0.008609741721740338,-0.0125342627389211,12.961,12.434,14.239,50.6,0.9
